Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2018-08-23,LSKUSD,3.91,4.31,3.91,4.31,660.24,2817.57
2018-08-22,LSKUSD,4.01,4.01,3.91,3.91,112.27,439.11
2018-08-21,LSKUSD,3.85,4.01,3.85,4.01,13.86,55.57
2018-08-20,LSKUSD,4.21,4.21,3.63,3.85,20.01,77.05
2018-08-19,LSKUSD,3.83,4.21,3.83,4.21,1.48,5.82
2018-08-18,LSKUSD,4,4.13,3.83,3.83,104.66,406.57
2018-08-17,LSKUSD,3.76,4.25,3.76,4,487.46,1933.34
2018-08-16,LSKUSD,2.96,3.76,2.96,3.76,75.79,258.5
2018-08-15,LSKUSD,2.74,3.01,2.74,2.96,484.58,1445.92
2018-08-14,LSKUSD,3.27,3.27,2.72,2.74,12.62,34.53
2018-08-13,LSKUSD,2.5,2.5,2.5,2.5,0.0,0.0
2018-08-12,LSKUSD,2.5,2.5,2.5,2.5,0.0,0.0
2018-08-11,LSKUSD,2.5,2.5,2.5,2.5,0.0,0.0
2018-08-10,LSKUSD,3.25,3.65,2.5,2.5,7.91,26.34
2018-08-09,LSKUSD,3.25,3.25,3.25,3.25,0.0,0.0
2018-08-08,LSKUSD,3.78,3.78,3.25,3.25,11.4,37.25
2018-08-07,LSKUSD,4.06,4.06,3.72,3.78,9.28,35.0
2018-08-06,LSKUSD,3.9,4.06,3.57,4.06,3.73,13.84
2018-08-05,LSKUSD,3.75,3.9,3.75,3.9,15.98,62.31
2018-08-04,LSKUSD,4,4,3.6,3.75,19.93,74.38
2018-08-03,LSKUSD,4.3,4.3,4,4,35.31,141.96
2018-08-02,LSKUSD,4.72,4.72,4.3,4.3,1.9,8.18
2018-08-01,LSKUSD,4.72,4.72,4.72,4.72,0.0,0.0
2018-07-31,LSKUSD,4.8,4.8,4.72,4.72,30.26,142.82
2018-07-30,LSKUSD,5.08,5.08,4.7,4.8,30.0,143.05
2018-07-29,LSKUSD,4.94,5.08,4.94,5.08,3.27,16.5
2018-07-28,LSKUSD,4.94,4.94,4.94,4.94,0.0,0.0
2018-07-27,LSKUSD,4.85,5.95,4.85,4.94,61.52,308.91
2018-07-26,LSKUSD,5,5.09,4.85,4.85,58.61,293.5
2018-07-25,LSKUSD,4.6,5.12,4.6,5,57.24,288.96
2018-07-24,LSKUSD,4.71,4.71,4.59,4.6,12.72,59.57
2018-07-23,LSKUSD,4.93,4.93,4.71,4.71,17.58,84.31
2018-07-22,LSKUSD,5.16,5.16,4.93,4.93,0.1046,0.5154
2018-07-21,LSKUSD,5.16,5.16,5.16,5.16,3.51,18.1
2018-07-20,LSKUSD,5.16,5.16,5.16,5.16,0.0,0.0
2018-07-19,LSKUSD,6.98,6.98,5.16,5.16,10.07,55.14
2018-07-18,LSKUSD,5.59,7.88,4.01,6.98,108.22,621.07
2018-07-17,LSKUSD,5.79,5.88,4,5.59,300.58,1580.8
2018-07-16,LSKUSD,5.79,5.79,5.79,5.79,0.0,0.0
2018-07-15,LSKUSD,5.79,5.79,5.79,5.79,0.0,0.0
2018-07-14,LSKUSD,4.77,5.79,4.1,5.79,5.42,24.44
2018-07-13,LSKUSD,4.77,4.77,4.77,4.77,0.0,0.0
2018-07-12,LSKUSD,4.02,4.99,4.02,4.77,19.45,94.45
2018-07-11,LSKUSD,5,5,4.02,4.02,27.52,112.46
2018-07-10,LSKUSD,5.06,5.92,5,5,20.01,100.15
2018-07-09,LSKUSD,5.42,6.2,5,5.06,213.27,1218.08
2018-07-08,LSKUSD,5.42,5.42,5.42,5.42,0.0,0.0
2018-07-07,LSKUSD,5.2,5.42,5.2,5.42,3.1,16.12
2018-07-06,LSKUSD,5.2,5.2,5.2,5.2,0.0,0.0
2018-07-05,LSKUSD,5.1,5.2,5.1,5.2,1.03,5.36
2018-07-04,LSKUSD,6,6,5.1,5.1,42.6,239.2
2018-07-03,LSKUSD,4.11,6.21,4.11,6,41.3,251.0
