Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XEM,Volume JPY
2019-05-10,XEMJPY,5.17,5.94,5.12,5.71,25081294.1,137858876.8
2019-05-09,XEMJPY,5.53,5.63,5.12,5.17,12365677.0,66074159.71
2019-05-08,XEMJPY,5.58,5.63,5.42,5.53,9107445.8,50206213.34
2019-05-07,XEMJPY,5.83,6.07,5.8,5.83,4341731.3,25796306.13
2019-05-06,XEMJPY,5.68,5.94,5.51,5.83,15045005.9,85810880.87
2019-05-05,XEMJPY,5.94,5.99,5.68,5.68,8759682.0,50995751.8
2019-05-04,XEMJPY,6.13,6.27,5.86,5.94,9648585.1,58177503.03
2019-05-03,XEMJPY,6.12,6.28,6.08,6.13,11978665.4,73909792.45
2019-05-02,XEMJPY,6.14,6.16,6.06,6.12,5266369.9,32238937.15
2019-05-01,XEMJPY,6.2,6.32,6.06,6.14,7313137.6,45150134.28
2019-04-30,XEMJPY,5.97,6.32,5.96,6.2,16198892.9,99588794.71
2019-04-29,XEMJPY,6.32,6.46,5.96,5.97,10552190.2,65538616.54
2019-04-28,XEMJPY,6.51,6.55,6.31,6.32,4262763.1,27392510.37
2019-04-27,XEMJPY,6.47,6.66,6.46,6.54,7361674.0,48264402.0
2019-04-26,XEMJPY,6.34,6.58,6.16,6.47,15138707.3,96348559.52
2019-04-25,XEMJPY,6.5,6.95,6.31,6.34,20290846.0,135881521.98
2019-04-24,XEMJPY,7.11,7.12,6.38,6.5,19134725.8,127213034.81
2019-04-23,XEMJPY,7.2,7.35,7.1,7.11,11075213.0,79577580.91
2019-04-22,XEMJPY,7.15,7.24,7.04,7.2,9498307.2,68028419.42
2019-04-21,XEMJPY,7.23,7.46,7.02,7.15,17001754.9,122608491.0
2019-04-20,XEMJPY,7.15,7.33,7.13,7.23,9262630.0,66844317.52
2019-04-19,XEMJPY,7.25,7.26,7.1,7.15,9977541.2,71550534.29
2019-04-18,XEMJPY,7.22,7.38,7.16,7.25,11330038.5,82520544.56
2019-04-17,XEMJPY,7.31,7.5,7.06,7.22,15603570.0,113310845.91
2019-04-16,XEMJPY,7.31,7.35,6.99,7.31,16453463.0,118400403.34
2019-04-15,XEMJPY,7.68,7.73,7.12,7.31,12937668.1,96861466.77
2019-04-14,XEMJPY,7.41,7.69,7.29,7.68,9940073.7,74276084.82
