Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume ETH
2018-02-21,BTGETH,0.1446,0.1452,0.1386,0.1395,1347.3,189.97
2018-02-20,BTGETH,0.145,0.1499,0.1431,0.1446,1203.01,175.41
2018-02-19,BTGETH,0.1405,0.1464,0.14,0.145,1215.66,174.12
2018-02-18,BTGETH,0.1473,0.1517,0.1384,0.1405,1324.24,190.7
2018-02-17,BTGETH,0.1492,0.1499,0.1435,0.1473,1243.51,181.99
2018-02-16,BTGETH,0.1404,0.1524,0.1393,0.1492,1065.44,156.63
2018-02-15,BTGETH,0.1405,0.1408,0.1357,0.1404,1199.62,166.0
2018-02-14,BTGETH,0.1415,0.1486,0.1378,0.1405,1222.91,174.44
2018-02-13,BTGETH,0.1356,0.1473,0.1317,0.1415,1182.5,162.71
2018-02-12,BTGETH,0.1353,0.1374,0.1319,0.1356,1323.65,178.4
2018-02-11,BTGETH,0.1376,0.1441,0.1335,0.1353,1422.69,194.52
2018-02-10,BTGETH,0.1429,0.1447,0.1333,0.1376,1735.52,240.75
2018-02-09,BTGETH,0.1356,0.1511,0.1336,0.1429,1754.97,250.2
2018-02-08,BTGETH,0.1189,0.1405,0.1159,0.1356,1680.2,217.43
2018-02-07,BTGETH,0.1227,0.1249,0.1183,0.1189,1512.77,184.43
2018-02-06,BTGETH,0.1241,0.1314,0.1193,0.1227,1734.36,215.11
2018-02-05,BTGETH,0.132,0.1328,0.1231,0.1241,1637.99,210.92
2018-02-04,BTGETH,0.1321,0.1392,0.1295,0.132,1567.87,209.99
2018-02-03,BTGETH,0.1329,0.1362,0.1269,0.1321,1375.04,180.36
2018-02-02,BTGETH,0.1257,0.1363,0.1222,0.1329,1927.41,246.98
2018-02-01,BTGETH,0.1409,0.1409,0.1175,0.1257,1682.6,218.55
2018-01-31,BTGETH,0.1501,0.1502,0.1373,0.1409,1986.81,281.23
2018-01-30,BTGETH,0.1559,0.1572,0.1485,0.1501,1473.67,225.38
2018-01-29,BTGETH,0.1561,0.1594,0.1533,0.1559,1754.88,274.23
2018-01-28,BTGETH,0.1695,0.1758,0.1538,0.1561,1967.69,322.22
2018-01-27,BTGETH,0.1706,0.172,0.1648,0.1695,1448.36,243.55
2018-01-26,BTGETH,0.1768,0.1832,0.1665,0.1706,1235.54,213.46
2018-01-25,BTGETH,0.1786,0.1822,0.1738,0.1768,808.12,142.49
2018-01-24,BTGETH,0.1885,0.194,0.1781,0.1786,1432.24,266.69
2018-01-23,BTGETH,0.1895,0.1955,0.1855,0.1885,1311.63,249.83
2018-01-22,BTGETH,0.1888,0.2073,0.1851,0.1895,1403.95,270.9
2018-01-21,BTGETH,0.2038,0.2048,0.1858,0.1888,1354.57,260.79
2018-01-20,BTGETH,0.2127,0.2174,0.1964,0.2038,1193.3,242.21
2018-01-19,BTGETH,0.1935,0.2373,0.191,0.2127,1695.15,366.63
2018-01-18,BTGETH,0.1849,0.1996,0.1833,0.1935,1326.7,253.58
