Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume CAD
2019-04-15 03-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-15 02-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-15 01-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-15 12-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 11-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 10-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 09-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 08-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 07-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 06-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 05-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 04-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 03-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 02-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 01-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 12-PM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 11-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 10-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 09-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 08-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 07-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 06-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
2019-04-14 05-AM,ETHCAD,163.29,163.29,163.29,163.29,0.0,0.0
