Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XTZ,Volume USD
2018-02-03,XTZUSD,2.88,3.3,2.74,3.16,64988.47,198080.19
2018-02-02,XTZUSD,3.14,3.19,2.14,2.88,141383.42,378700.51
2018-02-01,XTZUSD,3.4,3.52,2.8,3.14,63354.4,200988.16
2018-01-31,XTZUSD,3.37,3.81,2.43,3.4,82866.3,269743.22
2018-01-30,XTZUSD,3.25,4.19,2.47,3.37,169696.48,573669.64
2018-01-29,XTZUSD,4.63,4.9,2.72,3.25,168613.02,654530.84
2018-01-28,XTZUSD,4.16,4.72,4.1,4.63,74249.16,324076.97
2018-01-27,XTZUSD,4.07,4.17,3.84,4.16,60697.9,250201.85
2018-01-26,XTZUSD,4.01,4.1,3.71,4.07,54905.96,218371.79
2018-01-25,XTZUSD,4,4.13,3.81,4.01,39897.18,159572.15
2018-01-24,XTZUSD,4.5,4.62,3.7,4,132903.88,557417.08
2018-01-23,XTZUSD,4.7,4.81,4.39,4.5,75601.94,349106.09
2018-01-22,XTZUSD,4.56,5,4.32,4.7,64934.02,301453.23
2018-01-21,XTZUSD,4.98,5.03,4.31,4.56,72852.06,341251.65
2018-01-20,XTZUSD,4.71,5.17,4.67,4.98,74071.9,366508.42
2018-01-19,XTZUSD,4.98,5.38,4.4,4.71,83598.61,407580.27
2018-01-18,XTZUSD,4.49,5.64,4.38,4.98,69333.76,355126.72
2018-01-17,XTZUSD,4.82,5.09,3.9,4.49,79819.67,353573.23
2018-01-16,XTZUSD,5.2,5.25,4.3,4.82,70605.02,335356.04
2018-01-15,XTZUSD,5.55,5.7,4.73,5.2,63109.32,329139.58
2018-01-14,XTZUSD,5.98,6.04,4.02,5.55,67916.15,352430.79
2018-01-13,XTZUSD,5.78,6.02,5.2,5.98,53996.92,311916.72
2018-01-12,XTZUSD,5.21,6.6,3.8,5.78,79172.5,438466.8
2018-01-11,XTZUSD,4.89,5.44,4.64,5.21,66833.13,341380.4
2018-01-10,XTZUSD,4.9,5.43,4.37,4.89,73737.87,359681.89
2018-01-09,XTZUSD,4.62,5.79,4,4.9,73288.21,367599.99
2018-01-08,XTZUSD,5.37,5.85,4,4.62,93524.97,461083.12
2018-01-07,XTZUSD,5.29,6.6,4.2,5.37,94328.46,542412.3
2018-01-06,XTZUSD,5.44,6.53,4.06,5.29,97500.21,541089.76
2018-01-05,XTZUSD,6.18,7.35,3.69,5.44,95724.4,555751.02
2018-01-04,XTZUSD,7.11,7.55,6.02,6.18,70935.51,471415.75
2018-01-03,XTZUSD,5.46,7.12,5.34,7.11,79190.41,488254.84
2018-01-02,XTZUSD,4.52,6,4.49,5.46,71896.71,385374.52
2018-01-01,XTZUSD,4.1,4.77,3.9,4.52,72412.48,313509.4
2017-12-31,XTZUSD,3.76,4.22,3.67,4.1,70924.54,276536.87
2017-12-30,XTZUSD,3.71,4.14,3.65,3.76,70011.81,268886.56
2017-12-29,XTZUSD,3.74,4.44,3.65,3.71,63978.45,262128.7
2017-12-28,XTZUSD,3.87,3.91,3.4,3.74,55922.8,206997.32
2017-12-27,XTZUSD,4.22,4.28,3.61,3.87,83509.97,326988.85
2017-12-26,XTZUSD,3.85,4.3,3.47,4.22,83626.15,334196.96
2017-12-25,XTZUSD,3.91,4.53,3.29,3.85,87809.59,363852.54
2017-12-24,XTZUSD,4.21,4.45,3.08,3.91,99617.13,393741.46
2017-12-23,XTZUSD,3.95,4.56,3.37,4.21,100506.83,423183.36
2017-12-22,XTZUSD,4.96,5.17,2.89,3.95,105280.09,424313.64
2017-12-21,XTZUSD,4.81,5.38,4.01,4.96,84273.57,406316.25
2017-12-20,XTZUSD,5.2,7.04,3.82,4.81,95702.89,500400.93
2017-12-19,XTZUSD,8.24,8.37,4.1,5.2,94668.79,570369.7
2017-12-18,XTZUSD,10.39,10.46,5.6,8.24,69399.07,494230.87
2017-12-17,XTZUSD,5.9,12,5.66,10.39,64557.0,553679.3
2017-12-16,XTZUSD,4.95,6.24,4.89,5.9,53355.88,291982.79
2017-12-15,XTZUSD,4.39,5.28,4.3,4.95,58096.2,281582.86
2017-12-14,XTZUSD,3.96,4.47,3.77,4.39,52136.45,215518.41
2017-12-13,XTZUSD,4.13,4.17,3.75,3.96,38462.84,154347.95
2017-12-12,XTZUSD,3.84,4.18,3.79,4.13,54521.75,214829.61
2017-12-11,XTZUSD,3.37,3.92,3.2,3.84,64639.47,236068.65
2017-12-10,XTZUSD,3.36,3.67,2.94,3.37,88058.72,285073.01
2017-12-09,XTZUSD,3.78,3.89,3.03,3.36,63567.04,218285.8
2017-12-08,XTZUSD,3.75,3.93,3.17,3.78,85620.86,305942.4
2017-12-07,XTZUSD,3.3,3.75,3.02,3.75,77442.63,257277.53
2017-12-06,XTZUSD,2.79,3.69,2.77,3.3,95230.37,297228.06
2017-12-05,XTZUSD,2.67,2.85,2.64,2.79,62176.83,170043.44
2017-12-04,XTZUSD,2.72,2.79,2.51,2.67,69260.4,183667.96
2017-12-03,XTZUSD,2.47,2.9,2.45,2.72,82725.75,219367.93
2017-12-02,XTZUSD,2.39,2.52,2.38,2.47,91059.92,223536.09
2017-12-01,XTZUSD,2.15,2.42,2.05,2.39,70272.0,156963.68
2017-11-30,XTZUSD,2.06,2.24,1.92,2.15,83365.33,173552.76
2017-11-29,XTZUSD,2.12,2.4,1.9,2.06,91334.64,201850.6
2017-11-28,XTZUSD,2.14,2.26,2.05,2.12,63049.31,134864.75
2017-11-27,XTZUSD,2.13,2.27,1.97,2.14,66322.09,140011.51
2017-11-26,XTZUSD,2.04,2.2,2.01,2.13,70177.77,149040.82
2017-11-25,XTZUSD,1.96,2.21,1.92,2.04,64366.44,133750.56
2017-11-24,XTZUSD,2,2.13,1.84,1.96,78301.73,156470.19
2017-11-23,XTZUSD,2.29,2.43,2,2,58155.88,124492.67
2017-11-22,XTZUSD,1.74,2.44,1.71,2.29,115866.75,229751.48
2017-11-21,XTZUSD,1.73,1.78,1.68,1.74,69407.04,120859.52
2017-11-20,XTZUSD,1.7,1.78,1.68,1.73,72565.31,125350.31
2017-11-19,XTZUSD,1.68,1.73,1.62,1.7,61502.76,103374.28
2017-11-18,XTZUSD,1.65,1.68,1.61,1.68,64553.32,106225.19
2017-11-17,XTZUSD,1.67,1.7,1.6,1.65,86725.78,143469.22
2017-11-16,XTZUSD,1.63,1.7,1.52,1.67,88117.32,141444.37
2017-11-15,XTZUSD,1.59,1.65,1.49,1.63,67178.1,106936.62
2017-11-14,XTZUSD,1.46,1.6,1.41,1.59,74222.73,111722.58
2017-11-13,XTZUSD,1.46,1.6,1.4,1.46,73476.42,108253.94
2017-11-12,XTZUSD,1.58,1.61,1.43,1.46,82686.97,127505.39
2017-11-11,XTZUSD,1.56,1.63,1.5,1.58,82799.84,129686.31
2017-11-10,XTZUSD,1.72,1.78,1.49,1.56,83179.94,135821.88
2017-11-09,XTZUSD,1.6,1.78,1.55,1.72,70217.9,118343.97
2017-11-08,XTZUSD,1.7,1.79,1.58,1.6,69873.76,119957.04
2017-11-07,XTZUSD,1.53,1.85,1.49,1.7,83977.23,144232.64
2017-11-06,XTZUSD,1.71,1.79,1.52,1.53,77018.25,130576.62
2017-11-05,XTZUSD,1.76,1.81,1.7,1.71,62780.91,110068.34
2017-11-04,XTZUSD,1.73,1.91,1.72,1.76,66316.2,119148.46
2017-11-03,XTZUSD,1.6,1.8,1.57,1.73,70034.64,119288.4
2017-11-02,XTZUSD,1.73,1.76,1.48,1.6,56843.98,90423.48
2017-11-01,XTZUSD,1.76,1.79,1.65,1.73,66131.2,113372.41
2017-10-31,XTZUSD,1.76,1.8,1.68,1.76,62116.06,109032.8
2017-10-30,XTZUSD,1.75,1.82,1.72,1.76,60100.28,106073.37
2017-10-29,XTZUSD,1.82,1.84,1.68,1.75,57635.52,101623.12
2017-10-28,XTZUSD,1.78,1.85,1.72,1.82,41704.33,74446.86
2017-10-27,XTZUSD,1.79,1.86,1.76,1.78,42544.09,77194.14
2017-10-26,XTZUSD,1.77,1.82,1.7,1.79,37567.62,66023.27
2017-10-25,XTZUSD,1.83,1.88,1.72,1.77,46115.83,83111.31
2017-10-24,XTZUSD,1.74,1.99,1.67,1.83,58884.26,109320.79
2017-10-23,XTZUSD,1.66,1.8,1.63,1.74,57522.6,99548.84
2017-10-22,XTZUSD,1.83,1.92,1.62,1.66,78861.73,139225.87
2017-10-21,XTZUSD,1.81,1.99,1.62,1.83,73968.01,132492.61
2017-10-20,XTZUSD,1.98,2.26,1.75,1.81,70127.19,142307.99
2017-10-19,XTZUSD,2.25,2.39,1.63,1.98,105827.16,208483.47
2017-10-18,XTZUSD,2.54,2.6,2.2,2.25,43287.04,102761.1
2017-10-17,XTZUSD,2.6,2.64,2.3,2.54,47021.17,117668.59
2017-10-16,XTZUSD,2.47,2.65,2.4,2.6,35187.04,89151.35
2017-10-15,XTZUSD,2.63,2.78,2.3,2.47,49585.01,128789.59
2017-10-14,XTZUSD,2.38,2.67,2.35,2.63,32364.62,79655.52
2017-10-13,XTZUSD,2.44,2.49,2.27,2.38,39584.53,95112.77
2017-10-12,XTZUSD,2.3,2.49,2.2,2.44,40728.23,96779.69
2017-10-11,XTZUSD,2.32,2.42,2.15,2.3,36382.6,82580.71
2017-10-10,XTZUSD,2.29,2.45,2.06,2.32,50039.71,111756.39
2017-10-09,XTZUSD,2.38,2.41,2.05,2.29,52802.02,116984.59
2017-10-08,XTZUSD,2.28,2.62,2.24,2.38,45172.91,108525.01
2017-10-07,XTZUSD,2.14,2.47,2.09,2.28,40988.91,94057.87
2017-10-06,XTZUSD,2.13,2.2,2.04,2.14,42461.09,91133.47
2017-10-05,XTZUSD,2.15,2.24,1.85,2.13,75726.62,157400.08
2017-10-04,XTZUSD,1.91,2.19,1.88,2.15,65171.12,133211.29
2017-10-03,XTZUSD,1.89,2.07,1.73,1.91,72418.71,138994.39
2017-10-02,XTZUSD,1.7,1.99,1.59,1.89,72066.65,130635.9
2017-10-01,XTZUSD,1.62,1.75,1.61,1.7,40089.52,67011.69
2017-09-30,XTZUSD,1.79,1.89,1.6,1.62,54701.65,93125.71
2017-09-29,XTZUSD,1.65,1.8,1.57,1.79,57499.71,96996.61
2017-09-28,XTZUSD,1.66,1.72,1.56,1.65,43269.67,71186.6
2017-09-27,XTZUSD,1.62,1.72,1.48,1.66,63303.75,102378.29
2017-09-26,XTZUSD,1.67,1.72,1.59,1.62,51511.57,84868.52
2017-09-25,XTZUSD,1.52,1.74,1.51,1.67,59903.43,97412.33
2017-09-24,XTZUSD,1.58,1.75,1.46,1.52,87031.91,138602.06
2017-09-23,XTZUSD,1.55,1.8,1.43,1.58,68656.03,110252.59
2017-09-22,XTZUSD,1.69,1.79,1.41,1.55,55608.12,88246.84
2017-09-21,XTZUSD,1.86,1.89,1.38,1.69,54773.33,95893.37
2017-09-20,XTZUSD,1.84,1.95,1.77,1.86,44956.43,83392.36
2017-09-19,XTZUSD,1.84,1.89,1.62,1.84,46815.81,83484.23
2017-09-18,XTZUSD,1.68,1.97,1.63,1.84,54251.83,97454.41
2017-09-17,XTZUSD,1.7,1.73,1.31,1.68,54836.61,87138.03
2017-09-16,XTZUSD,1.39,1.81,1.31,1.7,42690.84,69931.76
2017-09-15,XTZUSD,1.7,1.86,1.15,1.39,52874.08,80121.56
2017-09-14,XTZUSD,1.82,1.94,1.1,1.7,50080.09,80521.77
2017-09-13,XTZUSD,1.98,2,1.7,1.82,29638.99,54506.9
2017-09-12,XTZUSD,1.83,2.03,1.81,1.98,29501.99,56814.65
2017-09-11,XTZUSD,1.83,1.99,1.71,1.83,26059.73,48317.28
2017-09-10,XTZUSD,1.92,2.04,1.81,1.83,26613.35,50457.55
2017-09-09,XTZUSD,1.94,1.99,1.74,1.92,29386.52,55378.75
2017-09-08,XTZUSD,2.07,2.14,1.72,1.94,35158.5,68289.85
2017-09-07,XTZUSD,2.01,2.14,1.88,2.07,29455.78,59166.26
2017-09-06,XTZUSD,2.1,2.14,1.73,2.01,22250.54,44118.18
2017-09-05,XTZUSD,1.83,2.18,1.7,2.1,7775.22,15066.51
2017-09-04,XTZUSD,2.21,2.32,1.68,1.83,24084.04,49629.81
2017-09-03,XTZUSD,2.2,2.31,1.97,2.21,32093.97,69567.53
2017-09-02,XTZUSD,2.45,2.5,2.07,2.2,16900.68,39701.74
2017-09-01,XTZUSD,2.37,2.5,2.26,2.45,37760.72,92168.96
2017-08-31,XTZUSD,2.31,2.48,2.26,2.37,25186.69,59747.16
2017-08-30,XTZUSD,2.21,2.48,2.11,2.31,40550.6,93628.82
2017-08-29,XTZUSD,2,2.3,1.77,2.21,42369.44,89714.76
2017-08-28,XTZUSD,2.15,2.28,1.83,2,24786.9,50948.74
2017-08-27,XTZUSD,2.13,2.26,2.03,2.15,16110.77,33816.47
2017-08-26,XTZUSD,2.23,2.3,2,2.13,25041.56,55450.16
2017-08-25,XTZUSD,1.92,2.34,1.92,2.23,35734.31,77673.84
2017-08-24,XTZUSD,1.9,2.19,1.69,1.92,39213.24,77154.76
2017-08-23,XTZUSD,1.45,1.96,1.42,1.9,18584.55,31654.63
2017-08-22,XTZUSD,1.68,1.85,1.35,1.45,21188.35,31762.92
2017-08-21,XTZUSD,1.34,1.89,1.25,1.68,29165.54,40834.59
2017-08-20,XTZUSD,1.27,1.38,1.23,1.34,50257.16,64091.33
2017-08-19,XTZUSD,1.25,1.36,1.21,1.27,43977.24,54835.0
2017-08-18,XTZUSD,1.3,1.39,1.2,1.25,43576.61,55607.3
2017-08-17,XTZUSD,1.3,1.4,1.27,1.3,48052.71,62973.76
2017-08-16,XTZUSD,1.24,1.36,1.22,1.3,39247.86,49936.85
2017-08-15,XTZUSD,1.37,1.47,1.21,1.24,33632.69,43543.86
2017-08-14,XTZUSD,1.23,1.46,1.21,1.37,35951.57,46918.12
2017-08-13,XTZUSD,1.28,1.32,1.15,1.23,44129.12,54500.0
2017-08-12,XTZUSD,1.23,1.41,1.22,1.28,32419.25,41827.86
2017-08-11,XTZUSD,1.16,1.4,1.16,1.23,45899.77,55811.75
2017-08-10,XTZUSD,1.18,1.3,1.14,1.16,29159.04,34196.69
2017-08-09,XTZUSD,1.23,1.37,1.16,1.18,36855.22,45083.48
2017-08-08,XTZUSD,1.43,1.53,1.2,1.23,42367.5,56726.44
2017-08-07,XTZUSD,1.78,2.1,1.4,1.43,39442.09,65520.01
2017-08-06,XTZUSD,1.63,1.95,1.6,1.78,12414.2,21339.84
2017-08-05,XTZUSD,1.43,1.71,1.4,1.63,15238.36,23511.25
2017-08-04,XTZUSD,1.41,1.47,1.4,1.43,14742.38,21050.18
2017-08-03,XTZUSD,1.42,1.46,1.14,1.41,23490.94,31542.33
2017-08-02,XTZUSD,1.45,1.51,1.37,1.42,17859.63,25346.4
2017-08-01,XTZUSD,1.41,1.55,1.37,1.45,26139.18,37399.64
2017-07-31,XTZUSD,1.42,1.44,1.37,1.41,25491.4,35629.48
2017-07-30,XTZUSD,1.41,1.44,1.37,1.42,20968.17,29448.14
2017-07-29,XTZUSD,1.42,1.5,1.37,1.41,24759.81,34808.68
2017-07-28,XTZUSD,1.45,1.53,1.4,1.42,25831.99,37207.57
2017-07-27,XTZUSD,1.44,1.54,1.42,1.45,137030.62,199598.13
