Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MAI,Volume DBTC
2017-11-28,MAIDBTC,5.068e-05,6.561e-05,4.823e-05,5.596e-05,1699990.0,88.55
2017-11-27,MAIDBTC,4.879e-05,5.221e-05,4.65e-05,5.068e-05,1928295.0,96.31
2017-11-26,MAIDBTC,5.47e-05,5.514e-05,4.768e-05,4.879e-05,1758773.0,90.61
2017-11-25,MAIDBTC,5.509e-05,5.737e-05,5.315e-05,5.47e-05,1635787.0,89.66
2017-11-24,MAIDBTC,5.783e-05,5.796e-05,5.306e-05,5.509e-05,1490223.0,82.65
2017-11-23,MAIDBTC,5.129e-05,5.832e-05,5.092e-05,5.783e-05,1887186.0,103.67
2017-11-22,MAIDBTC,5.089e-05,5.361e-05,5.08e-05,5.129e-05,1509005.0,78.03
2017-11-21,MAIDBTC,4.735e-05,5.1e-05,4.601e-05,5.089e-05,1538249.0,73.63
2017-11-20,MAIDBTC,4.882e-05,5.022e-05,4.632e-05,4.735e-05,1932723.0,93.04
2017-11-19,MAIDBTC,5.011e-05,5.286e-05,4.786e-05,4.882e-05,1822255.0,91.97
2017-11-18,MAIDBTC,4.958e-05,5.437e-05,4.922e-05,5.011e-05,2102500.0,107.4
2017-11-17,MAIDBTC,4.913e-05,5.065e-05,4.578e-05,4.958e-05,1922837.0,94.51
2017-11-16,MAIDBTC,5.512e-05,5.686e-05,4.855e-05,4.913e-05,2075142.0,113.27
2017-11-15,MAIDBTC,6.212e-05,6.276e-05,5.362e-05,5.512e-05,1612412.0,94.27
2017-11-14,MAIDBTC,6.184e-05,6.689e-05,5.871e-05,6.212e-05,2004152.0,123.18
2017-11-13,MAIDBTC,6.722e-05,7.068e-05,5.847e-05,6.184e-05,1598985.0,102.29
2017-11-12,MAIDBTC,6.357e-05,6.783e-05,5.891e-05,6.722e-05,1848233.0,119.69
2017-11-11,MAIDBTC,6.282e-05,6.551e-05,5.772e-05,6.357e-05,1829871.0,114.72
2017-11-10,MAIDBTC,6.452e-05,6.888e-05,6.001e-05,6.282e-05,1961099.0,124.6
2017-11-09,MAIDBTC,5.927e-05,6.97e-05,5.847e-05,6.452e-05,2209556.0,143.92
2017-11-08,MAIDBTC,5.342e-05,6.419e-05,5.075e-05,5.927e-05,2160315.0,119.72
2017-11-07,MAIDBTC,5.028e-05,5.556e-05,4.87e-05,5.342e-05,2034584.0,104.95
2017-11-06,MAIDBTC,4.411e-05,5.346e-05,4.324e-05,5.028e-05,2022619.0,95.08
2017-11-05,MAIDBTC,4.444e-05,4.787e-05,4.22e-05,4.411e-05,1715395.0,77.96
2017-11-04,MAIDBTC,4.428e-05,4.784e-05,4.342e-05,4.444e-05,2004364.0,91.04
2017-11-03,MAIDBTC,4.698e-05,4.924e-05,4.221e-05,4.428e-05,1824355.0,82.03
2017-11-02,MAIDBTC,5.489e-05,5.681e-05,3.978e-05,4.698e-05,2023441.0,95.53
2017-11-01,MAIDBTC,6.082e-05,6.102e-05,5.217e-05,5.489e-05,1885165.0,109.69
2017-10-31,MAIDBTC,5.842e-05,6.238e-05,5.777e-05,6.082e-05,1886985.0,112.44
2017-10-30,MAIDBTC,5.799e-05,5.952e-05,5.777e-05,5.842e-05,901417.0,52.64
2017-10-29,MAIDBTC,6.046e-05,6.42e-05,5.777e-05,5.799e-05,2105257.0,129.66
2017-10-28,MAIDBTC,6.054e-05,6.233e-05,5.884e-05,6.046e-05,1241633.0,74.95
2017-10-27,MAIDBTC,5.856e-05,6.138e-05,5.778e-05,6.054e-05,1132095.0,67.13
2017-10-26,MAIDBTC,6.164e-05,6.651e-05,5.777e-05,5.856e-05,992928.0,60.19
2017-10-25,MAIDBTC,6.474e-05,6.914e-05,5.647e-05,6.164e-05,1192455.0,75.23
2017-10-24,MAIDBTC,5.645e-05,7.0e-05,5.5e-05,6.474e-05,1500756.0,94.58
2017-10-23,MAIDBTC,5.55e-05,5.842e-05,5.381e-05,5.645e-05,1992224.0,112.78
2017-10-22,MAIDBTC,5.736e-05,6.117e-05,5.424e-05,5.55e-05,2360357.0,137.13
2017-10-21,MAIDBTC,6.035e-05,6.255e-05,5.029e-05,5.736e-05,2660918.0,152.35
2017-10-20,MAIDBTC,6.433e-05,6.793e-05,5.842e-05,6.035e-05,2155127.0,138.12
2017-10-19,MAIDBTC,7.01e-05,7.168e-05,6.383e-05,6.433e-05,1994036.0,135.43
2017-10-18,MAIDBTC,7.3e-05,7.591e-05,6.887e-05,7.01e-05,1867917.0,134.32
2017-10-17,MAIDBTC,7.351e-05,7.422e-05,6.851e-05,7.3e-05,1969772.0,139.17
2017-10-16,MAIDBTC,6.985e-05,7.592e-05,6.796e-05,7.351e-05,1947885.0,140.16
2017-10-15,MAIDBTC,6.711e-05,7.724e-05,6.27e-05,6.985e-05,2434729.0,166.43
2017-10-14,MAIDBTC,6.867e-05,7.302e-05,6.592e-05,6.711e-05,1827934.0,125.84
2017-10-13,MAIDBTC,7.066e-05,7.26e-05,5.456e-05,6.867e-05,2375447.0,159.05
2017-10-12,MAIDBTC,8.255e-05,8.275e-05,6.85e-05,7.066e-05,2106943.0,161.29
2017-10-11,MAIDBTC,8.368e-05,9.022e-05,7.965e-05,8.255e-05,2025668.0,170.63
2017-10-10,MAIDBTC,8.614e-05,8.998e-05,7.779e-05,8.368e-05,1995981.0,166.36
2017-10-09,MAIDBTC,9.306e-05,9.584e-05,7.893e-05,8.614e-05,1747379.0,156.87
2017-10-08,MAIDBTC,0.0001029,0.0001038,9.062e-05,9.306e-05,1593389.0,155.69
2017-10-07,MAIDBTC,0.0001071,0.0001087,0.000101,0.0001029,1344045.0,139.9
2017-10-06,MAIDBTC,0.0001017,0.0001115,8.977e-05,0.0001071,1426961.0,150.44
2017-10-05,MAIDBTC,0.0001055,0.0001068,9.846e-05,0.0001017,1245882.0,129.22
2017-10-04,MAIDBTC,0.0001068,0.0001145,9.801e-05,0.0001055,1452624.0,159.43
2017-10-03,MAIDBTC,0.0001008,0.0001147,9.977e-05,0.0001068,1383485.0,147.14
2017-10-02,MAIDBTC,0.0001036,0.0001091,0.0001,0.0001008,1009861.0,104.29
2017-10-01,MAIDBTC,0.0001108,0.0001145,0.0001018,0.0001036,977614.0,107.16
2017-09-30,MAIDBTC,0.0001172,0.000119,0.0001057,0.0001108,857896.0,97.45
2017-09-29,MAIDBTC,0.0001171,0.00012,0.0001055,0.0001172,1044059.0,120.27
2017-09-28,MAIDBTC,0.0001213,0.000124,0.0001158,0.0001171,738756.0,88.73
2017-09-27,MAIDBTC,0.0001265,0.0001292,0.0001209,0.0001213,701165.0,87.79
2017-09-26,MAIDBTC,0.0001275,0.0001295,0.0001253,0.0001265,610501.0,77.59
2017-09-25,MAIDBTC,0.0001302,0.0001338,0.0001251,0.0001275,709078.0,90.94
2017-09-24,MAIDBTC,0.0001284,0.0001348,0.0001262,0.0001302,653612.0,85.13
2017-09-23,MAIDBTC,0.0001276,0.000135,0.0001252,0.0001284,697479.0,89.95
2017-09-22,MAIDBTC,0.0001354,0.00014,0.0001235,0.0001276,916788.0,120.27
2017-09-21,MAIDBTC,0.000144,0.00015,0.00013,0.0001354,898932.0,125.48
2017-09-20,MAIDBTC,0.0001424,0.0001472,0.0001335,0.000144,814673.0,114.18
2017-09-19,MAIDBTC,0.000142,0.0001466,0.0001376,0.0001424,504478.0,72.12
2017-09-18,MAIDBTC,0.0001424,0.0001473,0.0001369,0.000142,488740.0,70.06
2017-09-17,MAIDBTC,0.0001433,0.000149,0.0001366,0.0001424,736701.0,105.44
2017-09-16,MAIDBTC,0.0001505,0.0001574,0.00014,0.0001433,339764.0,49.16
2017-09-15,MAIDBTC,0.0001261,0.0001584,0.0001218,0.0001505,671932.0,92.05
