Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REP,Volume ETH
2018-02-20,REPETH,0.05653,0.0573,0.05478,0.05657,1647.78,91.67
2018-02-19,REPETH,0.05741,0.05777,0.05593,0.05653,490.57,28.16
2018-02-18,REPETH,0.0557,0.0601,0.0557,0.05741,1652.43,95.76
2018-02-17,REPETH,0.05609,0.0577,0.05469,0.0557,1280.39,72.37
2018-02-16,REPETH,0.05706,0.05867,0.05481,0.05609,752.51,42.37
2018-02-15,REPETH,0.05653,0.059,0.056,0.05706,2214.75,128.03
2018-02-14,REPETH,0.05919,0.05919,0.0559,0.05653,2173.95,124.48
2018-02-13,REPETH,0.06173,0.06173,0.058,0.05919,544.56,32.45
2018-02-12,REPETH,0.06006,0.06731,0.06006,0.06173,2173.23,135.17
2018-02-11,REPETH,0.06347,0.06574,0.05969,0.06006,1114.83,69.06
2018-02-10,REPETH,0.06458,0.06553,0.06215,0.06347,822.49,52.09
2018-02-09,REPETH,0.06385,0.06519,0.06189,0.06458,1832.98,115.44
2018-02-08,REPETH,0.06221,0.06519,0.06083,0.06385,1146.73,73.41
2018-02-07,REPETH,0.0598,0.063,0.05917,0.06221,2495.91,152.42
2018-02-06,REPETH,0.06123,0.06362,0.05842,0.0598,2995.79,182.39
2018-02-05,REPETH,0.06165,0.06724,0.0574,0.06123,3127.48,194.61
2018-02-04,REPETH,0.06351,0.06379,0.05766,0.06165,1284.32,77.87
2018-02-03,REPETH,0.06328,0.06397,0.05833,0.06351,916.16,55.87
2018-02-02,REPETH,0.06346,0.0659,0.05445,0.06328,4573.4,271.66
2018-02-01,REPETH,0.0615,0.06411,0.056,0.06346,6570.25,394.68
2018-01-31,REPETH,0.06449,0.06465,0.06085,0.0615,776.57,48.35
2018-01-30,REPETH,0.0675,0.068,0.06208,0.06449,1454.68,94.34
2018-01-29,REPETH,0.06805,0.07036,0.06543,0.0675,683.35,46.89
2018-01-28,REPETH,0.07608,0.07622,0.06724,0.06805,955.88,66.91
2018-01-27,REPETH,0.07954,0.08109,0.07384,0.07608,529.5,40.69
2018-01-26,REPETH,0.08431,0.08472,0.077,0.07954,1391.78,112.77
