Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume BTC
2019-02-24,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-02-23,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-02-22,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-02-21,ETCBTC,0.001164,0.001164,0.001164,0.001164,0.0,0.0
2019-02-20,ETCBTC,0.001164,0.001164,0.001164,0.001164,42.99,0.05004
2019-02-19,ETCBTC,0.001117,0.001164,0.001117,0.001164,5.79,0.00674
2019-02-18,ETCBTC,0.001117,0.001117,0.001117,0.001117,0.0,0.0
2019-02-17,ETCBTC,0.0001235,0.001117,0.0001235,0.001117,1.78,0.001987
2019-02-16,ETCBTC,0.001148,0.00125,0.0001235,0.0001235,8.93,0.01052
2019-02-15,ETCBTC,0.001122,0.001148,0.001122,0.001148,11.86,0.01362
2019-02-14,ETCBTC,0.001122,0.001122,0.001122,0.001122,0.0,0.0
2019-02-13,ETCBTC,0.001122,0.001122,0.001122,0.001122,0.0,0.0
2019-02-12,ETCBTC,0.001122,0.001122,0.001122,0.001122,0.0,0.0
2019-02-11,ETCBTC,0.001127,0.001132,0.001107,0.001122,201.05,0.2259
2019-02-10,ETCBTC,0.001122,0.001127,0.001081,0.001127,11.88,0.01304
2019-02-09,ETCBTC,0.001127,0.001127,0.001122,0.001122,48.2,0.05417
2019-02-08,ETCBTC,0.001117,0.001127,0.001117,0.001127,0.9904,0.001116
2019-02-07,ETCBTC,0.001117,0.001117,0.001117,0.001117,0.0,0.0
2019-02-06,ETCBTC,0.001117,0.001117,0.001117,0.001117,0.0,0.0
2019-02-05,ETCBTC,0.001132,0.001132,0.001117,0.001117,51.65,0.05772
2019-02-04,ETCBTC,0.001138,0.001138,0.001132,0.001132,9.62,0.01088
2019-02-03,ETCBTC,0.001138,0.001138,0.001138,0.001138,0.0,0.0
2019-02-02,ETCBTC,0.001138,0.001138,0.001138,0.001138,0.0,0.0
2019-02-01,ETCBTC,0.001141,0.001141,0.001138,0.001138,40.08,0.04561
2019-01-31,ETCBTC,0.001154,0.001154,0.001141,0.001141,2.15,0.002451
2019-01-30,ETCBTC,0.00122,0.00122,0.001154,0.001154,0.3,0.0003467
2019-01-29,ETCBTC,0.00122,0.00122,0.00122,0.00122,0.0,0.0
2019-01-28,ETCBTC,0.00122,0.00122,0.00122,0.00122,0.0,0.0
2019-01-27,ETCBTC,0.00122,0.00122,0.00122,0.00122,0.0,0.0
2019-01-26,ETCBTC,0.00122,0.00122,0.00122,0.00122,0.0,0.0
2019-01-25,ETCBTC,0.00119,0.00122,0.00119,0.00122,29.83,0.03639
2019-01-24,ETCBTC,0.001185,0.001203,0.001185,0.00119,95.26,0.1134
2019-01-23,ETCBTC,0.001204,0.001204,0.001185,0.001185,21.73,0.02575
2019-01-22,ETCBTC,0.001204,0.001204,0.001204,0.001204,0.0,0.0
2019-01-21,ETCBTC,0.001197,0.001395,0.001197,0.001204,316.93,0.3948
2019-01-20,ETCBTC,0.001171,0.001197,0.001171,0.001197,7.51,0.008993
2019-01-19,ETCBTC,0.001171,0.001171,0.001171,0.001171,0.0,0.0
2019-01-18,ETCBTC,0.001186,0.001186,0.001171,0.001171,20.24,0.0237
2019-01-17,ETCBTC,0.00119,0.00119,0.001162,0.001186,23.09,0.02743
2019-01-16,ETCBTC,0.00117,0.00119,0.00117,0.00119,9.38,0.01116
2019-01-15,ETCBTC,0.001198,0.001198,0.00117,0.00117,47.03,0.055
2019-01-14,ETCBTC,0.001222,0.001222,0.001198,0.001198,23.74,0.02845
2019-01-13,ETCBTC,0.001229,0.001233,0.001222,0.001222,9.15,0.01124
2019-01-12,ETCBTC,0.00121,0.001229,0.00121,0.001229,2.0,0.002452
2019-01-11,ETCBTC,0.001195,0.00121,0.001195,0.00121,109.95,0.133
2019-01-10,ETCBTC,0.001242,0.001242,0.001195,0.001195,64.19,0.07676
2019-01-09,ETCBTC,0.001242,0.001242,0.001242,0.001242,0.0,0.0
2019-01-08,ETCBTC,0.001205,0.001242,0.001205,0.001242,47.86,0.05859
2019-01-07,ETCBTC,0.001337,0.001337,0.001205,0.001205,204.66,0.2504
2019-01-06,ETCBTC,0.00134,0.00134,0.001337,0.001337,14.31,0.01914
2019-01-05,ETCBTC,0.001389,0.001389,0.001208,0.00134,68.92,0.09081
2019-01-04,ETCBTC,0.001389,0.001389,0.001389,0.001389,0.0,0.0
2019-01-03,ETCBTC,0.001389,0.001389,0.001389,0.001389,0.0,0.0
2019-01-02,ETCBTC,0.001374,0.001389,0.001374,0.001389,10.0,0.01389
2019-01-01,ETCBTC,0.001374,0.001374,0.001374,0.001374,0.0,0.0
2018-12-31,ETCBTC,0.001371,0.001374,0.001371,0.001374,7.7,0.01058
2018-12-30,ETCBTC,0.001371,0.001371,0.001371,0.001371,0.0,0.0
2018-12-29,ETCBTC,0.0014,0.0014,0.00136,0.001371,27.67,0.03782
2018-12-28,ETCBTC,0.0014,0.0014,0.0014,0.0014,0.0,0.0
2018-12-27,ETCBTC,0.001308,0.0014,0.001308,0.0014,152.91,0.2141
2018-12-26,ETCBTC,0.00124,0.001308,0.00124,0.001308,5.79,0.007567
2018-12-25,ETCBTC,0.001291,0.001291,0.00123,0.00124,583.97,0.7257
2018-12-24,ETCBTC,0.001153,0.001291,0.001153,0.001291,4.21,0.005439
2018-12-23,ETCBTC,0.001153,0.001153,0.001153,0.001153,0.0,0.0
2018-12-22,ETCBTC,0.001153,0.001153,0.001153,0.001153,0.0,0.0
2018-12-21,ETCBTC,0.001153,0.001153,0.001153,0.001153,0.0,0.0
2018-12-20,ETCBTC,0.00117,0.00117,0.001153,0.001153,5.72,0.006589
2018-12-19,ETCBTC,0.00117,0.00117,0.00117,0.00117,0.0,0.0
2018-12-18,ETCBTC,0.001133,0.00117,0.001133,0.00117,10.35,0.01174
2018-12-17,ETCBTC,0.001116,0.001133,0.001116,0.001133,216.27,0.2428
2018-12-16,ETCBTC,0.001139,0.001142,0.0009377,0.001116,567.78,0.578
2018-12-15,ETCBTC,0.00117,0.00117,0.001139,0.001139,2.53,0.002883
2018-12-14,ETCBTC,0.00117,0.00117,0.00117,0.00117,0.0,0.0
