Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume ETH
2018-04-12,TRXETH,8.42e-05,8.54e-05,8.04e-05,8.12e-05,9392000.0,779.81
2018-04-11,TRXETH,8.89e-05,8.99e-05,8.36e-05,8.42e-05,6327000.0,551.63
2018-04-10,TRXETH,8.94e-05,9.41e-05,8.72e-05,8.89e-05,5186000.0,469.48
2018-04-09,TRXETH,9.37e-05,9.47e-05,8.68e-05,8.94e-05,7788000.0,697.09
2018-04-08,TRXETH,9.57e-05,9.72e-05,9.34e-05,9.37e-05,5048000.0,478.32
2018-04-07,TRXETH,9.84e-05,9.98e-05,9.4e-05,9.57e-05,10231000.0,985.25
2018-04-06,TRXETH,0.0001035,0.0001179,9.7e-05,9.84e-05,14330000.0,1484.18
2018-04-05,TRXETH,7.96e-05,0.00012,7.83e-05,0.0001035,29417000.0,2937.65
2018-04-04,TRXETH,8.38e-05,8.5e-05,7.91e-05,7.96e-05,10808000.0,879.7
2018-04-03,TRXETH,9.28e-05,9.33e-05,8.3e-05,8.38e-05,10756000.0,931.26
2018-04-02,TRXETH,8.5e-05,9.32e-05,8.07e-05,9.28e-05,11441000.0,982.76
2018-04-01,TRXETH,8.6e-05,8.83e-05,7.87e-05,8.5e-05,13032000.0,1098.18
2018-03-31,TRXETH,0.0001049,0.0001072,8.36e-05,8.6e-05,17893000.0,1635.36
2018-03-30,TRXETH,0.0001115,0.000115,0.0001035,0.0001049,19980000.0,2180.43
2018-03-29,TRXETH,0.0001095,0.000125,0.0001048,0.0001115,19053000.0,2197.62
2018-03-28,TRXETH,9.59e-05,0.0001111,9.54e-05,0.0001095,11359000.0,1137.16
2018-03-27,TRXETH,9.07e-05,9.98e-05,8.62e-05,9.59e-05,16833000.0,1579.75
2018-03-26,TRXETH,8.69e-05,9.23e-05,8.15e-05,9.07e-05,14465000.0,1239.33
2018-03-25,TRXETH,9.43e-05,9.55e-05,8.5e-05,8.69e-05,12757000.0,1154.12
