Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume USDT
2019-03-12,NEOUSDT,8.72,8.95,8.55,8.83,326061.07,2865790.33
2019-03-11,NEOUSDT,8.76,8.85,8.46,8.72,401415.04,3469857.84
2019-03-10,NEOUSDT,8.96,9.03,8.62,8.76,378603.66,3334033.7
2019-03-09,NEOUSDT,8.77,9.13,8.72,8.96,518752.13,4647394.23
2019-03-08,NEOUSDT,9.18,9.23,8.61,8.77,705270.36,6320567.39
2019-03-07,NEOUSDT,8.71,9.29,8.65,9.18,664303.32,5926986.93
2019-03-06,NEOUSDT,8.74,8.89,8.54,8.71,447770.64,3884917.68
2019-03-05,NEOUSDT,8.16,8.87,8.09,8.74,663267.56,5668176.19
2019-03-04,NEOUSDT,8.62,8.66,7.9,8.16,659791.04,5438102.37
2019-03-03,NEOUSDT,8.7,8.83,8.54,8.62,290891.24,2535657.99
2019-03-02,NEOUSDT,8.95,9.07,8.63,8.7,426693.58,3755768.47
2019-03-01,NEOUSDT,8.81,9.28,8.75,8.95,511179.47,4559037.6
2019-02-28,NEOUSDT,8.86,9.04,8.7,8.81,645894.61,5748442.26
2019-02-27,NEOUSDT,9.05,9.18,8.55,8.86,779369.1,6938542.45
2019-02-26,NEOUSDT,9.2,9.43,8.85,9.05,815465.86,7361591.86
2019-02-25,NEOUSDT,8.91,9.44,8.77,9.2,1620172.13,14758339.91
2019-02-24,NEOUSDT,10.14,10.84,8.51,8.91,3569286.44,34394640.08
2019-02-23,NEOUSDT,8.68,10.3,8.5,10.14,1812503.2,17117886.77
2019-02-22,NEOUSDT,8.59,8.79,8.54,8.68,535307.0,4656261.33
2019-02-21,NEOUSDT,9.11,9.15,8.46,8.59,916304.68,8028335.49
2019-02-20,NEOUSDT,8.88,9.18,8.73,9.11,875815.61,7847267.43
2019-02-19,NEOUSDT,8.78,9.23,8.61,8.88,1261504.13,11315892.21
2019-02-18,NEOUSDT,8.38,8.9,8.18,8.78,1269602.29,10891347.61
