Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume PLN
2019-06-24 08-AM,BTCPLN,40296.4,40584.04,40202.8,40450.1,1.779,71987.71
2019-06-24 07-AM,BTCPLN,40300,40300,40001,40296.4,0.633,25448.42
2019-06-24 06-AM,BTCPLN,40300,40300,40300,40300,0.903,36390.9
2019-06-24 05-AM,BTCPLN,40298,40752.01,39800,40300,0.2097,8464.32
2019-06-24 04-AM,BTCPLN,39500,40298,39500,40298,0.03167,1258.71
2019-06-24 03-AM,BTCPLN,39801.71,39801.71,39500,39500,0.9989,39717.02
2019-06-24 02-AM,BTCPLN,39671.75,39801.71,39671.75,39801.71,0.1084,4311.86
2019-06-24 01-AM,BTCPLN,40844.36,40844.36,39528.7,39671.75,0.5433,21570.97
2019-06-24 12-AM,BTCPLN,40776.6,40844.36,40003,40844.36,0.7625,30592.94
2019-06-23 11-PM,BTCPLN,40499.9,40791.89,40249.9,40776.6,1.759,71106.69
2019-06-23 10-PM,BTCPLN,40421,40900,40303,40499.9,1.1,44666.25
2019-06-23 09-PM,BTCPLN,40850,41699,39900,40421,5.069,208205.18
2019-06-23 08-PM,BTCPLN,40550,41374,40410.03,40850,5.109,208755.79
2019-06-23 07-PM,BTCPLN,39791.14,40755,39625.58,40550,6.043,243858.12
2019-06-23 06-PM,BTCPLN,39633.4,39791.14,39575.6,39791.14,0.209,8299.62
2019-06-23 05-PM,BTCPLN,39697.02,39697.02,39550,39633.4,0.1122,4440.38
2019-06-23 04-PM,BTCPLN,39706.04,39736.57,39229.02,39697.02,0.1882,7448.64
2019-06-23 03-PM,BTCPLN,39737,39737,39000,39706.04,1.342,52758.55
2019-06-23 02-PM,BTCPLN,39690.1,39737,39515,39737,0.903,35788.55
2019-06-23 01-PM,BTCPLN,39800.69,39800.69,39524,39690.1,0.04713,1871.15
2019-06-23 12-PM,BTCPLN,39500.2,39958.55,39500.2,39800.69,1.932,76951.23
2019-06-23 11-AM,BTCPLN,39500,39636.57,39321.58,39500.2,0.5502,21664.78
2019-06-23 10-AM,BTCPLN,39500,39534,39500,39500,0.6955,27476.11
2019-06-23 09-AM,BTCPLN,39734.54,39800.1,39500,39500,0.8525,33790.73
2019-06-23 08-AM,BTCPLN,40200,40200,39732.06,39734.54,0.5049,20139.42
2019-06-23 07-AM,BTCPLN,40200,40200,40000.1,40200,0.0184,739.56
2019-06-23 06-AM,BTCPLN,39650,40200,39650,40200,0.2049,8218.07
2019-06-23 05-AM,BTCPLN,39650,39650,39650,39650,0.0,0.0
2019-06-23 04-AM,BTCPLN,40385,40385,39650,39650,0.1579,6261.51
2019-06-23 03-AM,BTCPLN,39650,40385,39650,40385,0.1703,6876.86
2019-06-23 02-AM,BTCPLN,40385,40385,39650,39650,0.619,24559.38
2019-06-23 01-AM,BTCPLN,40263,40385,40263,40385,0.3677,14823.58
2019-06-23 12-AM,BTCPLN,39205,40385,39205,40263,0.858,34355.75
2019-06-22 11-PM,BTCPLN,39111.09,39807.04,39111.09,39205,2.475,97410.28
2019-06-22 10-PM,BTCPLN,39382.68,39382.68,38516.91,39111.09,2.717,105221.42
2019-06-22 09-PM,BTCPLN,39746.5,39855,39360,39382.68,1.917,75862.8
2019-06-22 08-PM,BTCPLN,39700.3,39785,39525,39746.5,0.8651,34267.66
2019-06-22 07-PM,BTCPLN,40237,40237,39450,39700.3,2.476,98651.63
2019-06-22 06-PM,BTCPLN,40302.9,40576.9,40237,40237,1.382,55647.84
2019-06-22 05-PM,BTCPLN,40602,41000.08,40302.9,40302.9,2.182,88846.29
2019-06-22 04-PM,BTCPLN,40231,41300.98,40231,40602,1.619,66659.6
2019-06-22 03-PM,BTCPLN,40251.83,41070.65,40229.17,40231,2.237,90720.22
2019-06-22 02-PM,BTCPLN,41713.06,42500,39601,40251.83,15.73,634870.24
2019-06-22 01-PM,BTCPLN,42100,42998.99,41460,41713.06,5.247,221104.99
2019-06-22 12-PM,BTCPLN,40473.1,42871.67,40473.1,42100,6.287,262597.32
2019-06-22 11-AM,BTCPLN,40499,41049.55,40450.1,40473.1,4.488,183458.55
2019-06-22 10-AM,BTCPLN,40490,40550,40250,40499,2.819,114127.77
2019-06-22 09-AM,BTCPLN,39850,40499.8,39800,40490,2.248,90834.79
2019-06-22 08-AM,BTCPLN,39400,39999,39102,39850,2.02,80160.87
2019-06-22 07-AM,BTCPLN,39952,40430,38510,39400,9.705,384732.63
2019-06-22 06-AM,BTCPLN,39963.64,40000,39870.1,39952,1.356,54189.98
2019-06-22 05-AM,BTCPLN,39500,39963.64,39500,39963.64,2.009,80130.45
2019-06-22 04-AM,BTCPLN,39500,39767,38930.31,39500,1.731,68495.13
2019-06-22 03-AM,BTCPLN,38911.28,39645.8,38911.28,39500,4.43,174816.4
2019-06-22 02-AM,BTCPLN,38380.38,39310.2,38380.38,38911.28,3.293,127665.33
2019-06-22 01-AM,BTCPLN,37845.31,38380.38,37804.1,38380.38,1.896,72386.39
2019-06-22 12-AM,BTCPLN,37800,37845.31,37799,37845.31,1.096,41419.13
2019-06-21 11-PM,BTCPLN,37268.3,37800,37268.3,37800,0.7648,28759.3
2019-06-21 10-PM,BTCPLN,37500,37500,37205,37268.3,1.284,48017.72
2019-06-21 09-PM,BTCPLN,37391,37500,37229,37500,1.895,70990.61
2019-06-21 08-PM,BTCPLN,37097.7,37397.87,37097.7,37391,0.8579,32077.1
2019-06-21 07-PM,BTCPLN,37250,37250,37097.7,37097.7,1.358,50548.71
2019-06-21 06-PM,BTCPLN,37337.05,37364.34,37250,37250,0.1857,6926.4
2019-06-21 05-PM,BTCPLN,37100.1,37337.05,37054.9,37337.05,0.7097,26400.88
2019-06-21 04-PM,BTCPLN,37394.7,37394.7,37016.42,37100.1,1.8,66948.68
2019-06-21 03-PM,BTCPLN,37057,37398.9,36946,37394.7,2.231,82803.45
2019-06-21 02-PM,BTCPLN,37081.09,37081.09,36960.1,37057,0.1679,6218.24
2019-06-21 01-PM,BTCPLN,36977,37411.9,36667.5,37081.09,4.231,156651.6
2019-06-21 12-PM,BTCPLN,36826.13,37250,36826.13,36977,1.266,47065.45
2019-06-21 11-AM,BTCPLN,36828,37000.21,36753.7,36826.13,3.682,135970.63
2019-06-21 10-AM,BTCPLN,36667.5,36828,36667.5,36828,5.581,205264.1
2019-06-21 09-AM,BTCPLN,36380,36667.5,36350,36667.5,3.148,115267.43
2019-06-21 08-AM,BTCPLN,36400,36400,36377.56,36380,1.835,66801.73
2019-06-21 07-AM,BTCPLN,36421.3,36610.2,36353.3,36400,3.405,124519.56
2019-06-21 06-AM,BTCPLN,36399.1,36610.2,36399,36421.3,0.3905,14222.34
2019-06-21 05-AM,BTCPLN,36535.2,36610.2,36399.1,36399.1,0.3882,14170.67
2019-06-21 04-AM,BTCPLN,36500,36535.29,36500,36535.2,0.1719,6278.68
2019-06-21 03-AM,BTCPLN,36448,36500,36447.9,36500,1.32,48163.57
2019-06-21 02-AM,BTCPLN,36135,36448,36135,36448,2.01,72907.51
2019-06-21 01-AM,BTCPLN,36069.76,36135,36069.7,36135,2.521,91017.46
2019-06-21 12-AM,BTCPLN,35800,36069.76,35800,36069.76,0.03088,1113.7
2019-06-20 11-PM,BTCPLN,35743.2,36051.9,35743.2,35800,0.09178,3295.66
2019-06-20 10-PM,BTCPLN,35750,35750,35743.2,35743.2,0.06642,2374.06
2019-06-20 09-PM,BTCPLN,35673.1,36060,35660.18,35750,4.748,170464.31
2019-06-20 08-PM,BTCPLN,35990,36047.88,35532.25,35673.1,5.551,198757.09
2019-06-20 07-PM,BTCPLN,35503.4,35990,35500,35990,3.724,133415.88
2019-06-20 06-PM,BTCPLN,35500,35536,35400,35503.4,0.7662,27185.97
2019-06-20 05-PM,BTCPLN,35400,35500,35138,35500,0.6986,24777.57
2019-06-20 04-PM,BTCPLN,35404.75,35601,35400,35400,28.37,1008809.42
2019-06-20 03-PM,BTCPLN,35379,35404.75,35204.75,35404.75,0.1727,6100.81
2019-06-20 02-PM,BTCPLN,35089,35389.5,35089,35379,0.02552,902.94
2019-06-20 01-PM,BTCPLN,35400,35400,35089,35089,0.0062,217.55
2019-06-20 12-PM,BTCPLN,35241.1,35400,35088.9,35400,0.2106,7440.71
2019-06-20 11-AM,BTCPLN,35065.38,35244,35050,35241.1,1.028,36031.68
2019-06-20 10-AM,BTCPLN,35100.1,35102.05,35050.35,35065.38,0.1708,5991.53
