Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume TRX,Volume BTC
2017-12-13,TRXBTC,4.5e-07,1.3e-06,4.0e-07,9.5e-07,110168000.0,85.18
2017-12-12,TRXBTC,3.0e-07,4.7e-07,2.9e-07,4.5e-07,55533000.0,21.63
2017-12-11,TRXBTC,2.8e-07,3.1e-07,2.7e-07,3.0e-07,21520000.0,6.26
2017-12-10,TRXBTC,2.9e-07,3.1e-07,2.5e-07,2.8e-07,27301000.0,7.64
2017-12-09,TRXBTC,2.5e-07,3.2e-07,2.5e-07,2.9e-07,38874000.0,11.21
2017-12-08,TRXBTC,2.2e-07,2.7e-07,1.8e-07,2.5e-07,33526000.0,7.73
2017-12-07,TRXBTC,2.2e-07,4.1e-07,2.1e-07,2.2e-07,95404000.0,28.29
2017-12-06,TRXBTC,1.8e-07,3.4e-07,1.7e-07,2.2e-07,45583000.0,10.09
2017-12-05,TRXBTC,1.8e-07,2.0e-07,1.7e-07,1.8e-07,10952000.0,1.98
2017-12-04,TRXBTC,1.9e-07,1.9e-07,1.7e-07,1.8e-07,24515000.0,4.42
2017-12-03,TRXBTC,1.9e-07,2.0e-07,1.7e-07,1.9e-07,10111000.0,1.89
2017-12-02,TRXBTC,1.9e-07,2.0e-07,1.8e-07,1.9e-07,19287000.0,3.69
2017-12-01,TRXBTC,2.3e-07,2.4e-07,1.8e-07,1.9e-07,6451000.0,1.35
2017-11-30,TRXBTC,2.1e-07,2.3e-07,2.1e-07,2.3e-07,3463000.0,0.7661
2017-11-29,TRXBTC,2.4e-07,2.7e-07,2.0e-07,2.1e-07,18636000.0,4.47
2017-11-28,TRXBTC,2.3e-07,2.8e-07,2.1e-07,2.4e-07,15511000.0,3.59
2017-11-27,TRXBTC,2.4e-07,2.4e-07,2.1e-07,2.3e-07,7146000.0,1.56
2017-11-26,TRXBTC,2.3e-07,2.6e-07,2.2e-07,2.4e-07,6262000.0,1.48
2017-11-25,TRXBTC,2.5e-07,2.8e-07,2.3e-07,2.3e-07,12291000.0,3.04
2017-11-24,TRXBTC,3.0e-07,3.2e-07,2.3e-07,2.5e-07,8470000.0,2.22
2017-11-23,TRXBTC,3.5e-07,3.8e-07,2.6e-07,3.0e-07,7482000.0,2.41
2017-11-22,TRXBTC,2.9e-07,3.5e-07,2.7e-07,3.5e-07,5925000.0,1.83
2017-11-21,TRXBTC,2.5e-07,3.0e-07,2.3e-07,2.9e-07,8936000.0,2.29
2017-11-20,TRXBTC,2.5e-07,2.9e-07,2.5e-07,2.5e-07,16890000.0,4.45
2017-11-19,TRXBTC,2.7e-07,2.9e-07,2.4e-07,2.5e-07,5853000.0,1.49
2017-11-18,TRXBTC,2.7e-07,2.9e-07,2.3e-07,2.7e-07,6730000.0,1.7
2017-11-17,TRXBTC,2.8e-07,3.0e-07,2.5e-07,2.7e-07,4146000.0,1.1
2017-11-16,TRXBTC,3.2e-07,3.4e-07,2.6e-07,2.8e-07,5306000.0,1.53
2017-11-15,TRXBTC,4.0e-07,4.1e-07,3.1e-07,3.2e-07,5591000.0,1.91
