Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2018-08-15 11-AM,ZECUSD,144,145.87,142.23,142.5,1.04,147.31
2018-08-15 10-AM,ZECUSD,142.06,145,142.06,144,3.92,565.87
2018-08-15 09-AM,ZECUSD,141.99,145.8,141.99,142.06,0.5835,85.02
2018-08-15 08-AM,ZECUSD,143,143,141.99,141.99,0.09405,13.35
2018-08-15 07-AM,ZECUSD,143.5,143.5,141.15,143,1.29,184.94
2018-08-15 06-AM,ZECUSD,143.5,143.5,143,143.5,1.06,151.17
2018-08-15 05-AM,ZECUSD,144,144,143.5,143.5,3.06,439.61
2018-08-15 04-AM,ZECUSD,144.51,144.51,143.5,144,1.42,204.56
2018-08-15 03-AM,ZECUSD,143.86,144.51,143.86,144.51,0.04277,6.18
2018-08-15 02-AM,ZECUSD,141,145.41,141,143.86,0.8643,123.48
2018-08-15 01-AM,ZECUSD,141,141,141,141,0.5891,83.06
2018-08-15 12-AM,ZECUSD,140.12,141,140.12,141,0.4714,66.47
2018-08-14 11-PM,ZECUSD,134.79,140.12,134.79,140.12,0.5185,71.75
2018-08-14 10-PM,ZECUSD,133.99,134.79,133.99,134.79,0.6682,90.07
2018-08-14 09-PM,ZECUSD,133.99,133.99,133.99,133.99,0.0,0.0
2018-08-14 08-PM,ZECUSD,133.99,133.99,133.99,133.99,0.0,0.0
2018-08-14 07-PM,ZECUSD,134,134,133,133.99,2.11,281.98
2018-08-14 06-PM,ZECUSD,135.93,135.93,133,134,0.8276,111.15
2018-08-14 05-PM,ZECUSD,133.58,139.93,131.71,135.93,14.02,1872.43
2018-08-14 04-PM,ZECUSD,135,137,131.71,133.58,5.72,765.14
2018-08-14 03-PM,ZECUSD,136.16,136.16,135,135,0.1791,24.23
2018-08-14 02-PM,ZECUSD,143,143.03,136.16,136.16,3.93,546.48
2018-08-14 01-PM,ZECUSD,138.22,147,137.93,143,5.28,750.77
2018-08-14 12-PM,ZECUSD,138.27,139,135.03,138.22,8.66,1200.24
2018-08-14 11-AM,ZECUSD,138.25,158.82,138.25,138.27,1.16,164.9
2018-08-14 10-AM,ZECUSD,139.55,139.8,138.25,138.25,0.1087,15.15
2018-08-14 09-AM,ZECUSD,140.97,141.97,139.38,139.55,0.172,24.1
2018-08-14 08-AM,ZECUSD,140.97,140.97,140.97,140.97,0.0,0.0
2018-08-14 07-AM,ZECUSD,140,140.97,138.25,140.97,8.02,1122.3
2018-08-14 06-AM,ZECUSD,142.99,142.99,140,140,5.02,705.33
2018-08-14 05-AM,ZECUSD,142.94,144.45,142.3,142.99,0.9695,138.82
2018-08-14 04-AM,ZECUSD,137.14,145.16,137.14,142.94,2.08,294.28
2018-08-14 03-AM,ZECUSD,136.96,137.14,136.96,137.14,0.09087,12.46
2018-08-14 02-AM,ZECUSD,139.36,139.36,131.87,136.96,0.7694,104.5
2018-08-14 01-AM,ZECUSD,146.67,147.6,139,139.36,21.94,3183.33
2018-08-14 12-AM,ZECUSD,151,151,146.67,146.67,1.79,266.41
2018-08-13 11-PM,ZECUSD,154.2,155.16,151,151,7.96,1219.24
2018-08-13 10-PM,ZECUSD,156.01,156.01,154.2,154.2,4.09,633.2
2018-08-13 09-PM,ZECUSD,156.02,156.02,154.2,156.01,1.37,211.68
2018-08-13 08-PM,ZECUSD,155.5,156.67,155.5,156.02,1.09,169.46
2018-08-13 07-PM,ZECUSD,158.28,158.28,155.5,155.5,0.848,132.14
2018-08-13 06-PM,ZECUSD,157.6,158.28,156,158.28,0.9739,152.64
2018-08-13 05-PM,ZECUSD,161.31,162.41,155.6,157.6,12.07,1902.62
2018-08-13 04-PM,ZECUSD,165.76,165.76,161.31,161.31,1.74,281.16
2018-08-13 03-PM,ZECUSD,167.42,167.42,165.76,165.76,3.56,595.65
2018-08-13 02-PM,ZECUSD,167.31,168.37,167.31,167.42,0.7839,131.71
2018-08-13 01-PM,ZECUSD,167.31,169.09,167.31,167.31,0.06256,10.48
