Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume BTC
2018-11-10,NEOBTC,0.002494,0.002535,0.002482,0.002487,118937.41,298.22
2018-11-09,NEOBTC,0.002532,0.00255,0.002478,0.002494,135373.86,339.6
2018-11-08,NEOBTC,0.002561,0.002568,0.002518,0.002532,143419.61,363.91
2018-11-07,NEOBTC,0.002627,0.002694,0.002542,0.002561,221398.02,574.47
2018-11-06,NEOBTC,0.002538,0.002647,0.002534,0.002627,269663.1,701.34
2018-11-05,NEOBTC,0.002605,0.002607,0.002527,0.002538,195711.11,500.88
2018-11-04,NEOBTC,0.002502,0.002645,0.002482,0.002605,345254.6,890.37
2018-11-03,NEOBTC,0.002533,0.002536,0.002488,0.002502,123736.78,311.13
2018-11-02,NEOBTC,0.002469,0.002542,0.002464,0.002533,232489.27,582.63
2018-11-01,NEOBTC,0.002428,0.002479,0.002409,0.002469,137590.59,334.63
2018-10-31,NEOBTC,0.002412,0.002434,0.002342,0.002428,162249.88,390.18
2018-10-30,NEOBTC,0.002438,0.002445,0.002391,0.002412,180500.22,436.55
2018-10-29,NEOBTC,0.002499,0.002509,0.002369,0.002438,215698.58,528.74
2018-10-28,NEOBTC,0.002479,0.002514,0.002474,0.002499,120623.3,300.99
2018-10-27,NEOBTC,0.002504,0.002525,0.00247,0.002479,138762.83,346.63
2018-10-26,NEOBTC,0.002556,0.002567,0.002463,0.002504,174892.85,438.75
2018-10-25,NEOBTC,0.002582,0.002584,0.002542,0.002556,118434.45,303.01
2018-10-24,NEOBTC,0.002571,0.002599,0.002532,0.002582,177238.77,455.71
2018-10-23,NEOBTC,0.002588,0.002596,0.002545,0.002571,160124.97,410.38
2018-10-22,NEOBTC,0.002546,0.00263,0.002521,0.002588,284271.16,731.26
2018-10-21,NEOBTC,0.002568,0.002586,0.0025,0.002546,210184.17,539.51
2018-10-20,NEOBTC,0.002564,0.002606,0.002536,0.002568,211429.42,542.94
2018-10-19,NEOBTC,0.002554,0.002575,0.002517,0.002564,220779.02,562.87
2018-10-18,NEOBTC,0.002555,0.0027,0.002517,0.002554,687440.89,1787.15
2018-10-17,NEOBTC,0.002498,0.002575,0.002492,0.002555,393497.45,998.75
