Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume ETH
2018-12-29,XMRETH,0.3593,0.3658,0.337,0.3487,3246.41,1152.07
2018-12-28,XMRETH,0.3818,0.407,0.3591,0.3593,5751.89,2205.08
2018-12-27,XMRETH,0.3755,0.395,0.3692,0.3818,3167.95,1194.92
2018-12-26,XMRETH,0.3907,0.3929,0.37,0.3755,3103.4,1172.91
2018-12-25,XMRETH,0.3987,0.4076,0.372,0.3907,2992.33,1157.14
2018-12-24,XMRETH,0.4054,0.4223,0.3649,0.3987,6124.2,2378.9
2018-12-23,XMRETH,0.4435,0.4435,0.3996,0.4054,5173.56,2158.71
2018-12-22,XMRETH,0.4744,0.4775,0.4405,0.4435,2715.76,1243.7
2018-12-21,XMRETH,0.476,0.4919,0.457,0.4744,5533.17,2598.6
2018-12-20,XMRETH,0.4575,0.4821,0.442,0.476,4993.33,2309.76
2018-12-19,XMRETH,0.4604,0.4729,0.4544,0.4575,4315.3,1998.61
2018-12-18,XMRETH,0.46,0.4761,0.4552,0.4604,3374.67,1566.92
2018-12-17,XMRETH,0.4598,0.472,0.4549,0.46,4109.06,1904.58
2018-12-16,XMRETH,0.4602,0.472,0.4517,0.4598,2587.51,1191.68
2018-12-15,XMRETH,0.4626,0.469,0.447,0.4602,4245.3,1944.74
2018-12-14,XMRETH,0.4728,0.4922,0.4608,0.4626,3447.36,1647.54
2018-12-13,XMRETH,0.4855,0.4884,0.4667,0.4728,4391.45,2101.12
2018-12-12,XMRETH,0.481,0.4916,0.477,0.4855,3873.98,1878.43
2018-12-11,XMRETH,0.4878,0.4915,0.4732,0.4791,3566.59,1726.63
2018-12-10,XMRETH,0.5033,0.5122,0.485,0.4878,3627.91,1802.88
2018-12-09,XMRETH,0.4941,0.5085,0.489,0.5033,2790.75,1390.97
2018-12-08,XMRETH,0.5,0.5235,0.4877,0.4941,3467.86,1757.19
2018-12-07,XMRETH,0.51,0.5377,0.4805,0.5,7171.68,3689.82
2018-12-06,XMRETH,0.5053,0.522,0.493,0.51,5868.76,2969.16
2018-12-05,XMRETH,0.5186,0.5202,0.4988,0.5053,3773.78,1918.23
2018-12-04,XMRETH,0.507,0.523,0.5019,0.5186,2280.76,1166.68
2018-12-03,XMRETH,0.5099,0.5145,0.4914,0.507,2617.24,1322.05
2018-12-02,XMRETH,0.5041,0.523,0.5025,0.5099,2023.76,1035.71
2018-12-01,XMRETH,0.5138,0.519,0.5034,0.5041,1734.95,887.37
2018-11-30,XMRETH,0.519,0.5296,0.5001,0.5111,3609.68,1843.34
2018-11-29,XMRETH,0.5192,0.5293,0.5098,0.519,3737.59,1939.89
2018-11-28,XMRETH,0.524,0.535,0.5149,0.5192,2929.42,1534.08
2018-11-27,XMRETH,0.4931,0.5268,0.492,0.524,3479.82,1785.24
2018-11-26,XMRETH,0.4999,0.518,0.486,0.4931,5116.05,2565.12
2018-11-25,XMRETH,0.516,0.5325,0.4856,0.4999,4624.8,2363.25
2018-11-24,XMRETH,0.5418,0.5437,0.5115,0.516,2488.04,1320.37
2018-11-23,XMRETH,0.5235,0.5436,0.5109,0.5418,2954.52,1557.86
2018-11-22,XMRETH,0.5026,0.524,0.5002,0.5235,2641.79,1359.71
2018-11-21,XMRETH,0.5073,0.5187,0.497,0.5026,4219.61,2140.86
2018-11-20,XMRETH,0.4957,0.528,0.4848,0.5073,5564.7,2791.58
2018-11-19,XMRETH,0.505,0.5272,0.4786,0.4957,4456.56,2227.29
2018-11-18,XMRETH,0.5079,0.5257,0.502,0.505,3824.34,1961.88
2018-11-17,XMRETH,0.4999,0.5079,0.488,0.5079,1793.38,889.43
2018-11-16,XMRETH,0.4887,0.5038,0.4875,0.4999,2920.26,1441.09
2018-11-15,XMRETH,0.501,0.5113,0.4722,0.4887,3498.26,1719.17
2018-11-14,XMRETH,0.5092,0.5289,0.4767,0.501,4355.97,2171.57
2018-11-13,XMRETH,0.5002,0.5109,0.491,0.5092,1579.72,792.44
2018-11-12,XMRETH,0.5056,0.507,0.4971,0.5002,916.1,460.56
2018-11-11,XMRETH,0.4959,0.5056,0.4851,0.5056,1900.9,935.85
2018-11-10,XMRETH,0.5111,0.5111,0.4922,0.4959,1885.04,939.68
2018-11-09,XMRETH,0.5139,0.5166,0.5019,0.5111,2073.87,1054.72
2018-11-08,XMRETH,0.5125,0.5211,0.5027,0.5139,1590.0,816.54
2018-11-07,XMRETH,0.5155,0.5183,0.496,0.5125,2944.31,1487.02
2018-11-06,XMRETH,0.5355,0.545,0.5141,0.5155,1541.44,810.71
2018-11-05,XMRETH,0.5344,0.5399,0.5254,0.5355,1733.35,924.3
2018-11-04,XMRETH,0.5369,0.5388,0.5154,0.5344,1604.75,849.04
2018-11-03,XMRETH,0.5286,0.5395,0.5223,0.5369,1117.38,593.02
2018-11-02,XMRETH,0.5248,0.5317,0.5201,0.5286,1765.52,928.86
2018-11-01,XMRETH,0.529,0.5295,0.519,0.5248,846.65,442.03
2018-10-31,XMRETH,0.5241,0.5362,0.5232,0.529,1319.4,697.66
2018-10-30,XMRETH,0.5158,0.525,0.5144,0.5241,1193.69,621.19
2018-10-29,XMRETH,0.5117,0.5226,0.506,0.5158,1718.63,885.86
2018-10-28,XMRETH,0.5137,0.5159,0.501,0.5117,1385.13,702.24
2018-10-27,XMRETH,0.5176,0.5186,0.5113,0.5137,878.89,452.04
2018-10-26,XMRETH,0.5272,0.5285,0.5165,0.5176,1449.86,757.09
2018-10-25,XMRETH,0.5287,0.5292,0.5205,0.5272,1318.32,692.42
2018-10-24,XMRETH,0.5358,0.5385,0.5245,0.5287,1214.76,645.24
2018-10-23,XMRETH,0.5224,0.5463,0.5209,0.5358,2781.28,1489.94
2018-10-22,XMRETH,0.5166,0.5224,0.5125,0.5224,1943.2,1005.45
2018-10-21,XMRETH,0.5091,0.5177,0.505,0.5166,1922.09,983.39
2018-10-20,XMRETH,0.514,0.517,0.5054,0.5091,1370.16,699.04
2018-10-19,XMRETH,0.5123,0.5245,0.5101,0.514,1849.28,954.73
2018-10-18,XMRETH,0.5137,0.5254,0.5092,0.5123,3030.22,1565.6
2018-10-17,XMRETH,0.5204,0.5204,0.5071,0.5137,1797.42,923.73
2018-10-16,XMRETH,0.5151,0.5165,0.5151,0.5165,0.0,0.0
2018-10-15,XMRETH,0.5163,0.5413,0.4831,0.5151,5160.61,2608.46
2018-10-14,XMRETH,0.5166,0.5204,0.5125,0.5163,896.44,462.43
2018-10-13,XMRETH,0.5174,0.5217,0.5109,0.5166,1332.39,687.75
2018-10-12,XMRETH,0.5266,0.5268,0.5133,0.5174,2604.74,1359.67
2018-10-11,XMRETH,0.5078,0.5314,0.4995,0.5266,3956.71,2042.79
2018-10-10,XMRETH,0.4996,0.5084,0.4956,0.5078,1707.25,853.57
2018-10-09,XMRETH,0.4972,0.5024,0.4913,0.4996,1309.11,651.6
2018-10-08,XMRETH,0.5036,0.507,0.495,0.4972,1327.03,665.35
2018-10-07,XMRETH,0.5106,0.5127,0.5008,0.5036,588.46,297.57
