Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume ILS
2016-08-01,LTCILS,15,15,15,15,0.0,0.0
2016-07-31,LTCILS,15,15,15,15,0.0,0.0
2016-07-30,LTCILS,15,15,15,15,0.0,0.0
2016-07-29,LTCILS,15,15,15,15,0.0,0.0
2016-07-28,LTCILS,15,15,15,15,0.0,0.0
2016-07-27,LTCILS,15,15,15,15,0.0,0.0
2016-07-26,LTCILS,15,15,15,15,0.0,0.0
2016-07-25,LTCILS,15,15,15,15,0.0,0.0
2016-07-24,LTCILS,15,15,15,15,0.0,0.0
2016-07-23,LTCILS,15,15,15,15,0.0,0.0
2016-07-22,LTCILS,15,15,15,15,0.0,0.0
2016-07-21,LTCILS,15,15,15,15,0.0,0.0
2016-07-20,LTCILS,15,15,15,15,0.0,0.0
2016-07-19,LTCILS,15,15,15,15,0.0,0.0
2016-07-18,LTCILS,15,15,15,15,0.0,0.0
2016-07-17,LTCILS,15,15,15,15,0.0,0.0
2016-07-16,LTCILS,15,15,15,15,0.0,0.0
2016-07-15,LTCILS,15,15,15,15,0.0,0.0
2016-07-14,LTCILS,15,15,15,15,0.0,0.0
2016-07-13,LTCILS,15,15,15,15,0.0,0.0
2016-07-12,LTCILS,15,15,15,15,0.0,0.0
2016-07-11,LTCILS,15,15,15,15,0.0,0.0
2016-07-10,LTCILS,15,15,15,15,0.0,0.0
2016-07-09,LTCILS,15,15,15,15,0.0,0.0
2016-07-08,LTCILS,15,15,15,15,0.0,0.0
2016-07-07,LTCILS,15,15,15,15,0.0,0.0
2016-07-06,LTCILS,15,15,15,15,0.0,0.0
2016-07-05,LTCILS,15,15,15,15,0.0,0.0
2016-07-04,LTCILS,15,15,15,15,0.0,0.0
2016-07-03,LTCILS,15,15,15,15,0.0,0.0
2016-07-02,LTCILS,15,15,15,15,0.0,0.0
2016-07-01,LTCILS,15,15,15,15,0.0,0.0
2016-06-30,LTCILS,15,15,15,15,0.0,0.0
2016-06-29,LTCILS,15,15,15,15,0.0,0.0
2016-06-28,LTCILS,15,15,15,15,0.0,0.0
2016-06-27,LTCILS,15,15,15,15,0.0,0.0
2016-06-26,LTCILS,15,15,15,15,0.0,0.0
2016-06-25,LTCILS,15,15,15,15,0.0,0.0
2016-06-24,LTCILS,15,15,15,15,0.0,0.0
2016-06-23,LTCILS,15,15,15,15,300.0,4500.0
2016-06-22,LTCILS,20,20,20,20,0.0,0.0
2016-06-21,LTCILS,20,20,20,20,0.0,0.0
2016-06-20,LTCILS,20,20,20,20,0.0,0.0
2016-06-19,LTCILS,20,20,20,20,0.0,0.0
