Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume GBP
2018-06-06,BCHGBP,850,850,811,816,3.93,3220.44
2018-06-05,BCHGBP,807,850,807,850,8.09,6702.01
2018-06-04,BCHGBP,865,865,807,807,1.04,848.43
2018-06-03,BCHGBP,778,877,778,865,22.61,19453.77
2018-06-02,BCHGBP,681,821,681,778,49.01,37880.19
2018-06-01,BCHGBP,681,681,681,681,0.0,0.0
2018-05-31,BCHGBP,739,750,681,681,51.26,38052.21
2018-05-30,BCHGBP,739,739,739,739,0.1333,98.51
2018-05-29,BCHGBP,672,739,671,739,0.3871,266.49
2018-05-28,BCHGBP,745,745,672,672,30.95,21327.51
2018-05-27,BCHGBP,763,763,745,745,8.47,6311.35
2018-05-26,BCHGBP,746,805,746,763,5.43,4336.3
2018-05-25,BCHGBP,785,807,746,746,9.14,7268.37
2018-05-24,BCHGBP,785,785,745,785,1.44,1116.08
2018-05-23,BCHGBP,826,865,735,785,153.68,124147.22
2018-05-22,BCHGBP,909,909,826,826,32.33,28240.05
2018-05-21,BCHGBP,916,953,900,909,20.32,18876.88
2018-05-20,BCHGBP,860,916,852,916,9.6,8228.4
2018-05-19,BCHGBP,877,900,844,860,33.26,28684.21
2018-05-18,BCHGBP,880,919,877,877,24.55,22159.46
2018-05-17,BCHGBP,943,965,856,880,24.21,22499.68
2018-05-16,BCHGBP,997,997,853,943,55.65,51500.23
2018-05-15,BCHGBP,1041,1083,957,997,53.29,55222.54
2018-05-14,BCHGBP,1080,1080,996,1041,51.77,53337.85
2018-05-13,BCHGBP,1085,1109,1032,1080,52.57,55780.99
2018-05-12,BCHGBP,988,1090,950,1085,53.0,51940.89
2018-05-11,BCHGBP,1233,1233,968,988,19.82,21661.13
2018-05-10,BCHGBP,1146,1233,1146,1233,2.23,2694.38
2018-05-09,BCHGBP,1131,1199,1091,1146,7.68,8936.82
2018-05-08,BCHGBP,1200,1229,1131,1131,12.71,14707.92
2018-05-07,BCHGBP,1270,1270,1150,1200,9.35,11234.42
2018-05-06,BCHGBP,1275,1300,1110,1270,21.21,26768.47
2018-05-05,BCHGBP,1142,1275,1142,1275,28.07,33999.91
2018-05-04,BCHGBP,1087,1142,1045,1142,7.15,7821.96
2018-05-03,BCHGBP,1088,1090,1024,1087,28.95,30781.58
2018-05-02,BCHGBP,1033,1088,1010,1088,3.57,3731.44
2018-05-01,BCHGBP,975,1033,961,1033,8.27,8145.14
2018-04-30,BCHGBP,1034,1034,975,975,3.09,3057.53
2018-04-29,BCHGBP,1000,1034,983,1034,7.74,7734.51
2018-04-28,BCHGBP,1024,1024,960,1000,1.1,1060.48
2018-04-27,BCHGBP,1000,1024,1000,1024,5.01,5134.39
2018-04-26,BCHGBP,945,1000,900,1000,27.41,25526.93
2018-04-25,BCHGBP,1070,1070,890,945,49.27,46168.41
2018-04-24,BCHGBP,1020,1100,1020,1070,44.36,47777.84
2018-04-23,BCHGBP,889,1052,850,1020,37.35,36310.59
2018-04-22,BCHGBP,731,889,731,889,9.46,8020.82
2018-04-21,BCHGBP,790,829,731,731,1.45,1163.71
2018-04-20,BCHGBP,690,790,690,790,4.6,3446.68
2018-04-19,BCHGBP,624,690,589,690,17.74,11261.61
2018-04-18,BCHGBP,545,624,545,624,21.59,12800.3
2018-04-17,BCHGBP,525,545,525,545,8.24,4362.56
2018-04-16,BCHGBP,549,549,525,525,0.4586,240.77
2018-04-15,BCHGBP,513,550,513,549,4.92,2643.63
2018-04-14,BCHGBP,535,535,489,513,1.43,722.91
