Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume OMG,Volume USD
2018-07-02,OMGUSD,8,8.78,7.76,8.39,31369.79,260977.87
2018-07-01,OMGUSD,7.58,8.18,7.52,8,31014.5,243568.08
2018-06-30,OMGUSD,7.2,7.77,7.13,7.58,22955.46,171994.55
2018-06-29,OMGUSD,6.75,7.29,6.64,7.2,35133.3,242102.4
2018-06-28,OMGUSD,7.21,7.3,6.75,6.75,24263.48,171227.01
2018-06-27,OMGUSD,7.26,7.37,7.14,7.21,11633.09,84023.79
2018-06-26,OMGUSD,7.83,7.88,7.22,7.26,17141.92,128461.35
2018-06-25,OMGUSD,7.8,8.08,7.54,7.83,21559.79,168723.43
2018-06-24,OMGUSD,8.18,8.2,7.16,7.8,67687.59,510681.9
2018-06-23,OMGUSD,8.3,8.38,7.91,8.18,24679.7,202431.53
2018-06-22,OMGUSD,8.98,8.98,8.07,8.3,39817.29,333698.7
2018-06-21,OMGUSD,9.11,9.22,8.89,8.98,12063.87,109032.26
2018-06-20,OMGUSD,9.24,9.26,8.89,9.11,13782.13,124761.51
2018-06-19,OMGUSD,9.39,9.62,9.15,9.24,20941.91,196029.46
2018-06-18,OMGUSD,8.98,9.6,8.94,9.39,15907.34,148171.37
2018-06-17,OMGUSD,9.1,9.28,8.98,8.98,4919.8,44804.87
2018-06-16,OMGUSD,8.96,9.45,8.89,9.1,22884.61,208593.47
2018-06-15,OMGUSD,9.38,9.51,8.83,8.96,25493.49,234621.75
2018-06-14,OMGUSD,8.76,9.7,8.73,9.38,32841.9,302751.0
2018-06-13,OMGUSD,9.04,9.3,8.64,8.76,32772.05,291985.64
2018-06-12,OMGUSD,9.98,10.1,8.94,9.04,45248.5,425485.12
2018-06-11,OMGUSD,9.44,9.98,9.27,9.98,25777.49,243030.97
2018-06-10,OMGUSD,10.74,10.74,9.27,9.44,64602.18,644158.36
2018-06-09,OMGUSD,11.1,11.26,10.7,10.74,8753.15,96048.77
2018-06-08,OMGUSD,11.4,11.52,10.95,11.1,15451.98,172115.06
2018-06-07,OMGUSD,11.03,12,11.03,11.4,24885.51,290298.93
2018-06-06,OMGUSD,11.32,11.45,10.74,11.03,36298.2,400056.17
2018-06-05,OMGUSD,11.11,11.47,10.61,11.32,34091.31,376851.05
2018-06-04,OMGUSD,11.87,12.08,10.88,11.11,36105.07,405423.27
2018-06-03,OMGUSD,11.6,12.38,11.52,11.87,34671.04,419273.66
2018-06-02,OMGUSD,10.8,11.89,10.69,11.6,31056.82,355633.13
2018-06-01,OMGUSD,10.59,10.88,10.34,10.8,16260.18,173545.13
2018-05-31,OMGUSD,10.29,10.95,10.21,10.59,19092.82,202588.42
2018-05-30,OMGUSD,10.53,10.86,9.91,10.29,26916.22,279810.86
2018-05-29,OMGUSD,9.59,10.85,9.5,10.53,56951.91,589771.26
2018-05-28,OMGUSD,10.49,10.62,9.5,9.59,24214.27,240084.0
2018-05-27,OMGUSD,10.79,10.85,10.25,10.49,13401.82,140878.66
2018-05-26,OMGUSD,10.61,11.14,10.48,10.79,14425.24,156909.19
2018-05-25,OMGUSD,11.1,11.52,10.48,10.61,25057.97,268828.89
2018-05-24,OMGUSD,10.57,11.36,10.1,11.1,49896.27,538837.17
2018-05-23,OMGUSD,11.4,11.59,10.03,10.57,64801.74,695255.16
2018-05-22,OMGUSD,12.54,13,11.3,11.4,35684.86,426676.53
2018-05-21,OMGUSD,13.1,13.25,12.13,12.54,22831.55,290317.38
2018-05-20,OMGUSD,12.49,13.36,12.38,13.1,20266.19,260112.04
2018-05-19,OMGUSD,12.56,12.96,12.29,12.49,12589.32,158272.01
2018-05-18,OMGUSD,12.33,12.8,11.91,12.56,36688.27,456056.53
2018-05-17,OMGUSD,13.12,13.61,12.01,12.33,25365.03,325554.74
2018-05-16,OMGUSD,13.66,13.66,12.68,13.12,28729.06,374145.88
2018-05-15,OMGUSD,14.25,14.59,13.4,13.66,20830.47,291870.57
2018-05-14,OMGUSD,14.36,14.66,13.18,14.25,40175.38,559081.8
2018-05-13,OMGUSD,13.75,14.66,13.36,14.36,24278.43,341156.03
2018-05-12,OMGUSD,13.19,14.24,12.52,13.75,55430.68,734845.73
2018-05-11,OMGUSD,15.38,15.38,13.03,13.19,98012.08,1392026.78
2018-05-10,OMGUSD,16.21,16.37,15.2,15.38,27687.77,435662.7
2018-05-09,OMGUSD,15.98,16.68,15.15,16.21,28449.7,450980.01
2018-05-08,OMGUSD,16.66,16.96,15.73,15.98,25643.86,412954.61
2018-05-07,OMGUSD,17.05,17.13,15.81,16.66,58333.05,951188.08
2018-05-06,OMGUSD,17.48,17.8,16.58,17.05,41361.0,703428.47
2018-05-05,OMGUSD,17.9,18.04,17.46,17.48,21493.85,382639.58
2018-05-04,OMGUSD,18.47,18.47,17.25,17.9,25372.57,451176.14
2018-05-03,OMGUSD,17.25,19.08,17.11,18.47,72289.33,1323411.53
2018-05-02,OMGUSD,16.97,17.45,16.6,17.25,16155.4,275199.87
2018-05-01,OMGUSD,17,17.22,16.01,16.97,46277.49,760755.01
2018-04-30,OMGUSD,18.23,18.29,16.73,17,45725.31,795832.11
2018-04-29,OMGUSD,18.18,18.65,17.2,18.23,60257.53,1079362.29
2018-04-28,OMGUSD,17.28,18.45,17.16,18.18,54632.6,980729.13
2018-04-27,OMGUSD,18.2,19.11,17.24,17.28,94605.02,1737979.66
2018-04-26,OMGUSD,15.5,25,15.1,18.2,463041.44,9036908.31
2018-04-25,OMGUSD,18.01,18.17,14.69,15.5,169345.85,2712760.46
2018-04-24,OMGUSD,15.9,18.74,15.57,18.01,151133.92,2619867.56
2018-04-23,OMGUSD,15.12,16,15.1,15.9,30928.61,481793.95
2018-04-22,OMGUSD,15.12,16.08,15.03,15.12,39948.78,623353.23
