Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QAS,Volume HUSD
2019-06-22 06-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 05-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 04-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 03-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 02-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 01-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-22 12-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 11-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 10-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 09-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 08-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 07-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 06-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 05-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 04-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 03-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 02-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 01-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 12-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 11-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 10-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 09-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 08-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 07-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 06-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 05-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 04-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 03-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 02-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 01-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-21 12-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 11-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 10-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 09-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 08-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 07-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 06-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 05-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 04-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 03-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 02-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 01-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 12-PM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 11-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 10-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 09-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 08-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 07-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 06-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
2019-06-20 05-AM,QASHUSD,1.027,1.027,1.027,1.027,0.0,0.0
