Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume USD
2017-12-07,ZECUSD,316.27,319.42,279.65,291.87,10220.08,3066638.43
2017-12-06,ZECUSD,322.19,348.99,303.94,316.27,12142.78,3960747.44
2017-12-05,ZECUSD,326.09,328,314.22,322.19,10079.27,3211460.29
2017-12-04,ZECUSD,317.83,331.74,311,326.09,8566.25,2748723.37
2017-12-03,ZECUSD,325.8,341,304.99,317.83,11582.62,3794394.61
2017-12-02,ZECUSD,332.35,339.58,315.54,325.8,9184.89,3002728.3
2017-12-01,ZECUSD,301.88,335.89,286.68,332.35,9623.11,2991939.75
2017-11-30,ZECUSD,302.57,325.84,266.22,301.88,7985.65,2346788.33
2017-11-29,ZECUSD,361.5,381,294.35,302.57,10698.2,3664558.66
2017-11-28,ZECUSD,344.82,374.07,340.16,361.5,8439.02,2978550.83
2017-11-27,ZECUSD,340.33,349,328,344.82,9061.92,3071804.09
2017-11-26,ZECUSD,343.75,348.49,330.11,340.33,8683.28,2948807.21
2017-11-25,ZECUSD,352.08,362,336.65,343.75,9721.12,3392003.15
2017-11-24,ZECUSD,310.64,352.86,299.66,352.08,11789.2,3745137.77
2017-11-23,ZECUSD,319.12,321.8,302.3,310.64,9806.93,3065374.06
2017-11-22,ZECUSD,290.38,322.9,289.64,319.12,9114.53,2782358.95
2017-11-21,ZECUSD,303.48,310.8,281.34,290.38,10623.05,3131640.12
2017-11-20,ZECUSD,300.87,306.66,297,303.48,10108.29,3041899.27
2017-11-19,ZECUSD,298.37,303,294.32,300.87,8687.46,2591114.02
2017-11-18,ZECUSD,290.28,304.99,284.33,298.37,10311.14,3029648.72
2017-11-17,ZECUSD,295.2,295.4,281.1,290.28,8890.02,2577086.44
2017-11-16,ZECUSD,288.11,319.7,285.48,295.2,14542.58,4351702.65
2017-11-15,ZECUSD,268.57,296.66,267.33,288.11,11390.1,3173380.82
2017-11-14,ZECUSD,263.45,275,260.5,268.57,9922.52,2652207.66
2017-11-13,ZECUSD,285,298,254.67,263.45,11693.35,3132674.41
2017-11-12,ZECUSD,252.48,296.44,230.01,285,14557.75,3617783.38
2017-11-11,ZECUSD,236.38,269.95,220,252.48,14542.7,3588248.38
2017-11-10,ZECUSD,261.4,272.62,227.98,236.38,13936.21,3523739.99
2017-11-09,ZECUSD,248.24,271.08,242.83,261.4,10429.25,2662333.85
2017-11-08,ZECUSD,238.12,252.69,235.81,248.24,12419.43,3024746.7
2017-11-07,ZECUSD,227.45,243.6,226.16,238.12,11319.23,2632243.74
2017-11-06,ZECUSD,225.04,236.73,220.95,227.45,13082.19,2973835.4
2017-11-05,ZECUSD,229.75,231.92,224.3,225.04,12002.1,2729883.88
2017-11-04,ZECUSD,231.11,235.08,223.5,229.75,10729.01,2446940.82
2017-11-03,ZECUSD,217.43,240.49,214.5,231.11,12274.49,2734743.28
2017-11-02,ZECUSD,221.85,222.96,210.08,217.43,13929.25,3018156.44
2017-11-01,ZECUSD,232.19,237.24,218.29,221.85,12006.68,2715128.96
2017-10-31,ZECUSD,239.26,240.41,231.39,232.19,10260.44,2421292.63
2017-10-30,ZECUSD,233.68,244.6,229.18,239.26,9887.87,2340479.63
2017-10-29,ZECUSD,229.25,239.52,223.17,233.68,19342.27,4462076.63
2017-10-28,ZECUSD,243.92,244.78,228.89,229.25,10374.49,2453950.0
2017-10-27,ZECUSD,234.1,255.7,227.98,243.92,14308.57,3468760.18
2017-10-26,ZECUSD,215.96,237.62,215.77,234.1,11523.11,2592893.53
2017-10-25,ZECUSD,213.98,227.36,207.24,215.96,13954.95,3012248.03
2017-10-24,ZECUSD,204.82,227,201.34,213.98,12598.14,2742551.44
2017-10-23,ZECUSD,212.45,213.18,198.83,204.82,11748.55,2419543.84
2017-10-22,ZECUSD,212.24,219.49,206.98,212.45,10741.92,2286296.97
2017-10-21,ZECUSD,221.27,223.68,206.75,212.24,11923.72,2555171.31
2017-10-20,ZECUSD,229.45,234.51,221,221.27,9328.7,2129903.4
2017-10-19,ZECUSD,229.4,238.92,224.01,229.45,9235.44,2122999.91
2017-10-18,ZECUSD,230.68,238.32,215.08,229.4,11498.75,2595934.35
2017-10-17,ZECUSD,232.77,252,227.23,230.68,11532.99,2708388.49
2017-10-16,ZECUSD,232.51,237.56,230,232.77,7196.75,1682057.38
2017-10-15,ZECUSD,239.69,241,227.2,232.51,8165.42,1902380.76
2017-10-14,ZECUSD,239.31,243.54,236.38,239.69,6190.66,1483133.83
2017-10-13,ZECUSD,227.25,254.82,217.13,239.31,12768.18,3008425.36
2017-10-12,ZECUSD,236.61,237.86,225,227.25,7625.61,1772001.73
2017-10-11,ZECUSD,234.35,239.93,231.1,236.61,7890.46,1858969.29
2017-10-10,ZECUSD,228.85,243.86,225.72,234.35,9980.48,2344572.21
2017-10-09,ZECUSD,242.53,243.48,223.08,228.85,9892.1,2320263.13
2017-10-08,ZECUSD,254.19,257.87,240.09,242.53,7499.41,1875789.36
2017-10-07,ZECUSD,258.12,258.94,245.08,254.19,8736.49,2200465.94
2017-10-06,ZECUSD,254.71,275.09,252.54,258.12,10247.1,2668323.47
2017-10-05,ZECUSD,237.62,269.99,226.19,254.71,13820.64,3371434.7
2017-10-04,ZECUSD,253.23,253.71,235.39,237.62,8152.0,1985753.34
