Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume USD
2018-06-05 11-PM,XMRUSD,167.37,168.03,166.61,167.13,1041.53,174223.74
2018-06-05 10-PM,XMRUSD,166.96,167.86,166.74,167.37,990.97,165801.56
2018-06-05 09-PM,XMRUSD,167.89,168.47,166.36,166.96,1142.09,190973.03
2018-06-05 08-PM,XMRUSD,167.48,168,167.34,167.89,358.17,60080.24
2018-06-05 07-PM,XMRUSD,167.63,168.65,167.41,167.48,943.61,158392.39
2018-06-05 06-PM,XMRUSD,167.85,168.91,167.47,167.63,627.2,105518.91
2018-06-05 05-PM,XMRUSD,168.77,169.69,167.85,167.85,1068.49,180381.92
2018-06-05 04-PM,XMRUSD,167.33,169.14,167.33,168.77,969.84,163340.0
2018-06-05 03-PM,XMRUSD,164.6,167.33,164.44,167.33,648.61,107205.29
2018-06-05 02-PM,XMRUSD,163.08,165.27,162.79,164.6,861.68,141172.07
2018-06-05 01-PM,XMRUSD,162.85,163.62,162.77,163.08,324.55,52966.29
2018-06-05 12-PM,XMRUSD,163.34,163.75,162.14,162.85,166.06,27091.52
2018-06-05 11-AM,XMRUSD,162.69,163.75,160.98,163.34,921.54,149334.22
2018-06-05 10-AM,XMRUSD,162.13,162.82,160.53,162.69,842.91,135966.21
2018-06-05 09-AM,XMRUSD,160.87,163.28,160.64,162.13,1048.24,170126.19
2018-06-05 08-AM,XMRUSD,159.46,163.52,159.46,160.87,1821.67,296935.71
2018-06-05 07-AM,XMRUSD,158.85,159.47,158,159.46,1166.63,184984.14
2018-06-05 06-AM,XMRUSD,159.07,159.32,158.29,158.85,1088.17,172680.35
2018-06-05 05-AM,XMRUSD,158.7,159.78,158.7,159.07,488.06,77783.73
2018-06-05 04-AM,XMRUSD,159.53,160.14,158.7,158.7,364.26,58058.91
2018-06-05 03-AM,XMRUSD,160.17,161.08,159.48,159.53,1074.27,172167.33
2018-06-05 02-AM,XMRUSD,162.82,162.82,160.17,160.17,739.72,119564.58
2018-06-05 01-AM,XMRUSD,160.95,162.85,160.92,162.82,533.93,86485.15
2018-06-05 12-AM,XMRUSD,160.39,161.5,160.39,160.95,742.82,119709.48
2018-06-04 11-PM,XMRUSD,162.71,162.74,160.31,160.39,1004.56,161717.55
2018-06-04 10-PM,XMRUSD,162.92,162.98,161.6,162.71,1326.58,215389.3
2018-06-04 09-PM,XMRUSD,161.63,162.96,161.63,162.92,1215.4,197004.18
2018-06-04 08-PM,XMRUSD,160.02,161.63,160.01,161.63,597.04,95857.21
2018-06-04 07-PM,XMRUSD,159.13,160.02,159.04,160.02,227.67,36361.84
2018-06-04 06-PM,XMRUSD,159.17,159.28,158.75,159.13,520.86,82864.9
2018-06-04 05-PM,XMRUSD,159.15,159.86,158.48,159.17,1108.72,176618.39
2018-06-04 04-PM,XMRUSD,159.89,160.08,158.77,159.15,543.16,86660.36
2018-06-04 03-PM,XMRUSD,158.78,160.17,158.75,159.89,275.27,43890.47
2018-06-04 02-PM,XMRUSD,160.51,160.92,158.1,158.78,1343.56,213319.47
2018-06-04 01-PM,XMRUSD,160.83,161.51,160.51,160.51,1027.11,165452.09
2018-06-04 12-PM,XMRUSD,160.63,162.49,160.45,160.83,1448.71,234380.06
2018-06-04 11-AM,XMRUSD,164.97,165,160.63,160.63,1300.83,211258.08
2018-06-04 10-AM,XMRUSD,163.39,165.32,163.39,164.97,1211.08,199453.02
2018-06-04 09-AM,XMRUSD,163.67,163.67,163.09,163.39,574.97,93893.15
2018-06-04 08-AM,XMRUSD,165.22,165.3,163.67,163.67,601.76,99123.54
2018-06-04 07-AM,XMRUSD,163.82,165.68,163.82,165.22,435.44,71837.75
2018-06-04 06-AM,XMRUSD,168.33,168.35,163.5,163.82,1648.76,273417.34
2018-06-04 05-AM,XMRUSD,168.98,169.87,167.68,168.33,658.68,111276.08
2018-06-04 04-AM,XMRUSD,168.5,169.17,168.39,168.98,673.19,113723.93
2018-06-04 03-AM,XMRUSD,169.66,169.91,168.4,168.5,417.46,70705.7
2018-06-04 02-AM,XMRUSD,170.57,170.72,169.35,169.66,387.03,65812.78
2018-06-04 01-AM,XMRUSD,169.82,170.57,169.51,170.57,559.25,95137.76
2018-06-04 12-AM,XMRUSD,169.05,169.97,168.92,169.82,393.05,66642.4
2018-06-03 11-PM,XMRUSD,169.97,170.08,168.74,169.05,821.44,139053.01
2018-06-03 10-PM,XMRUSD,170.5,170.98,169.57,169.97,373.26,63446.52
2018-06-03 09-PM,XMRUSD,171.4,171.45,170.4,170.5,220.31,37627.87
2018-06-03 08-PM,XMRUSD,169.89,171.44,169.5,171.4,459.56,78181.17
2018-06-03 07-PM,XMRUSD,169.78,170.59,169.22,169.89,902.71,153356.4
2018-06-03 06-PM,XMRUSD,171.37,171.37,169.7,169.78,334.28,57040.08
2018-06-03 05-PM,XMRUSD,174.52,174.52,171.2,171.37,593.53,102287.17
2018-06-03 04-PM,XMRUSD,174,174.93,173.68,174.52,378.21,65990.8
2018-06-03 03-PM,XMRUSD,173.01,174.33,172.72,174,467.93,81133.68
2018-06-03 02-PM,XMRUSD,173.06,173.25,172.4,173.01,208.91,36067.09
2018-06-03 01-PM,XMRUSD,170.72,173.4,170.48,173.06,450.69,77516.19
2018-06-03 12-PM,XMRUSD,172.41,172.49,170.42,170.72,241.42,41312.09
2018-06-03 11-AM,XMRUSD,172.77,173.34,170.82,172.41,597.04,102474.68
2018-06-03 10-AM,XMRUSD,173.29,176.4,170.7,172.77,728.51,126659.51
2018-06-03 09-AM,XMRUSD,171.18,177.27,170.78,173.29,1309.6,226773.89
2018-06-03 08-AM,XMRUSD,170.48,171.25,170.22,171.18,482.12,82314.98
2018-06-03 07-AM,XMRUSD,170.07,170.87,169.45,170.48,341.8,58168.0
2018-06-03 06-AM,XMRUSD,168.6,170.07,168.35,170.07,934.24,158272.87
2018-06-03 05-AM,XMRUSD,166.64,168.66,166.18,168.6,609.2,101878.78
2018-06-03 04-AM,XMRUSD,167.94,168.19,166.63,166.64,383.63,64239.4
