Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume KRW
2018-11-26,ETHKRW,134500,135000,134200,134200,108.28,14567408.28
2018-11-25,ETHKRW,131000,132500,116700,125800,57214.98,7061772928.99
2018-11-24,ETHKRW,142300,147500,129500,131000,59930.08,8293190353.58
2018-11-23,ETHKRW,143900,146400,135500,142300,71014.66,10019495137.34
2018-11-22,ETHKRW,156500,159600,143000,143900,55929.07,8536395812.21
2018-11-21,ETHKRW,152100,161000,145000,156500,96766.69,14922551866.36
2018-11-20,ETHKRW,171500,176000,145500,152100,198010.31,31769121098.45
2018-11-19,ETHKRW,203400,204000,168000,171500,101258.34,18434543406.32
2018-11-18,ETHKRW,200000,205000,199900,203400,24874.97,5025707561.06
2018-11-17,ETHKRW,201500,202800,198500,200000,26208.48,5249519817.57
2018-11-16,ETHKRW,209500,210800,199000,201500,56521.1,11594181124.26
2018-11-15,ETHKRW,214800,217000,198000,209500,78445.07,16277562598.84
2018-11-14,ETHKRW,235500,236800,201600,214800,82393.34,18133135257.17
2018-11-13,ETHKRW,239500,240000,235100,235500,28481.84,6764422849.35
2018-11-12,ETHKRW,240100,241000,238000,239500,23539.26,5640225066.2
2018-11-11,ETHKRW,240000,241200,236000,240100,122269.91,29372018533.59
2018-11-10,ETHKRW,238000,241800,236900,240000,103548.75,24739676191.39
2018-11-09,ETHKRW,239200,243000,236000,238000,69580.27,16681603747.33
2018-11-08,ETHKRW,243300,246400,237600,239200,149234.83,35931206960.52
2018-11-07,ETHKRW,244500,250000,242200,243300,77171.19,18902186274.38
2018-11-06,ETHKRW,234100,245800,233000,244500,101003.91,23870826086.29
2018-11-05,ETHKRW,236500,238000,232000,234100,148120.68,34739776126.65
2018-11-04,ETHKRW,223600,244400,223100,236500,291173.83,65973786823.67
2018-11-03,ETHKRW,226000,227300,223000,223600,406156.64,91148437966.54
2018-11-02,ETHKRW,224500,227800,223800,226000,279647.85,62993057542.35
2018-11-01,ETHKRW,223500,224800,222500,224500,380403.59,84987529327.18
2018-10-31,ETHKRW,222300,225900,219000,223500,274678.25,60996936935.61
2018-10-30,ETHKRW,220200,223900,220200,222300,279139.57,61956171609.07
2018-10-29,ETHKRW,228700,229800,219100,220200,247817.68,55849311382.01
2018-10-28,ETHKRW,228500,230000,227500,228700,134623.53,30793825709.93
2018-10-27,ETHKRW,228000,229500,227000,228500,127479.73,29087554467.57
2018-10-26,ETHKRW,226500,231500,225500,228000,209295.66,47634746324.99
2018-10-25,ETHKRW,228500,228500,225000,226500,121882.02,27641624677.7
2018-10-24,ETHKRW,228500,230000,227500,228500,117284.24,26848075190.98
2018-10-23,ETHKRW,229500,231000,225500,228500,83609.26,19064007559.0
2018-10-22,ETHKRW,230000,231500,228000,229500,166799.65,38263405987.2
2018-10-21,ETHKRW,231000,234000,229500,230000,154994.95,35878265658.05
2018-10-20,ETHKRW,229000,233000,227500,231000,131686.85,30398076230.12
2018-10-19,ETHKRW,229000,235500,226500,229000,82725.25,18949656838.42
2018-10-18,ETHKRW,232000,234000,227000,229000,98054.89,22712760646.83
2018-10-17,ETHKRW,234000,236000,229500,232000,106142.77,24657695103.85
2018-10-16,ETHKRW,236500,236500,233500,233500,0.0,0.0
2018-10-15,ETHKRW,223500,254000,220500,236500,127265.52,30174288224.03
2018-10-14,ETHKRW,229000,231500,221500,223500,57858.81,13250068829.77
2018-10-13,ETHKRW,225000,230500,225000,229000,47733.84,10895592859.67
2018-10-12,ETHKRW,221000,232500,218500,225000,128640.04,28988548462.71
2018-10-11,ETHKRW,256000,256000,217500,221000,160701.29,38194669654.43
2018-10-10,ETHKRW,258500,259500,253000,256000,107837.05,27600040810.97
2018-10-09,ETHKRW,260500,261000,257000,258500,222185.72,57512742496.63
2018-10-08,ETHKRW,256000,262500,254000,260500,99156.71,25404049129.69
2018-10-07,ETHKRW,256000,258000,252000,256000,38972.6,9967422445.93
2018-10-06,ETHKRW,258500,259500,253000,256000,46103.48,11845922055.04
2018-10-05,ETHKRW,252000,261500,249500,258500,76924.33,19514644749.53
2018-10-04,ETHKRW,250000,257500,249500,252000,35515.88,9034419906.65
2018-10-03,ETHKRW,255000,257000,245500,250000,37681.32,9443157782.16
2018-10-02,ETHKRW,258000,259500,253000,255000,24973.81,6408979477.48
2018-10-01,ETHKRW,259500,262500,250500,258000,37753.75,9711790913.65
2018-09-30,ETHKRW,258000,265500,253500,259500,41431.78,10777191123.88
2018-09-29,ETHKRW,247500,266000,241000,258000,69309.39,17687990443.42
2018-09-28,ETHKRW,255000,259000,241000,247500,56265.79,14202177512.68
2018-09-27,ETHKRW,241000,259500,236500,255000,57126.13,14103289203.26
2018-09-26,ETHKRW,248000,252500,236500,241000,50075.74,12220785054.55
2018-09-25,ETHKRW,258500,258500,233000,248000,43204.7,10550745854.12
2018-09-24,ETHKRW,274000,276500,255000,258500,26134.16,6920286303.21
2018-09-23,ETHKRW,269500,278500,266000,274000,43492.18,11803606221.22
2018-09-22,ETHKRW,276000,289000,260000,269500,66852.44,18137108120.86
2018-09-21,ETHKRW,252000,285000,246000,276000,109693.34,28464198021.01
2018-09-20,ETHKRW,238500,254500,234000,252000,51443.83,12386971743.89
2018-09-19,ETHKRW,239500,244000,225500,238500,45195.31,10737118824.83
2018-09-18,ETHKRW,225500,244500,221500,239500,85315.85,19708018758.36
2018-09-17,ETHKRW,248500,254500,221000,225500,67295.21,16142294700.6
2018-09-16,ETHKRW,251000,252000,235500,248500,47268.59,11602872273.78
2018-09-15,ETHKRW,237000,256000,234500,251000,90826.47,22329923892.17
2018-09-14,ETHKRW,239500,253500,230000,237000,136207.3,32869427009.38
2018-09-13,ETHKRW,210000,243500,209000,239500,100174.92,22518586556.08
2018-09-12,ETHKRW,213000,214500,193000,210000,90204.68,18143709216.97
2018-09-11,ETHKRW,226500,229000,203500,213000,44148.79,9695797436.47
2018-09-10,ETHKRW,227000,234000,216000,226500,46767.86,10583625621.79
2018-09-09,ETHKRW,229500,241000,214000,227000,65917.63,15008639564.57
2018-09-08,ETHKRW,248000,253500,221000,229500,41781.2,10149849531.03
2018-09-07,ETHKRW,265000,271500,247000,248000,58486.6,15149315973.06
2018-09-06,ETHKRW,263000,288000,247000,265000,69888.8,18232825933.22
2018-09-05,ETHKRW,321000,323000,260500,263000,70935.53,21279985395.63
2018-09-04,ETHKRW,323000,326500,318000,321000,39028.42,12554886957.69
2018-09-03,ETHKRW,328000,330000,320500,323000,23202.22,7524437478.16
2018-09-02,ETHKRW,328000,334500,322500,328000,39890.79,13046165259.02
2018-09-01,ETHKRW,316000,334500,316000,328000,45629.89,14730530998.85
2018-08-31,ETHKRW,318000,319500,312000,316000,30640.41,9664676667.38
2018-08-30,ETHKRW,320000,327000,308000,318000,54534.47,17406790751.06
2018-08-29,ETHKRW,327500,330500,317000,320000,37649.24,12298292497.14
2018-08-28,ETHKRW,320000,329500,315000,327500,27698.59,8860127466.2
2018-08-27,ETHKRW,310000,320500,306000,320000,32895.32,10228122160.83
