Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
2019-07-29 12-AM,ETHMXN,4007.04,4048.98,3960.58,4042.46,6.217,24947.78
2019-07-28 11-PM,ETHMXN,4054.97,4058.99,3960.71,4007.04,7.101,28428.98
2019-07-28 10-PM,ETHMXN,3942.37,4054.97,3800,4054.97,93.06,365678.35
2019-07-28 09-PM,ETHMXN,4018.68,4018.68,3942.37,3942.37,5.088,20144.74
2019-07-28 08-PM,ETHMXN,4020.03,4021.2,3950,4018.68,1.359,5403.2
2019-07-28 07-PM,ETHMXN,4025.28,4025.28,3955.7,4020.03,7.032,27922.43
2019-07-28 06-PM,ETHMXN,3985.6,4037.68,3960.5,4025.28,11.49,46100.16
2019-07-28 05-PM,ETHMXN,3985,4039.69,3965.41,3985.6,7.051,28131.98
2019-07-28 04-PM,ETHMXN,3967.11,4020,3967.11,3985,15.33,61442.17
2019-07-28 03-PM,ETHMXN,4000,4020,3960.61,3967.11,5.758,22983.6
2019-07-28 02-PM,ETHMXN,4027.47,4032.32,4000,4000,3.943,15896.09
2019-07-28 01-PM,ETHMXN,4029.64,4029.64,3965.82,4027.47,0.8254,3318.56
2019-07-28 12-PM,ETHMXN,4029.55,4029.64,3975.17,4029.64,2.481,9916.73
2019-07-28 11-AM,ETHMXN,4053.03,4053.03,3975.31,4029.55,0.1595,636.23
2019-07-28 10-AM,ETHMXN,4053.03,4053.03,4053.03,4053.03,0.0,0.0
2019-07-28 09-AM,ETHMXN,4053.03,4053.03,4053.03,4053.03,0.0,0.0
2019-07-28 08-AM,ETHMXN,4057.53,4057.53,3961.2,4053.03,0.1585,630.14
2019-07-28 07-AM,ETHMXN,3993.22,4062.24,3960.93,4057.53,1.464,5924.83
2019-07-28 06-AM,ETHMXN,4054.67,4069.91,3983.91,3993.22,12.66,51316.62
2019-07-28 05-AM,ETHMXN,4050,4054.67,3987.55,4054.67,6.023,24045.34
2019-07-28 04-AM,ETHMXN,3999.61,4055.98,3951.1,4050,28.01,112968.02
2019-07-28 03-AM,ETHMXN,3999.35,4005.1,3951,3999.61,16.18,64654.85
2019-07-28 02-AM,ETHMXN,3955.04,4008.11,3955.04,3999.35,4.178,16670.22
2019-07-28 01-AM,ETHMXN,4046.16,4046.16,3951.95,3955.04,1.752,6969.82
2019-07-28 12-AM,ETHMXN,3960.06,4046.16,3960,4046.16,8.969,35573.42
2019-07-27 11-PM,ETHMXN,3960.01,4023.8,3960,3960.06,3.795,15128.95
2019-07-27 10-PM,ETHMXN,4000,4025,3960.01,3960.01,3.16,12575.21
2019-07-27 09-PM,ETHMXN,4000,4023.62,3970.1,4000,3.782,15151.82
