Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume INR
2017-12-25,BTCINR,994111,1182116,965676,1008600,28.82,31657393.84
2017-12-24,BTCINR,1121603,1133684,898143,994111,57.24,59181112.01
2017-12-23,BTCINR,938773,1206471,752734,1121603,164.9,174509135.55
2017-12-22,BTCINR,1054704,1071709,582669,938773,284.65,239668926.19
2017-12-21,BTCINR,1119825,1165876,857759,1054704,140.59,142416541.67
2017-12-20,BTCINR,1320972,1325585,894919,1119825,274.06,304055861.95
2017-12-19,BTCINR,1347397,1418720,582142,1320972,131.26,173713291.15
2017-12-18,BTCINR,1401835,1432548,1253930,1347397,81.12,110566657.61
2017-12-17,BTCINR,1369353,1456458,1298899,1401835,74.09,102818213.27
2017-12-16,BTCINR,1362618,1468055,1295000,1369353,115.53,159495870.2
2017-12-15,BTCINR,1377467,1463414,1281979,1362618,88.24,122416547.34
2017-12-14,BTCINR,1361918,1424847,1235138,1377467,97.52,130445454.12
2017-12-13,BTCINR,1369157,1412074,1208734,1361918,145.25,195079696.42
2017-12-12,BTCINR,1118282,1399303,1070000,1369157,191.25,241490368.73
2017-12-11,BTCINR,1128777,1240940,1039651,1118282,136.25,155588126.27
2017-12-10,BTCINR,1155154,1182196,969907,1128777,88.72,95578684.17
2017-12-09,BTCINR,1085184,1172279,934117,1155154,156.22,168766599.33
2017-12-08,BTCINR,1051988,1162507,880000,1085184,231.42,239789085.68
2017-12-07,BTCINR,969150,1119136,860000,1051988,253.53,251006872.88
2017-12-06,BTCINR,831683,972121,792707,969150,176.98,154219122.05
2017-12-05,BTCINR,859193,860506,750000,831683,110.38,90789200.33
2017-12-04,BTCINR,818278,859193,491500,859193,98.6,80818933.23
2017-12-03,BTCINR,841861,869335,729901,818278,104.35,85470369.91
2017-12-02,BTCINR,819138,882927,769781,841861,103.7,87082993.9
2017-12-01,BTCINR,827273,886381,725778,819138,174.29,141130751.36
2017-11-30,BTCINR,827982,911317,712275,827273,373.36,299902063.24
2017-11-29,BTCINR,747732,910552,277062,827982,550.92,464157496.85
2017-11-28,BTCINR,704470,772258,699735,747732,343.41,257606128.21
2017-11-27,BTCINR,661052,722999,650000,704470,304.46,212183665.92
2017-11-26,BTCINR,622119,700759,601701,661052,206.75,134680528.06
2017-11-25,BTCINR,591609,622119,575466,622119,111.24,66830735.15
2017-11-24,BTCINR,586855,602778,567018,591609,115.81,67793046.0
2017-11-23,BTCINR,585702,600134,560000,586855,144.44,84769055.44
2017-11-22,BTCINR,581875,601297,575514,585702,183.99,108824360.65
2017-11-21,BTCINR,578751,603769,552899,581875,173.76,101693385.21
2017-11-20,BTCINR,547459,599286,532707,578751,216.13,123022696.43
2017-11-19,BTCINR,520029,549251,509666,547459,102.41,54082873.36
2017-11-18,BTCINR,503844,529229,479648,520029,106.7,54658316.38
