Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume NGN
2019-06-26 03-PM,BTCNGN,4785499,4785500,4707711,4734399,4.31,20434797.45
2019-06-26 02-PM,BTCNGN,4739001,4799979,4730319,4785499,5.589,26679139.21
2019-06-26 01-PM,BTCNGN,4659999,4750000,4659998,4739001,3.763,17716547.21
2019-06-26 12-PM,BTCNGN,4624998,4659999,4624998,4659999,2.807,13002547.55
2019-06-26 11-AM,BTCNGN,4626698,4626699,4600001,4624998,6.955,32085855.16
2019-06-26 10-AM,BTCNGN,4626900,4626900,4585002,4626698,3.845,17703347.34
2019-06-26 09-AM,BTCNGN,4613000,4689999,4612999,4626900,4.091,18992093.96
2019-06-26 08-AM,BTCNGN,4629999,4630000,4605010,4613000,2.925,13518814.67
2019-06-26 07-AM,BTCNGN,4629999,4630000,4629999,4629999,3.337,15450164.81
2019-06-26 06-AM,BTCNGN,4621000,4648990,4600000,4629999,4.986,23049961.28
2019-06-26 05-AM,BTCNGN,4544000,4850000,4497998,4621000,16.21,75725169.57
2019-06-26 04-AM,BTCNGN,4450999,4544800,4450998,4544000,7.461,33503938.71
2019-06-26 03-AM,BTCNGN,4347348,4450999,4325480,4450999,4.147,18175040.88
2019-06-26 02-AM,BTCNGN,4320005,4348050,4312999,4347348,4.209,18180080.91
2019-06-26 01-AM,BTCNGN,4319789,4320005,4309999,4320005,3.169,13669583.5
2019-06-26 12-AM,BTCNGN,4219990,4319790,4219989,4319789,3.516,14990077.78
2019-06-25 11-PM,BTCNGN,4215952,4219990,4215951,4219990,1.935,8161336.75
2019-06-25 10-PM,BTCNGN,4181900,4220000,4169999,4215952,3.865,16247955.55
2019-06-25 09-PM,BTCNGN,4143959,4181950,4129450,4181900,2.339,9707313.4
2019-06-25 08-PM,BTCNGN,4126989,4143959,4126989,4143959,2.728,11257995.51
2019-06-25 07-PM,BTCNGN,4126990,4126990,4126989,4126989,1.161,4790341.15
2019-06-25 06-PM,BTCNGN,4118590,4127001,4106610,4126990,1.272,5236964.28
2019-06-25 05-PM,BTCNGN,4131999,4132000,4101999,4118590,1.343,5537770.92
2019-06-25 04-PM,BTCNGN,4127001,4145000,4127000,4131999,5.145,21250214.42
2019-06-25 03-PM,BTCNGN,4096933,4127001,4096933,4127001,1.625,6696065.75
2019-06-25 02-PM,BTCNGN,4096933,4096934,4096933,4096933,1.957,8019120.22
2019-06-25 01-PM,BTCNGN,4096933,4096934,4096933,4096933,1.118,4579847.2
2019-06-25 12-PM,BTCNGN,4128130,4135900,4096933,4096933,2.844,11702633.64
2019-06-25 11-AM,BTCNGN,4146999,4149000,4128009,4128130,2.641,10938105.25
2019-06-25 10-AM,BTCNGN,4096500,4149000,4096499,4146999,4.767,19581531.95
2019-06-25 09-AM,BTCNGN,4096500,4096500,4096499,4096500,2.069,8477090.46
2019-06-25 08-AM,BTCNGN,4096500,4096500,4096499,4096500,3.056,12519200.29
2019-06-25 07-AM,BTCNGN,4096500,4096500,4096499,4096500,3.314,13575922.12
