Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume USD
2019-06-27 06-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-27 05-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-27 04-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-27 03-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-27 02-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-27 01-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-27 12-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-26 11-PM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-26 10-PM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-26 09-PM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-26 08-PM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-26 07-PM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-26 06-PM,LSKUSD,2.15,2.15,2.1,2.1,36.74,77.15
2019-06-26 05-PM,LSKUSD,2.15,2.15,2.15,2.15,0.0,0.0
2019-06-26 04-PM,LSKUSD,2.04,2.15,2.04,2.15,121.0,259.95
2019-06-26 03-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-26 02-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-26 01-PM,LSKUSD,2,2.04,2,2.04,20.0,40.8
2019-06-26 12-PM,LSKUSD,2,2,2,2,0.0,0.0
2019-06-26 11-AM,LSKUSD,2.14,2.14,2,2,9.8,19.6
2019-06-26 10-AM,LSKUSD,2.14,2.14,2.14,2.14,0.0,0.0
2019-06-26 09-AM,LSKUSD,2.14,2.14,2.14,2.14,0.0,0.0
2019-06-26 08-AM,LSKUSD,1.95,2.14,1.95,2.14,29.26,62.52
2019-06-26 07-AM,LSKUSD,1.95,1.95,1.95,1.95,0.0,0.0
2019-06-26 06-AM,LSKUSD,1.95,1.95,1.95,1.95,0.0,0.0
2019-06-26 05-AM,LSKUSD,2.02,2.07,1.95,1.95,149.3,295.71
2019-06-26 04-AM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-26 03-AM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-26 02-AM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-26 01-AM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-26 12-AM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-25 11-PM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-25 10-PM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-25 09-PM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-25 08-PM,LSKUSD,2.02,2.02,2.02,2.02,0.0,0.0
2019-06-25 07-PM,LSKUSD,2.03,2.03,2.02,2.02,3.523,7.117
2019-06-25 06-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 05-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 04-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 03-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 02-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 01-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 12-PM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 11-AM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 10-AM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 09-AM,LSKUSD,2.03,2.03,2.03,2.03,0.0,0.0
2019-06-25 08-AM,LSKUSD,2.16,2.16,2.03,2.03,174.99,355.45
2019-06-25 07-AM,LSKUSD,2.15,2.16,2.15,2.16,15.01,32.42
2019-06-25 06-AM,LSKUSD,2.15,2.15,2.15,2.15,0.0,0.0
2019-06-25 05-AM,LSKUSD,2.15,2.15,2.15,2.15,0.0,0.0
2019-06-25 04-AM,LSKUSD,2.15,2.15,2.15,2.15,0.0,0.0
2019-06-25 03-AM,LSKUSD,2.15,2.15,2.15,2.15,0.0,0.0
2019-06-25 02-AM,LSKUSD,2.15,2.15,2.15,2.15,0.0,0.0
2019-06-25 01-AM,LSKUSD,2.15,2.15,2.15,2.15,0.0,0.0
2019-06-25 12-AM,LSKUSD,2.05,2.15,2.05,2.15,48.08,103.28
2019-06-24 11-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 10-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 09-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 08-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 07-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 06-PM,LSKUSD,2,2.05,2,2.05,49.95,102.4
2019-06-24 05-PM,LSKUSD,2,2,2,2,0.0,0.0
2019-06-24 04-PM,LSKUSD,2.05,2.05,2,2,250.0,507.99
2019-06-24 03-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 02-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 01-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 12-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-24 11-AM,LSKUSD,2.15,2.15,2.05,2.05,13.0,26.69
2019-06-24 10-AM,LSKUSD,2.08,2.15,2.08,2.15,96.7,201.4
2019-06-24 09-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 08-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 07-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 06-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 05-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 04-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 03-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 02-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 01-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-24 12-AM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 11-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 10-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 09-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 08-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 07-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 06-PM,LSKUSD,2.08,2.08,2.08,2.08,13.89,28.89
2019-06-23 05-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 04-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 03-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 02-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 01-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 12-PM,LSKUSD,2.08,2.08,2.08,2.08,0.0,0.0
2019-06-23 11-AM,LSKUSD,2.09,2.09,2.08,2.08,100.0,208.0
2019-06-23 10-AM,LSKUSD,2.36,2.36,2.09,2.09,94.28,197.15
2019-06-23 09-AM,LSKUSD,2.05,2.36,2.05,2.36,291.97,675.91
2019-06-23 08-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-23 07-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-23 06-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-23 05-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-23 04-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-23 03-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-23 02-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-23 01-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-23 12-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-22 11-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-22 10-PM,LSKUSD,2.23,2.23,2.05,2.05,3.189,6.538
2019-06-22 09-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 08-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 07-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 06-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 05-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 04-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 03-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 02-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 01-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 12-PM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 11-AM,LSKUSD,2.23,2.23,2.23,2.23,0.0,0.0
2019-06-22 10-AM,LSKUSD,2.3,2.3,2.23,2.23,10.0,22.3
2019-06-22 09-AM,LSKUSD,2.3,2.3,2.3,2.3,18.84,43.33
2019-06-22 08-AM,LSKUSD,2.05,2.3,2.05,2.3,30.12,65.56
2019-06-22 07-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-22 06-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-22 05-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-22 04-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-22 03-AM,LSKUSD,2.1,2.1,2.05,2.05,146.99,301.33
2019-06-22 02-AM,LSKUSD,2.1,2.1,2.1,2.1,0.0,0.0
2019-06-22 01-AM,LSKUSD,2.05,2.1,2.05,2.1,200.0,420.0
2019-06-22 12-AM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-21 11-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-21 10-PM,LSKUSD,2.05,2.05,2.05,2.05,344.74,706.71
2019-06-21 09-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-21 08-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-21 07-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-21 06-PM,LSKUSD,2.05,2.05,2.05,2.05,0.0,0.0
2019-06-21 05-PM,LSKUSD,2.04,2.05,2.04,2.05,8.272,16.96
2019-06-21 04-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-21 03-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-21 02-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
2019-06-21 01-PM,LSKUSD,2.04,2.04,2.04,2.04,0.0,0.0
