Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DIM,Volume USD
2018-06-01 08-PM,DIMUSD,0.0073,0.0073,0.0068,0.007,119952.0,837.53
2018-06-01 07-PM,DIMUSD,0.0072,0.0076,0.0069,0.0073,372296.0,2772.43
2018-06-01 06-PM,DIMUSD,0.0068,0.0072,0.0067,0.0072,12296.0,86.16
2018-06-01 05-PM,DIMUSD,0.0072,0.0075,0.0065,0.0068,3157644.0,22338.14
2018-06-01 04-PM,DIMUSD,0.0072,0.0075,0.0071,0.0072,1466200.0,10678.35
2018-06-01 03-PM,DIMUSD,0.0069,0.0072,0.0069,0.0072,238039.0,1683.19
2018-06-01 02-PM,DIMUSD,0.0069,0.007,0.0068,0.0069,65978.0,449.01
2018-06-01 01-PM,DIMUSD,0.0069,0.007,0.0069,0.0069,1966.0,13.59
2018-06-01 12-PM,DIMUSD,0.0069,0.0072,0.0068,0.0069,235768.0,1647.07
2018-06-01 11-AM,DIMUSD,0.0068,0.007,0.0068,0.0069,984435.0,6865.83
2018-06-01 10-AM,DIMUSD,0.0067,0.0069,0.0067,0.0068,310740.0,2134.25
2018-06-01 09-AM,DIMUSD,0.0067,0.0067,0.0067,0.0067,88577.0,593.47
2018-06-01 08-AM,DIMUSD,0.0067,0.0067,0.0066,0.0067,84788.0,566.57
2018-06-01 07-AM,DIMUSD,0.0064,0.0067,0.0064,0.0067,44523.0,298.1
2018-06-01 06-AM,DIMUSD,0.0066,0.0066,0.0064,0.0064,382475.0,2492.94
2018-06-01 05-AM,DIMUSD,0.0065,0.0066,0.0065,0.0066,2.0,0.0132
2018-06-01 04-AM,DIMUSD,0.0066,0.0066,0.0065,0.0065,592.0,3.85
2018-06-01 03-AM,DIMUSD,0.0067,0.0067,0.0066,0.0066,20437.0,135.11
2018-06-01 02-AM,DIMUSD,0.0068,0.0068,0.0067,0.0067,1014.0,6.79
2018-06-01 01-AM,DIMUSD,0.0067,0.0068,0.0067,0.0068,98083.0,657.39
2018-06-01 12-AM,DIMUSD,0.0068,0.0068,0.0067,0.0067,2638.0,17.67
2018-05-31 11-PM,DIMUSD,0.0069,0.0069,0.0068,0.0068,11.0,0.0748
