Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DOG,Volume EBTC
2018-01-09,DOGEBTC,9.8e-07,1.04e-06,8.6e-07,9.1e-07,566570000.0,558.35
2018-01-08,DOGEBTC,1.06e-06,1.12e-06,9.3e-07,9.8e-07,701345000.0,735.98
2018-01-07,DOGEBTC,8.5e-07,1.15e-06,8.5e-07,1.06e-06,859745000.0,850.66
2018-01-06,DOGEBTC,7.5e-07,9.6e-07,7.4e-07,8.5e-07,788838000.0,680.49
2018-01-05,DOGEBTC,6.3e-07,7.8e-07,6.2e-07,7.5e-07,728230000.0,494.98
2018-01-04,DOGEBTC,6.1e-07,6.9e-07,6.0e-07,6.3e-07,262563000.0,168.64
2018-01-03,DOGEBTC,6.1e-07,6.2e-07,5.8e-07,6.1e-07,264901000.0,160.44
2018-01-02,DOGEBTC,6.5e-07,7.0e-07,5.7e-07,6.1e-07,267190000.0,173.13
2018-01-01,DOGEBTC,6.5e-07,6.6e-07,6.2e-07,6.5e-07,167706000.0,107.34
2017-12-31,DOGEBTC,6.2e-07,6.8e-07,6.0e-07,6.5e-07,601221000.0,379.88
2017-12-30,DOGEBTC,6.4e-07,6.6e-07,5.9e-07,6.2e-07,381208000.0,234.79
2017-12-29,DOGEBTC,5.7e-07,6.5e-07,5.5e-07,6.4e-07,162124000.0,95.02
2017-12-28,DOGEBTC,5.7e-07,5.9e-07,5.3e-07,5.7e-07,187666000.0,103.71
2017-12-27,DOGEBTC,6.0e-07,6.2e-07,5.4e-07,5.7e-07,176964000.0,103.81
2017-12-26,DOGEBTC,6.3e-07,6.8e-07,5.2e-07,6.0e-07,771191000.0,449.66
2017-12-25,DOGEBTC,6.1e-07,7.7e-07,6.0e-07,6.3e-07,800634000.0,562.0
2017-12-24,DOGEBTC,5.0e-07,6.9e-07,4.6e-07,6.1e-07,586704000.0,329.22
2017-12-23,DOGEBTC,4.4e-07,5.3e-07,4.4e-07,5.0e-07,367427000.0,177.58
2017-12-22,DOGEBTC,4.8e-07,4.8e-07,4.0e-07,4.4e-07,278885000.0,119.51
2017-12-21,DOGEBTC,4.0e-07,5.2e-07,3.7e-07,4.8e-07,522775000.0,239.46
2017-12-20,DOGEBTC,3.2e-07,4.2e-07,2.9e-07,4.0e-07,332307000.0,110.12
2017-12-19,DOGEBTC,3.3e-07,3.6e-07,3.1e-07,3.2e-07,253275000.0,82.87
2017-12-18,DOGEBTC,3.1e-07,3.5e-07,3.0e-07,3.3e-07,393512000.0,127.89
2017-12-17,DOGEBTC,3.0e-07,4.0e-07,2.8e-07,3.1e-07,1025751000.0,338.87
2017-12-16,DOGEBTC,2.1e-07,3.4e-07,2.1e-07,3.0e-07,773982000.0,207.95
2017-12-15,DOGEBTC,2.2e-07,2.2e-07,2.0e-07,2.1e-07,261384000.0,54.59
2017-12-14,DOGEBTC,2.1e-07,2.9e-07,2.0e-07,2.2e-07,551609000.0,121.84
2017-12-13,DOGEBTC,1.9e-07,2.5e-07,1.9e-07,2.1e-07,585366000.0,127.35
2017-12-12,DOGEBTC,1.6e-07,2.0e-07,1.6e-07,1.9e-07,255409000.0,44.48
2017-12-11,DOGEBTC,1.7e-07,1.7e-07,1.6e-07,1.6e-07,163157000.0,26.67
2017-12-10,DOGEBTC,1.7e-07,1.8e-07,1.7e-07,1.7e-07,122893000.0,21.22
2017-12-09,DOGEBTC,1.7e-07,1.8e-07,1.7e-07,1.7e-07,149905000.0,25.96
2017-12-08,DOGEBTC,1.6e-07,1.8e-07,1.5e-07,1.7e-07,210365000.0,34.78
2017-12-07,DOGEBTC,1.9e-07,1.9e-07,1.5e-07,1.6e-07,255989000.0,44.59
2017-12-06,DOGEBTC,2.1e-07,2.1e-07,1.9e-07,1.9e-07,190270000.0,38.37
2017-12-05,DOGEBTC,2.1e-07,2.3e-07,2.1e-07,2.1e-07,142569000.0,30.7
2017-12-04,DOGEBTC,2.0e-07,2.1e-07,1.9e-07,2.1e-07,135123000.0,27.11
2017-12-03,DOGEBTC,1.9e-07,2.1e-07,1.9e-07,2.0e-07,135993000.0,26.32
2017-12-02,DOGEBTC,2.0e-07,2.0e-07,1.9e-07,1.9e-07,127583000.0,24.57
2017-12-01,DOGEBTC,2.0e-07,2.2e-07,2.0e-07,2.0e-07,153358000.0,31.55
2017-11-30,DOGEBTC,2.1e-07,2.3e-07,2.0e-07,2.0e-07,254114000.0,53.4
2017-11-29,DOGEBTC,2.4e-07,2.5e-07,2.1e-07,2.1e-07,559206000.0,125.49
2017-11-28,DOGEBTC,2.0e-07,2.5e-07,2.0e-07,2.4e-07,217650000.0,47.54
2017-11-27,DOGEBTC,2.1e-07,2.1e-07,2.0e-07,2.0e-07,273280000.0,55.95
2017-11-26,DOGEBTC,2.4e-07,2.4e-07,2.0e-07,2.1e-07,123317000.0,27.32
2017-11-25,DOGEBTC,2.3e-07,2.4e-07,2.2e-07,2.4e-07,159173000.0,37.12
2017-11-24,DOGEBTC,2.4e-07,2.6e-07,2.2e-07,2.3e-07,283441000.0,66.52
