Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume AUD
2019-06-21 11-AM,ETHAUD,421.75,424.22,419.32,420.66,111.64,47184.48
2019-06-21 10-AM,ETHAUD,423.15,423.15,419.01,421.75,98.87,41656.38
2019-06-21 09-AM,ETHAUD,417.4,424.24,415.47,423.15,398.62,168237.29
2019-06-21 08-AM,ETHAUD,416.1,417.4,413.82,417.4,66.89,27777.32
2019-06-21 07-AM,ETHAUD,412.77,416.1,412.21,416.1,32.05,13248.83
2019-06-21 06-AM,ETHAUD,414.4,416.97,410.49,412.77,211.89,87629.76
2019-06-21 05-AM,ETHAUD,406.33,414.4,405.02,414.4,181.37,74572.87
2019-06-21 04-AM,ETHAUD,405.03,406.33,403.7,406.33,59.57,24088.87
2019-06-21 03-AM,ETHAUD,406.5,407.65,403.23,405.03,95.89,38836.07
2019-06-21 02-AM,ETHAUD,408.09,409.7,405.01,406.5,189.62,77293.43
2019-06-21 01-AM,ETHAUD,395.5,411,395.5,408.09,401.85,163221.2
2019-06-21 12-AM,ETHAUD,394.86,395.69,394.86,395.5,32.87,12986.43
2019-06-20 11-PM,ETHAUD,394.57,395.98,394.25,394.86,20.86,8232.95
2019-06-20 10-PM,ETHAUD,393.31,395.98,393.31,394.57,20.06,7919.84
2019-06-20 09-PM,ETHAUD,396,396.45,393.31,393.31,44.29,17524.58
2019-06-20 08-PM,ETHAUD,390.86,396.85,389.43,396,54.83,21568.61
2019-06-20 07-PM,ETHAUD,389.74,391.92,389.74,390.86,1.0,391.18
2019-06-20 06-PM,ETHAUD,390.49,390.49,389.74,389.74,2.01,783.38
2019-06-20 05-PM,ETHAUD,392.36,392.36,390.49,390.49,11.72,4578.84
2019-06-20 04-PM,ETHAUD,391.18,392.63,391.18,392.36,7.832,3072.88
2019-06-20 03-PM,ETHAUD,391.35,391.35,389.98,391.18,1.002,391.43
