Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume PIV,Volume XLTC
2018-04-10,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-09,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-08,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-07,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-06,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-05,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-04,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-03,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-02,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-04-01,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-31,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-30,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-29,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-28,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-27,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-26,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-25,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-24,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-23,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-22,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-21,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-20,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-19,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-18,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-17,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-16,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-15,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-14,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-13,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-12,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-11,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-10,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-09,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-08,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-07,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-06,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-05,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-04,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-03,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-02,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-03-01,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-28,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-27,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-26,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-25,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-24,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-23,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-22,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-21,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-20,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-19,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-18,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-17,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-16,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-15,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
2018-02-14,PIVXLTC,0.04001,0.04001,0.04001,0.04001,0.0,0.0
