Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ILS
2019-06-23 07-PM,BTCILS,36600.01,37200,36600.01,37200,1.26,46663.99
2019-06-23 06-PM,BTCILS,37000,37000,36053.19,36600.01,2.04,73721.26
2019-06-23 05-PM,BTCILS,37000,37000,36555,37000,0.1093,4041.87
2019-06-23 04-PM,BTCILS,37000,37000,37000,37000,0.0,0.0
2019-06-23 03-PM,BTCILS,36899,37000,36800,37000,1.339,49481.44
2019-06-23 02-PM,BTCILS,36050.48,36899,36050.48,36899,0.0361,1332.05
2019-06-23 01-PM,BTCILS,36998,36998,36050.48,36050.48,0.2225,8049.22
2019-06-23 12-PM,BTCILS,36500,36998,36500,36998,0.9177,33500.17
2019-06-23 11-AM,BTCILS,37000,37000,36500,36500,0.1106,4047.74
2019-06-23 10-AM,BTCILS,36019.01,37000,36001.01,37000,0.6482,23699.62
2019-06-23 09-AM,BTCILS,36038.01,37000,36019.01,36019.01,1.241,45888.38
2019-06-23 08-AM,BTCILS,36610,37600,36038.01,36038.01,0.4587,16862.96
2019-06-23 07-AM,BTCILS,37600,37600,36610,36610,0.4386,16479.19
2019-06-23 06-AM,BTCILS,37699.48,37699.48,37599.5,37600,0.398,14964.48
2019-06-23 05-AM,BTCILS,37100,37700,37100,37699.48,0.5384,20296.34
2019-06-23 04-AM,BTCILS,37100,37100,37100,37100,0.0,0.0
2019-06-23 03-AM,BTCILS,37100,37100,37100,37100,0.0,0.0
2019-06-23 02-AM,BTCILS,37100,37100,37100,37100,0.0,0.0
2019-06-23 01-AM,BTCILS,36500,37100,36500,37100,0.02493,925.06
2019-06-23 12-AM,BTCILS,36500,36500,36500,36500,0.0,0.0
2019-06-22 11-PM,BTCILS,36500,36500,36500,36500,0.0,0.0
2019-06-22 10-PM,BTCILS,37299.5,37299.5,36500,36500,0.1817,6632.1
2019-06-22 09-PM,BTCILS,37400,37400,36999.5,37299.5,0.04725,1749.82
2019-06-22 08-PM,BTCILS,37400,37400,37400,37400,0.0,0.0
2019-06-22 07-PM,BTCILS,37500.41,37500.41,35500.16,37400,0.3448,12496.95
2019-06-22 06-PM,BTCILS,36200,37500.41,36200,37500.41,0.04558,1672.0
2019-06-22 05-PM,BTCILS,37000,37000,36000,36200,0.8977,32465.97
2019-06-22 04-PM,BTCILS,37000,37000,37000,37000,0.07753,2868.77
2019-06-22 03-PM,BTCILS,35600,37999.41,35600,37000,0.2106,7692.89
2019-06-22 02-PM,BTCILS,39944.84,39944.84,34700.16,35600,1.221,43883.47
2019-06-22 01-PM,BTCILS,37998,39944.84,37100,39944.84,12.42,485196.96
2019-06-22 12-PM,BTCILS,38000,38000,37000,37998,0.2406,9042.92
2019-06-22 11-AM,BTCILS,35500,38000,35500,38000,0.8116,30808.72
2019-06-22 10-AM,BTCILS,33850,37777,33850,35500,22.73,828935.37
2019-06-22 09-AM,BTCILS,34000,34102,33850,33850,0.7281,24763.78
2019-06-22 08-AM,BTCILS,34000,34000,33999.9,34000,1.259,42812.5
2019-06-22 07-AM,BTCILS,33999,34000,33999,34000,0.055,1870.0
2019-06-22 06-AM,BTCILS,33999.99,34000,33999,33999,0.1637,5566.44
