Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume DAS,Volume HBTC
2018-01-10,DASHBTC,0.07643,0.07753,0.07338,0.07386,35786.42,2692.6
2018-01-09,DASHBTC,0.07184,0.077,0.0704,0.07643,33153.07,2456.13
2018-01-08,DASHBTC,0.07171,0.0741,0.07,0.07184,35549.17,2575.29
2018-01-07,DASHBTC,0.06732,0.0747,0.06715,0.07171,29856.49,2153.51
2018-01-06,DASHBTC,0.06383,0.07129,0.06252,0.06732,32601.52,2206.55
2018-01-05,DASHBTC,0.07392,0.07647,0.06303,0.06383,30783.64,2166.36
2018-01-04,DASHBTC,0.07455,0.08007,0.07251,0.07392,32301.22,2439.27
2018-01-03,DASHBTC,0.07856,0.07885,0.07376,0.07455,22967.35,1727.47
2018-01-02,DASHBTC,0.07594,0.0817,0.0731,0.07856,32367.09,2548.19
2018-01-01,DASHBTC,0.07333,0.0771,0.0724,0.07594,26995.64,2027.63
2017-12-31,DASHBTC,0.07618,0.07622,0.07283,0.07333,26066.61,1945.02
2017-12-30,DASHBTC,0.07597,0.07682,0.07299,0.07618,29739.08,2230.3
2017-12-29,DASHBTC,0.07696,0.07858,0.0731,0.07597,24122.44,1816.47
2017-12-28,DASHBTC,0.07365,0.0774,0.07218,0.07696,27066.82,1997.52
2017-12-27,DASHBTC,0.07516,0.07593,0.06624,0.07365,39519.98,2906.62
2017-12-26,DASHBTC,0.08107,0.08159,0.07101,0.07516,35913.45,2706.73
2017-12-25,DASHBTC,0.08112,0.0842,0.0805,0.08107,25953.56,2131.06
2017-12-24,DASHBTC,0.08335,0.08381,0.08053,0.08112,26708.97,2190.45
2017-12-23,DASHBTC,0.08366,0.0871,0.08113,0.08335,24806.34,2066.53
2017-12-22,DASHBTC,0.08676,0.1005,0.07274,0.08366,39295.52,3244.92
2017-12-21,DASHBTC,0.08741,0.09187,0.08436,0.08676,30739.01,2700.42
2017-12-20,DASHBTC,0.06592,0.09063,0.06569,0.08741,25008.39,2064.33
2017-12-19,DASHBTC,0.06025,0.0665,0.06025,0.06592,40770.59,2615.01
2017-12-18,DASHBTC,0.05738,0.0636,0.05571,0.06025,40619.42,2371.3
2017-12-17,DASHBTC,0.05165,0.06027,0.05158,0.05738,48621.96,2726.88
