Created on 01-28-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume From,Volume To
2018-09-28 11-AM,BTCEUR,5738.85,5754.33,5738,5747,86.04,494477.57
2018-09-28 10-AM,BTCEUR,5732.91,5746.23,5716.61,5738.85,51.91,297595.4
2018-09-28 09-AM,BTCEUR,5790.26,5792.24,5670,5732.91,140.3,802436.56
2018-09-28 08-AM,BTCEUR,5840.32,5840.32,5782.72,5790.26,89.18,517039.61
2018-09-28 07-AM,BTCEUR,5790.88,5843.07,5790.88,5840.32,71.94,419095.08
2018-09-28 06-AM,BTCEUR,5764.89,5810,5763.16,5790.88,57.44,332568.12
2018-09-28 05-AM,BTCEUR,5759.56,5764.9,5753.23,5764.89,15.83,91150.28
2018-09-28 04-AM,BTCEUR,5748.28,5759.57,5726.42,5759.56,25.72,147662.1
2018-09-28 03-AM,BTCEUR,5753.82,5753.82,5741,5748.28,9.1,52298.85
2018-09-28 02-AM,BTCEUR,5767,5770,5753.81,5753.82,5.28,30422.28
2018-09-28 01-AM,BTCEUR,5757.24,5767,5744.73,5767,8.78,50530.15
2018-09-28 12-AM,BTCEUR,5742.8,5766.5,5742.79,5757.24,8.17,47061.11
2018-09-27 11-PM,BTCEUR,5740.01,5758.08,5735.84,5742.8,9.26,53179.11
2018-09-27 10-PM,BTCEUR,5771,5777.77,5739.99,5740.01,38.2,219819.15
2018-09-27 09-PM,BTCEUR,5747,5777.77,5741.47,5771,66.64,383433.9
2018-09-27 08-PM,BTCEUR,5714,5784.3,5713.99,5747,173.85,999775.28
2018-09-27 07-PM,BTCEUR,5599.99,5730.74,5595.59,5714,113.88,644638.09
2018-09-27 06-PM,BTCEUR,5582.99,5600,5582.99,5599.99,33.48,187219.14
2018-09-27 05-PM,BTCEUR,5574.3,5583,5572,5582.99,22.6,126036.88
2018-09-27 04-PM,BTCEUR,5570,5583.25,5570,5574.3,19.13,106617.64
2018-09-27 03-PM,BTCEUR,5578.39,5585,5570,5570,28.21,157352.09
2018-09-27 02-PM,BTCEUR,5573.01,5585,5560,5578.39,45.08,251172.65
2018-09-27 01-PM,BTCEUR,5574.39,5589.97,5561.73,5573.01,77.33,431695.36
