Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
2019-02-06,ETHEUR,97.22,97.42,93.73,95.92,689.82,65971.71
2019-02-05,ETHEUR,97.34,97.95,97,97.22,235.79,22904.61
2019-02-04,ETHEUR,96.31,98.02,96.06,97.34,121.84,11800.36
2019-02-03,ETHEUR,99.26,101.62,95.8,96.31,423.12,41368.59
2019-02-02,ETHEUR,96.57,99.53,95.8,99.26,182.7,17714.75
2019-02-01,ETHEUR,96.86,97.52,94.39,96.57,170.21,16274.19
2019-01-31,ETHEUR,97.15,99.35,95.08,96.86,199.26,19254.99
2019-01-30,ETHEUR,96.51,99.91,95.18,97.15,236.76,23099.83
2019-01-29,ETHEUR,96.99,97.22,94.33,96.51,119.05,11405.12
2019-01-28,ETHEUR,102.88,103.09,92.87,96.99,245.9,24055.63
2019-01-27,ETHEUR,105.75,105.75,102.36,102.88,144.33,15028.02
2019-01-26,ETHEUR,105.24,107.48,104.96,105.75,116.95,12410.44
2019-01-25,ETHEUR,107.5,108.34,104.9,105.24,132.93,14153.58
2019-01-24,ETHEUR,106.8,109.04,105.38,107.5,149.76,16009.57
2019-01-23,ETHEUR,108.97,109.69,106.25,106.8,191.74,20721.56
2019-01-22,ETHEUR,106.55,111.11,104.33,108.97,298.78,32246.54
2019-01-21,ETHEUR,108.8,109.11,105.5,106.55,170.45,18326.05
2019-01-20,ETHEUR,113.93,113.94,107.89,108.8,128.38,14181.15
2019-01-19,ETHEUR,110.72,116.78,110.68,113.93,159.51,18170.78
2019-01-18,ETHEUR,113.08,113.3,110.02,110.72,110.08,12259.33
2019-01-17,ETHEUR,112.43,113.34,109.56,113.08,110.7,12360.65
2019-01-16,ETHEUR,111.11,116.71,110.05,112.43,124.3,13955.51
2019-01-15,ETHEUR,117.19,119,109.1,111.11,157.59,18266.39
2019-01-14,ETHEUR,106.54,120.43,106,117.19,246.13,28016.32
2019-01-13,ETHEUR,114.3,116.13,105.28,106.54,293.34,32552.48
2019-01-12,ETHEUR,115.86,116.84,114.21,114.3,187.31,21590.81
2019-01-11,ETHEUR,116.14,118.01,112.44,115.86,180.03,20845.23
2019-01-10,ETHEUR,135.94,137.23,113.02,116.14,474.17,58137.68
2019-01-09,ETHEUR,138.18,140.46,135.41,135.94,240.27,33151.76
2019-01-08,ETHEUR,138.79,141.38,135.02,138.18,234.29,32180.26
2019-01-07,ETHEUR,144.07,144.21,137.55,138.79,437.12,61439.52
2019-01-06,ETHEUR,142.7,147.21,138.82,144.07,560.38,79560.09
2019-01-05,ETHEUR,141.1,147.21,140.72,142.7,289.69,41656.61
2019-01-04,ETHEUR,135.16,143.3,133.83,141.1,300.33,41761.04
2019-01-03,ETHEUR,141.52,142.92,133.39,135.16,331.94,45637.71
2019-01-02,ETHEUR,127.48,143.71,127.35,141.52,368.54,49594.54
2019-01-01,ETHEUR,120.32,129.21,118.69,127.48,262.41,32331.66
2018-12-31,ETHEUR,126.19,127.06,118.82,120.32,238.4,29380.05
2018-12-30,ETHEUR,123.04,128.08,119.32,126.19,721.78,88904.04
2018-12-29,ETHEUR,125.07,132.99,120.64,123.04,655.6,82072.93
2018-12-28,ETHEUR,106.82,126.15,105.43,125.07,731.54,82447.26
2018-12-27,ETHEUR,121.47,124.68,105.21,106.82,625.79,70833.43
2018-12-26,ETHEUR,117.66,124.78,114.56,121.47,928.14,110146.68
2018-12-25,ETHEUR,127,127.24,113.11,117.66,918.83,108332.18
2018-12-24,ETHEUR,118.8,143.48,118.8,127,385.77,51290.72
2018-12-23,ETHEUR,105.93,121.71,105.93,118.8,381.43,44622.03
2018-12-22,ETHEUR,99.06,106.74,97.76,105.93,287.29,29193.88
2018-12-21,ETHEUR,104.5,107.88,98,99.06,552.25,56318.67
2018-12-20,ETHEUR,91.22,106.29,90.46,104.5,917.67,93269.55
2018-12-19,ETHEUR,91.41,97.93,90.5,91.22,796.41,74343.45
2018-12-18,ETHEUR,87,92.2,84.44,91.41,471.32,40682.47
2018-12-17,ETHEUR,79.4,89.2,78.98,87,521.65,44150.81
2018-12-16,ETHEUR,78.46,82.48,78.46,79.4,192.23,15483.72
2018-12-15,ETHEUR,78.76,79.98,76.93,78.46,384.88,30101.11
2018-12-14,ETHEUR,80.88,85.29,78.02,78.76,439.53,35535.37
2018-12-13,ETHEUR,83.71,86.98,79.72,80.88,537.9,45164.26
2018-12-12,ETHEUR,81.89,86.24,81.03,83.71,174.95,14643.47
2018-12-11,ETHEUR,83.06,83.76,80.3,82.25,1684.1,138472.32
2018-12-10,ETHEUR,85.18,86.19,81.18,83.06,525.91,43614.82
2018-12-09,ETHEUR,83.27,90.43,82.1,85.18,326.12,27856.17
2018-12-08,ETHEUR,85.75,90.18,78.5,83.27,354.43,29593.5
2018-12-07,ETHEUR,83.67,88.93,76.09,85.75,271.02,21996.49
2018-12-06,ETHEUR,94.25,95.97,83.4,83.67,220.73,20072.2
2018-12-05,ETHEUR,100.49,100.49,94,94.25,150.98,14700.13
2018-12-04,ETHEUR,99.05,103.34,97.04,100.49,156.21,15743.39
2018-12-03,ETHEUR,106.47,106.57,97.31,99.05,218.64,22119.99
2018-12-02,ETHEUR,108.59,114.12,105.83,106.47,270.68,29209.71
2018-12-01,ETHEUR,104.65,112,102.81,108.59,250.59,27189.06
2018-11-30,ETHEUR,109.45,110.82,103.2,104.8,169.51,17992.18
2018-11-29,ETHEUR,113.24,114.6,106.63,109.45,209.04,23123.08
2018-11-28,ETHEUR,101.89,117.5,101.89,113.24,410.92,45393.01
2018-11-27,ETHEUR,101.05,104.1,94.9,101.89,333.74,33366.03
2018-11-26,ETHEUR,106.89,108.29,97.97,101.05,1068.09,112933.84
2018-11-25,ETHEUR,105.84,109,90.83,106.89,510.78,50471.32
