Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume KRW
2018-04-23,LTCKRW,159100,167200,159100,167000,54577.34,8971019759.41
2018-04-22,LTCKRW,161800,164900,157300,159100,27916.75,4500704934.0
2018-04-21,LTCKRW,167700,170000,151100,161800,44735.81,7263114908.63
2018-04-20,LTCKRW,159200,169500,153900,167700,71106.46,11494251890.89
2018-04-19,LTCKRW,148600,159900,146400,159200,65830.73,10020539604.78
2018-04-18,LTCKRW,142100,149600,141600,148600,58462.45,8530234113.12
2018-04-17,LTCKRW,138000,149300,136800,142100,113064.17,16254746909.58
2018-04-16,LTCKRW,137000,140000,132700,138000,24749.31,3374102317.9
2018-04-15,LTCKRW,131600,137200,130000,137000,21996.41,2959782660.17
2018-04-14,LTCKRW,133300,135500,128300,131600,17552.87,2327718993.31
2018-04-13,LTCKRW,132500,140000,124000,133300,53519.6,7136099963.52
2018-04-12,LTCKRW,126700,136200,120200,132500,83611.29,10516591122.31
2018-04-11,LTCKRW,123500,127900,121200,126700,35272.17,4351308041.09
2018-04-10,LTCKRW,125700,126400,121600,123500,15567.98,1926026965.05
2018-04-09,LTCKRW,127500,133000,123700,125700,22163.73,2828010457.76
2018-04-08,LTCKRW,126100,128000,124200,127500,17209.14,2181437374.95
2018-04-07,LTCKRW,123500,130000,123400,126100,13598.66,1735119600.03
2018-04-06,LTCKRW,129300,131200,122800,123500,20505.56,2589102206.96
2018-04-05,LTCKRW,130300,134400,124800,129300,32158.87,4178414498.71
2018-04-04,LTCKRW,146500,147100,127600,130300,39108.54,5274942501.1
2018-04-03,LTCKRW,130100,149200,128900,146500,26858.64,3734539479.86
2018-04-02,LTCKRW,126100,133400,124600,130100,20873.56,2701609125.6
2018-04-01,LTCKRW,129000,130300,120000,126100,19831.46,2483069356.91
2018-03-31,LTCKRW,131300,136600,128000,129000,24075.97,3192744657.83
2018-03-30,LTCKRW,127200,140000,122300,131300,50861.64,6661556139.11
2018-03-29,LTCKRW,144000,145200,125000,127200,41447.2,5522334906.62
2018-03-28,LTCKRW,149900,153500,143200,144000,24407.44,3618387068.14
2018-03-27,LTCKRW,165200,166000,149200,149900,32582.8,5078110555.01
2018-03-26,LTCKRW,180100,180500,158700,165200,25263.28,4279690848.67
2018-03-25,LTCKRW,177900,182300,175400,180100,10272.57,1831446100.2
2018-03-24,LTCKRW,187100,188600,177100,177900,17780.42,3253414806.26
2018-03-23,LTCKRW,183400,188300,174900,187100,24983.27,4478805578.18
2018-03-22,LTCKRW,188000,191400,178700,183400,27288.72,5055201993.0
2018-03-21,LTCKRW,186000,194900,183700,188000,50913.33,9674945749.99
2018-03-20,LTCKRW,182500,192000,170600,186000,59450.99,10742641134.09
2018-03-19,LTCKRW,168600,182500,164900,182500,63970.9,11154796583.28
2018-03-18,LTCKRW,167200,172800,150600,168600,43569.64,7011666260.8
2018-03-17,LTCKRW,181200,181900,165500,167200,22268.12,3884475864.23
2018-03-16,LTCKRW,181200,186500,174000,181200,29945.39,5384248654.31
2018-03-15,LTCKRW,178600,185800,165000,181200,57943.7,10229713002.53
2018-03-14,LTCKRW,193800,196800,177000,178600,38262.44,7136735498.21
2018-03-13,LTCKRW,198500,201000,190400,193800,39027.06,7605039969.91
2018-03-12,LTCKRW,207100,212000,194600,198500,48805.63,9955468505.45
2018-03-11,LTCKRW,198400,211700,190400,207100,67945.84,13823106866.12
2018-03-10,LTCKRW,209000,217900,196800,198400,97828.11,20369104757.22
2018-03-09,LTCKRW,197600,213400,176900,209000,146441.9,28978540788.85
2018-03-08,LTCKRW,208200,211200,196800,197600,59420.82,12112751277.0
2018-03-07,LTCKRW,219300,223300,196500,208200,79637.44,16866306438.64
2018-03-06,LTCKRW,233100,233600,217800,219300,51194.98,11580806391.34
2018-03-05,LTCKRW,233500,238000,227500,233100,60619.18,14102155689.43
2018-03-04,LTCKRW,234400,236400,221100,233500,43447.53,10058558762.5
2018-03-03,LTCKRW,240400,245000,232900,234400,90765.5,21721978238.66
2018-03-02,LTCKRW,233000,242000,229000,240400,58366.23,13669926992.99
2018-03-01,LTCKRW,231200,238900,225000,233000,73826.99,17153264627.48
2018-02-28,LTCKRW,242100,248900,230100,231200,110096.11,26540453010.42
2018-02-27,LTCKRW,248200,252600,240100,242100,174514.68,42722971483.15
2018-02-26,LTCKRW,255300,272500,245200,248200,555993.08,143111917776.4
2018-02-25,LTCKRW,246200,263200,236100,255300,376623.8,93692917626.09
2018-02-24,LTCKRW,246100,258900,231000,246200,202392.35,49720848460.93
2018-02-23,LTCKRW,229300,252400,213300,246100,247857.94,58462285133.87
2018-02-22,LTCKRW,256600,266000,225700,229300,213192.51,52149513349.94
2018-02-21,LTCKRW,276100,279600,245600,256600,282458.46,74608381192.42
2018-02-20,LTCKRW,251500,297700,251100,276100,441891.27,123481649269.93
2018-02-19,LTCKRW,245900,256000,243000,251500,116804.11,29256263240.59
2018-02-18,LTCKRW,254700,261500,238800,245900,191206.78,48467636658.01
2018-02-17,LTCKRW,256600,260600,245000,254700,158300.75,40389045711.21
2018-02-16,LTCKRW,250700,266200,239300,256600,274362.41,69361662992.09
2018-02-15,LTCKRW,234800,274800,230000,250700,541261.49,137487803717.8
2018-02-14,LTCKRW,184200,247500,183100,234800,483585.91,107206904077.31
2018-02-13,LTCKRW,184600,185100,175700,184200,25212.36,4555704228.53
2018-02-12,LTCKRW,171300,186300,171100,184600,46090.35,8293769562.14
2018-02-11,LTCKRW,179800,181300,162700,171300,52561.56,9034397447.12
2018-02-10,LTCKRW,188000,199700,170000,179800,95861.29,18036578649.32
2018-02-09,LTCKRW,171800,188800,162400,188000,101273.36,17413526363.55
2018-02-08,LTCKRW,151800,174600,151300,171800,98289.53,16042229550.63
2018-02-07,LTCKRW,157800,170300,144000,151800,92366.96,14647345238.64
2018-02-06,LTCKRW,141100,162000,115600,157800,164055.69,22309999670.33
2018-02-05,LTCKRW,161700,167600,136000,141100,169730.97,26029742432.64
2018-02-04,LTCKRW,167800,188600,149500,161700,314446.57,53896821705.91
2018-02-03,LTCKRW,140500,171600,121000,167800,88467.43,13197736697.56
2018-02-02,LTCKRW,156800,160000,101900,140500,114149.29,15282131233.63
2018-02-01,LTCKRW,183800,185800,147800,156800,60250.02,10156913719.8
2018-01-31,LTCKRW,190600,193000,167100,183800,39056.26,7107934760.1
2018-01-30,LTCKRW,207800,207900,186000,190600,44025.56,8744721175.86
2018-01-29,LTCKRW,219000,221400,202500,207800,45288.85,9463153482.44
2018-01-28,LTCKRW,202600,224000,202600,219000,41264.49,8814800312.67
2018-01-27,LTCKRW,202700,207700,196200,202600,32967.51,6654631016.8
2018-01-26,LTCKRW,207300,211500,182000,202700,52471.6,10451534301.57
2018-01-25,LTCKRW,213800,218000,203000,207300,49967.75,10502222027.99
2018-01-24,LTCKRW,214800,220000,202500,213800,57046.21,12109137889.77
2018-01-23,LTCKRW,231600,232800,202000,214800,59099.27,12799506720.31
2018-01-22,LTCKRW,241000,245000,200000,231600,58666.63,13285561222.84
2018-01-21,LTCKRW,276900,280100,220000,241000,91664.32,22416599739.04
2018-01-20,LTCKRW,256300,279800,254900,276900,166733.9,44693913002.34
2018-01-19,LTCKRW,251700,259200,240000,256300,111966.49,28076328472.1
2018-01-18,LTCKRW,247300,275150,221100,251700,115170.43,28552159872.8
2018-01-17,LTCKRW,235000,263650,176000,247300,160314.97,35058804726.9
2018-01-16,LTCKRW,323150,324650,170000,235000,222142.93,60116779409.44
2018-01-15,LTCKRW,332050,349400,316900,323150,153469.34,51304965310.13
2018-01-14,LTCKRW,377100,407700,323000,332050,219466.1,77892051942.83
2018-01-13,LTCKRW,347450,385200,341150,377100,242454.9,86726412014.87
2018-01-12,LTCKRW,325000,355000,312300,347450,164008.28,54709141389.08
2018-01-11,LTCKRW,351450,365000,270000,325000,170469.21,56549444911.8
2018-01-10,LTCKRW,397100,421950,327100,351450,211423.37,79753495260.98
2018-01-09,LTCKRW,412700,424900,365050,397100,215195.28,85600179227.19
2018-01-08,LTCKRW,434300,444400,380000,412700,196137.09,82469612901.32
2018-01-07,LTCKRW,428600,463550,415050,434300,242745.74,106097042756.83
2018-01-06,LTCKRW,374000,467200,372100,428600,500034.19,214555495756.41
2018-01-05,LTCKRW,352550,388800,343300,374000,256062.13,93984956450.01
2018-01-04,LTCKRW,331200,358000,312100,352550,199909.1,66986817468.75
2018-01-03,LTCKRW,336150,346850,325000,331200,130282.3,43791034647.44
2018-01-02,LTCKRW,310850,350200,310150,336150,191933.54,64813445693.63
2018-01-01,LTCKRW,315300,328050,304100,310850,122299.82,38662133334.36
2017-12-31,LTCKRW,305200,330800,301000,315300,130958.73,40854585718.03
2017-12-30,LTCKRW,322050,322850,296500,305200,157198.53,48680673470.64
2017-12-29,LTCKRW,334450,338000,310350,322050,173652.62,56215900353.48
2017-12-28,LTCKRW,375000,376700,302800,334450,179848.54,60977638385.97
2017-12-27,LTCKRW,381200,389050,370000,375000,156122.72,59238454659.66
2017-12-26,LTCKRW,377100,394600,375100,381200,164279.83,62998594946.28
2017-12-25,LTCKRW,380000,396300,371000,377100,148351.49,56551696667.25
