Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
2018-05-28,BTCMXN,144834.16,146129,139100.01,139880,125.24,17785399.22
2018-05-27,BTCMXN,146197,146197,142999.99,144834.16,29.22,4231509.44
2018-05-26,BTCMXN,146229.44,149866.19,144650,146197,57.04,8424066.9
2018-05-25,BTCMXN,149515.1,151592.13,145000,146229.44,110.68,16356417.72
2018-05-24,BTCMXN,149303,154900,146500,149515.1,176.97,26621523.19
2018-05-23,BTCMXN,158790,160468.96,148509,149303,192.15,29493023.58
2018-05-22,BTCMXN,166419.88,166499.93,158790,158790,117.38,19060757.73
2018-05-21,BTCMXN,169024.08,170777,164500,166419.88,75.65,12591583.68
2018-05-20,BTCMXN,164713.01,171297.47,164650.99,169024.08,39.17,6579707.22
2018-05-19,BTCMXN,166950.56,168349.99,164612.01,164713.01,65.68,10935032.86
2018-05-18,BTCMXN,161975.73,166992.53,159000,166950.56,142.27,23152159.4
2018-05-17,BTCMXN,164733.01,168300,160000,161975.73,105.19,17294833.29
2018-05-16,BTCMXN,168496.99,168502.6,162074.86,164733.01,133.69,22042908.75
2018-05-15,BTCMXN,171919.92,175000,167003,168496.99,109.66,18650510.89
2018-05-14,BTCMXN,169073.36,175500,162215.99,171919.92,122.25,20750058.63
2018-05-13,BTCMXN,166010,170253.3,163500,169073.36,60.97,10184148.63
2018-05-12,BTCMXN,164500,171000,162500,166010,129.87,21631467.65
2018-05-11,BTCMXN,175117,176770.4,163450.01,164500,167.56,28294352.93
2018-05-10,BTCMXN,179052.66,180997.9,174000,175117,86.38,15395523.06
2018-05-09,BTCMXN,175300,181000,173550,179052.66,126.95,22658844.96
2018-05-08,BTCMXN,175816.73,177824,170647.03,175300,117.42,20585562.69
2018-05-07,BTCMXN,177657.16,177798.99,170000,175816.73,157.59,27407119.31
2018-05-06,BTCMXN,178809.97,181488.39,173003.01,177657.16,69.3,12262933.24
2018-05-05,BTCMXN,177822,181899.99,177500,178809.97,102.16,18350078.13
2018-05-04,BTCMXN,180758.18,180758.18,175000.01,177822,163.17,28958331.33
2018-05-03,BTCMXN,174001.78,181389,170597.39,180758.18,207.88,36763764.02
2018-05-02,BTCMXN,171293.83,175000,169000,174001.78,184.21,31758243.3
2018-05-01,BTCMXN,173000,173186.6,165350.45,171293.83,100.54,17025079.58
2018-04-30,BTCMXN,175724.44,175999.98,170321.55,173000,76.62,13282609.66
2018-04-29,BTCMXN,172887.56,178000,170000,175724.44,37.85,6580625.6
2018-04-28,BTCMXN,168000.99,175775,166000,172887.56,51.71,8940870.01
2018-04-27,BTCMXN,173500,176500,165500.02,168000.99,146.45,25145233.23
2018-04-26,BTCMXN,166672.37,174700,162004.01,173500,201.96,33932525.2
2018-04-25,BTCMXN,183800,184984,165001,166672.37,444.5,76979283.16
2018-04-24,BTCMXN,168900,184000,168540.02,183800,246.49,43595695.19
2018-04-23,BTCMXN,161701.01,169950,161701.01,168900,174.5,29171085.34
2018-04-22,BTCMXN,164717.41,167000,161500.01,161701.01,106.47,17510706.54
2018-04-21,BTCMXN,164500,167726.26,158501.01,164717.41,235.17,38211998.77
2018-04-20,BTCMXN,153499.98,166499,151000,164500,314.34,49532304.37
2018-04-19,BTCMXN,147200,153499.99,146582,153499.98,172.78,26041690.02
2018-04-18,BTCMXN,142820.07,149149.99,142664.03,147200,144.81,21129987.77
2018-04-17,BTCMXN,145562.07,147000,142109.24,142820.07,145.08,21019739.67
2018-04-16,BTCMXN,151879.9,151999.5,142629,145562.07,157.11,22892882.73
2018-04-15,BTCMXN,146000,152133,145022.01,151879.9,145.9,21847500.37
2018-04-14,BTCMXN,143000.03,147500,141110.01,146000,107.73,15590217.14
2018-04-13,BTCMXN,144000,149416.66,140405,143000.03,328.61,47820380.3
2018-04-12,BTCMXN,127014.84,145664.28,124045.61,144000,498.77,68917436.47
2018-04-11,BTCMXN,125799.99,128000,124400.24,127014.84,121.29,15312393.97
2018-04-10,BTCMXN,124500.09,127000,123000,125799.99,148.0,18563503.4
2018-04-09,BTCMXN,126825.09,130999,122650,124500.09,262.89,33058360.6
2018-04-08,BTCMXN,125126.37,129500,125001.18,126825.09,69.02,8776742.78
2018-04-07,BTCMXN,122890,129683.27,121500,125126.37,137.63,17345766.05
2018-04-06,BTCMXN,124898,126015,120500,122890,157.85,19321166.0
2018-04-05,BTCMXN,123359,127000,121000,124898,201.96,24955268.79
2018-04-04,BTCMXN,135975.95,136455.99,122508.88,123359,206.1,26394670.08
2018-04-03,BTCMXN,129299.97,137998.94,128100.01,135975.95,245.41,32944265.09
2018-04-02,BTCMXN,124965.75,130000,123666.01,129299.97,139.41,17838552.28
2018-04-01,BTCMXN,125231.49,128997.99,118000.01,124965.75,142.66,17676012.65
2018-03-31,BTCMXN,124000,131000,122500.01,125231.49,99.78,12722472.26
2018-03-30,BTCMXN,128978,131200,120000,124000,233.81,29238250.35
2018-03-29,BTCMXN,147898,148200,123288.01,128978,379.34,51503271.14
2018-03-28,BTCMXN,145001,150379.99,144300,147898,190.82,27972716.03
2018-03-27,BTCMXN,149978,151599,143000,145001,248.17,36611726.31
2018-03-26,BTCMXN,157019.38,166000,144519.75,149978,310.39,46623459.74
2018-03-25,BTCMXN,161124.02,163002.11,156000,157019.38,115.46,18430520.27
2018-03-24,BTCMXN,160400,166569.11,157450.01,161124.02,176.26,28607670.59
2018-03-23,BTCMXN,162192.39,162373.93,151200,160400,305.46,48063972.72
2018-03-22,BTCMXN,164801,167373.93,159000,162192.39,267.29,43642256.05
2018-03-21,BTCMXN,165794.03,172200,164200,164801,347.75,58264197.16
2018-03-20,BTCMXN,160855.99,168490,158000.01,165794.03,290.61,47701631.21
2018-03-19,BTCMXN,152914.81,164000,151001.04,160855.99,274.54,43269678.86
2018-03-18,BTCMXN,147100.09,153999.98,136100,152914.81,368.01,52624740.05
2018-03-17,BTCMXN,156000,158389.99,145100,147100.09,178.69,26701581.29
2018-03-16,BTCMXN,155360.46,161200,149000,156000,206.26,32380277.27
2018-03-15,BTCMXN,154500.25,159921.99,142002,155360.46,424.91,63760031.23
2018-03-14,BTCMXN,171999.98,175000,147336.03,154500.25,331.64,52625468.24
2018-03-13,BTCMXN,174100,178000,167000.03,171999.98,270.16,46456236.52
2018-03-12,BTCMXN,180900,187000,167000,174100,246.11,43485967.82
2018-03-11,BTCMXN,169000,184978,162501,180900,183.17,31603065.67
2018-03-10,BTCMXN,177000,191999,166000,169000,403.99,71756650.88
2018-03-09,BTCMXN,175050,179500,152000.03,177000,633.05,105661061.85
2018-03-08,BTCMXN,189550,195399.98,172450.7,175050,515.29,94329787.45
2018-03-07,BTCMXN,203209.9,212000,188000,189550,433.63,85320913.68
2018-03-06,BTCMXN,215001,216550.99,200000,203209.9,309.26,63927592.68
2018-03-05,BTCMXN,214200,218999,211658.01,215001,199.6,43029216.56
2018-03-04,BTCMXN,215397.07,215398.99,206309.97,214200,116.06,24367032.4
2018-03-03,BTCMXN,207997.43,216199.99,207000,215397.07,176.97,37573541.26
2018-03-02,BTCMXN,204280,208550,201020,207997.43,231.15,47570785.72
2018-03-01,BTCMXN,195098,206899,194500,204280,203.4,41205476.21
2018-02-28,BTCMXN,199800.01,205000,193500,195098,271.14,53880304.97
2018-02-27,BTCMXN,192312,203859.49,190000,199800.01,234.01,46316832.31
2018-02-26,BTCMXN,179697.97,195022,176450,192312,254.67,48284425.31
2018-02-25,BTCMXN,182800.05,185000,174500,179697.97,85.63,15372233.66
2018-02-24,BTCMXN,189630.08,197000,175421.63,182800.05,211.33,39184964.54
2018-02-23,BTCMXN,184230,195473.68,178122.08,189630.08,325.29,61230136.12
2018-02-22,BTCMXN,196920.64,206502,181300.01,184230,408.19,78170063.18
2018-02-21,BTCMXN,208888,209598.99,190000,196920.64,571.36,113697530.96
2018-02-20,BTCMXN,208995.74,221021,206557.02,208888,389.08,83392508.96
2018-02-19,BTCMXN,200540.91,211000,195000,208995.74,270.15,55525416.5
2018-02-18,BTCMXN,207022,212199.99,189011.01,200540.91,279.56,56923959.09
2018-02-17,BTCMXN,192291,211000,189090.01,207022,249.22,49713994.39
2018-02-16,BTCMXN,189022.11,195299.99,184050.01,192291,303.66,57653747.96
2018-02-15,BTCMXN,177378,196495.61,175200,189022.11,602.81,112712898.69
2018-02-14,BTCMXN,161970.61,177999.1,160500.84,177378,331.31,56855880.22
2018-02-13,BTCMXN,167200,167990,159030,161970.61,275.59,44824598.85
2018-02-12,BTCMXN,153499.99,168990,152010,167200,224.0,36532317.75
2018-02-11,BTCMXN,163499.37,163582.73,148500,153499.99,216.52,33596886.72
2018-02-10,BTCMXN,163960,172000,156570,163499.37,272.16,44849606.17
2018-02-09,BTCMXN,159400,164500,152000,163960,335.04,53224377.01
2018-02-08,BTCMXN,147570,168200,146509.02,159400,380.83,60223752.62
2018-02-07,BTCMXN,147390.89,170000,135000,147570,597.42,91742771.65
2018-02-06,BTCMXN,126415.44,155555,110000,147390.89,843.13,110852377.79
2018-02-05,BTCMXN,159399.1,159978.95,117246.82,126415.44,718.66,95720174.81
2018-02-04,BTCMXN,172000,174599.99,150009,159399.1,239.8,38883466.63
2018-02-03,BTCMXN,165320.39,176200,151000,172000,226.53,37864459.4
2018-02-02,BTCMXN,166680.85,170000,140000,165320.39,735.73,115799647.19
2018-02-01,BTCMXN,190000,192999.99,153000,166680.85,562.81,95458032.16
2018-01-31,BTCMXN,191499.79,193500,180109.01,190000,243.57,45485189.98
2018-01-30,BTCMXN,209998,214500,186000.88,191499.79,351.64,68918779.37
2018-01-29,BTCMXN,217400,219497,207000,209998,170.16,35898733.97
2018-01-28,BTCMXN,209000.99,222483.86,209000,217400,107.48,23325365.43
2018-01-27,BTCMXN,206022.26,214000,203102,209000.99,107.1,22436770.49
2018-01-26,BTCMXN,207501,214379.84,201280.26,206022.26,237.71,49240856.53
2018-01-25,BTCMXN,210900,214900,203140.32,207501,158.45,33115312.12
2018-01-24,BTCMXN,204500,215449,199000,210900,263.37,54315277.91
2018-01-23,BTCMXN,229495.74,229495.74,229495.74,229495.74,0.0,0.0
2018-01-22,BTCMXN,229495.74,229495.74,229495.74,229495.74,0.0,0.0
2018-01-21,BTCMXN,229495.74,229495.74,229495.74,229495.74,0.0,0.0
2018-01-20,BTCMXN,229495.74,229495.74,229495.74,229495.74,0.0,0.0
2018-01-19,BTCMXN,228000,234999,220000,229495.74,102.59,23174039.8
2018-01-18,BTCMXN,223862.71,260000,210001.03,228000,676.23,157573568.77
2018-01-17,BTCMXN,230000,244998.76,171000,223862.71,886.1,182405017.67
2018-01-16,BTCMXN,284500,285000,205019.15,230000,698.74,168146866.8
2018-01-15,BTCMXN,290501,301000.88,283505.05,284500,184.67,54117321.78
2018-01-14,BTCMXN,298000,301499,282500,290501,106.52,31031851.01
2018-01-13,BTCMXN,289999,303899,289019.15,298000,110.69,32941008.69
2018-01-12,BTCMXN,291300,298000,276000,289999,264.26,75621177.84
2018-01-11,BTCMXN,321800,324000,273101,291300,431.69,126062404.72
2018-01-10,BTCMXN,318960,321900,300000,321800,371.7,114840002.69
2018-01-09,BTCMXN,337999.99,337999.99,306999,318960,310.82,99747437.55
2018-01-08,BTCMXN,352895.08,354483.96,306000,337999.99,323.04,106466189.86
2018-01-07,BTCMXN,354134.74,358899.01,343000.01,352895.08,114.33,40184774.11
2018-01-06,BTCMXN,358700,360000,338000,354134.74,198.93,69717475.22
2018-01-05,BTCMXN,321513.18,360999,305337.99,358700,668.8,222801660.33
2018-01-04,BTCMXN,318000,323000,300000,321513.18,373.43,116714667.04
2018-01-03,BTCMXN,320000,330000,310501,318000,241.55,77253615.41
2018-01-02,BTCMXN,308000,330000.01,295000,320000,332.51,104460448.31
2018-01-01,BTCMXN,306501.93,312000,300000,308000,73.48,22431822.3
2017-12-31,BTCMXN,283500,317999,270100,306501.93,245.99,73911439.61
2017-12-30,BTCMXN,324490,324490,270000,283500,447.75,132351093.12
2017-12-29,BTCMXN,315260.5,324883.94,302500,324490,382.93,120543463.73
2017-12-28,BTCMXN,328900,335295.39,300000,315260.5,311.47,96653004.86
2017-12-27,BTCMXN,335500,346300,310100,328900,352.53,115697320.42
2017-12-26,BTCMXN,300978.93,348999.89,298001,335500,466.81,153356317.45
2017-12-25,BTCMXN,299000,312500,288100,300978.93,152.68,45689063.86
2017-12-24,BTCMXN,309498,315450,281001,299000,296.71,87879040.08
2017-12-23,BTCMXN,285000,324904.57,280000,309498,403.59,124137613.23
2017-12-22,BTCMXN,319986.85,324999.99,205000,285000,1093.04,303753187.24
2017-12-21,BTCMXN,351105.29,355000,283602,319986.85,545.28,174169473.69
2017-12-20,BTCMXN,367800,370000,340000,351105.29,479.83,170527631.41
2017-12-19,BTCMXN,376900,376950,352000.31,367800,415.75,151972882.44
2017-12-18,BTCMXN,378500,385501,362505,376900,378.32,141402267.49
2017-12-17,BTCMXN,383020.02,394999,371238.1,378500,200.37,76827720.72
2017-12-16,BTCMXN,360000,399000,355000,383020.02,426.09,161519532.16
2017-12-15,BTCMXN,327000,360000,321660.32,360000,613.26,213652238.62
2017-12-14,BTCMXN,316101,330000,313342.2,327000,253.17,81848372.05
2017-12-13,BTCMXN,321060,327000.56,306162,316101,286.19,91516382.44
2017-12-12,BTCMXN,327891,330500,315000,321060,318.03,103118346.46
2017-12-11,BTCMXN,292686.89,335000,292686.85,327891,418.76,134252038.42
2017-12-10,BTCMXN,294999,320000,257500,292686.89,501.43,147582162.75
2017-12-09,BTCMXN,328350,330000.02,273667,294999,378.96,116612431.37
2017-12-08,BTCMXN,332500,343400,294000,328350,610.16,194073760.91
2017-12-07,BTCMXN,279998,358650,270000,332500,514.95,156961760.94
2017-12-06,BTCMXN,226300,285000,226300,279998,621.99,159010877.94
2017-12-05,BTCMXN,218986.9,229999,216500,226300,416.03,92604955.28
2017-12-04,BTCMXN,212263.03,219495,211001,218986.9,380.81,82059141.82
2017-12-03,BTCMXN,204666.69,219998,203922,212263.03,337.31,71834420.5
2017-12-02,BTCMXN,200343.44,208000,199500,204666.69,213.37,43666337.53
2017-12-01,BTCMXN,194673.68,203034.25,184600,200343.44,515.16,100577836.78
2017-11-30,BTCMXN,193412.1,203999.99,185000,194673.68,603.86,117100984.39
2017-11-29,BTCMXN,185600,210499.99,180000,193412.1,896.3,175374702.77
2017-11-28,BTCMXN,185899.99,187770.98,180090.01,185600,410.82,75910751.61
2017-11-27,BTCMXN,171498.48,185899.99,170500.01,185899.99,471.62,84099756.27
2017-11-26,BTCMXN,164901.01,176866.57,164000.01,171498.48,300.31,51154109.35
2017-11-25,BTCMXN,154793.93,164978.99,153250,164901.01,233.61,37079480.61
2017-11-24,BTCMXN,150900,154999,150000,154793.93,252.58,38661712.53
2017-11-23,BTCMXN,149700,154988.64,149700,150900,138.64,21242625.46
2017-11-22,BTCMXN,149700,149700,149700,149700,0.0,0.0
2017-11-21,BTCMXN,149700,149700,149700,149700,0.0,0.0
2017-11-20,BTCMXN,149700,149700,149700,149700,0.0,0.0
2017-11-19,BTCMXN,149700,149700,149700,149700,0.0,0.0
2017-11-18,BTCMXN,149700,149700,149700,149700,0.0,0.0
2017-11-17,BTCMXN,149700,149700,149700,149700,0.0,0.0
2017-11-16,BTCMXN,141235,149700,139000,149700,0.9971,139670.59
2017-11-15,BTCMXN,129389.92,142299.99,128501,141235,300.43,40945403.55
2017-11-14,BTCMXN,129197,133199.99,125501.01,129389.92,303.97,39199908.54
2017-11-13,BTCMXN,122599,134200,115200,129197,642.83,81159472.31
2017-11-12,BTCMXN,127800,130100,108000.77,122599,834.2,100889800.24
2017-11-11,BTCMXN,133300,141000,126000,127800,388.13,50653362.53
2017-11-10,BTCMXN,140641.47,144000,126000,133300,608.35,81704560.12
2017-11-09,BTCMXN,144810.07,145464.73,139000,140641.47,347.16,48858491.69
2017-11-08,BTCMXN,137500,149998,136700,144810.07,629.58,90172567.09
2017-11-07,BTCMXN,136690,142000,135005,137500,358.4,49591001.68
2017-11-06,BTCMXN,143539.99,144999.99,133507,136690,516.94,71914560.37
2017-11-05,BTCMXN,143510,146510,141513.25,143539.99,142.86,20608592.66
2017-11-04,BTCMXN,143492.87,145500,136000,143510,255.38,36026991.68
2017-11-03,BTCMXN,134000.24,147999.99,132000,143492.87,583.47,82663874.53
2017-11-02,BTCMXN,131998.99,139990,129500.03,134000.24,459.99,61531562.28
2017-11-01,BTCMXN,124989.93,131998.99,123500,131998.99,370.36,47341656.59
2017-10-31,BTCMXN,116790,125049.43,116300.06,124989.93,362.42,43698970.55
2017-10-30,BTCMXN,115200,117500,113000,116790,250.07,29002990.28
2017-10-29,BTCMXN,110702.64,118000.89,109500.05,115200,207.77,23704995.71
2017-10-28,BTCMXN,111989.93,113704.99,109250,110702.64,139.98,15517076.64
2017-10-27,BTCMXN,114392.4,115499,109017,111989.93,252.71,28237166.07
2017-10-26,BTCMXN,109501.04,114900,108700.01,114392.4,296.93,33593291.01
2017-10-25,BTCMXN,108999.99,110200,104201,109501.04,358.59,38147418.67
2017-10-24,BTCMXN,114289.91,114289.91,107100.01,108999.99,463.62,50884821.47
2017-10-23,BTCMXN,114561.06,117652.14,108000,114289.91,392.75,44005219.81
2017-10-22,BTCMXN,115963.52,117422,110185.14,114561.06,164.28,18628515.59
2017-10-21,BTCMXN,114065.07,120000,112000,115963.52,300.39,34990695.7
2017-10-20,BTCMXN,106200,115155.98,106001,114065.07,409.87,45664906.56
2017-10-19,BTCMXN,104699.99,107000,103290,106200,303.11,32020102.14
2017-10-18,BTCMXN,105502.96,106201.05,95000,104699.99,487.34,49029994.63
2017-10-17,BTCMXN,105100,106480,103600,105502.96,220.66,23195389.18
2017-10-16,BTCMXN,103349.98,105800,101200,105100,257.56,26859855.79
2017-10-15,BTCMXN,103510.07,104600,100100,103349.98,180.58,18414551.74
2017-10-14,BTCMXN,102480.84,104000,101122.99,103510.07,129.15,13266536.04
2017-10-13,BTCMXN,100993.91,109000,97350.01,102480.84,673.91,68990555.7
2017-10-12,BTCMXN,89510.07,100995,89510.07,100993.91,673.32,65059629.76
2017-10-11,BTCMXN,88000,90398,87400,89510.07,251.23,22411452.61
2017-10-10,BTCMXN,87010.05,90498,86800,88000,514.14,45543946.69
2017-10-09,BTCMXN,82006.07,89000,81755,87010.05,393.79,33623249.23
2017-10-08,BTCMXN,81469.99,82797.83,80500.23,82006.07,120.23,9860344.94
2017-10-07,BTCMXN,80688.75,81500,79850,81469.99,93.23,7510037.55
