Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume NEO,Volume LTC
2018-12-05,NEOLTC,0.2475,0.2475,0.236,0.24,51.67,12.35
2018-12-04,NEOLTC,0.2398,0.2489,0.2398,0.2475,7.55,1.86
2018-12-03,NEOLTC,0.2413,0.2466,0.2378,0.2398,26.55,6.52
2018-12-02,NEOLTC,0.2409,0.2606,0.2386,0.2413,61.28,15.1
2018-12-01,NEOLTC,0.2408,0.2926,0.2408,0.2409,142.83,35.47
2018-11-30,NEOLTC,0.2521,0.2529,0.2408,0.2408,7.26,1.81
2018-11-29,NEOLTC,0.2428,0.2529,0.2404,0.2521,6.63,1.66
2018-11-28,NEOLTC,0.2363,0.2516,0.2358,0.2428,29.49,7.17
2018-11-27,NEOLTC,0.2511,0.2511,0.2308,0.2363,21.54,5.16
2018-11-26,NEOLTC,0.274,0.2866,0.2404,0.2511,143.61,36.4
2018-11-25,NEOLTC,0.292,0.2957,0.272,0.274,34.98,10.14
2018-11-24,NEOLTC,0.292,0.292,0.292,0.292,0.0,0.0
2018-11-23,NEOLTC,0.2993,0.3054,0.292,0.292,19.75,5.92
2018-11-22,NEOLTC,0.27,0.2993,0.27,0.2993,4.12,1.19
2018-11-21,NEOLTC,0.3045,0.3045,0.27,0.27,33.72,9.74
2018-11-20,NEOLTC,0.285,0.32,0.2771,0.3045,69.11,20.61
2018-11-19,NEOLTC,0.3003,0.308,0.285,0.285,35.91,10.43
2018-11-18,NEOLTC,0.3011,0.305,0.2961,0.3003,30.17,9.04
2018-11-17,NEOLTC,0.3026,0.3037,0.3,0.3011,1.76,0.531
2018-11-16,NEOLTC,0.2946,0.3026,0.2946,0.3026,48.69,14.49
2018-11-15,NEOLTC,0.2981,0.3095,0.2946,0.2946,12.96,3.92
2018-11-14,NEOLTC,0.317,0.317,0.2981,0.2981,18.92,5.84
2018-11-13,NEOLTC,0.3141,0.32,0.3097,0.317,36.32,11.41
2018-11-12,NEOLTC,0.313,0.316,0.313,0.3141,5.07,1.6
2018-11-11,NEOLTC,0.3073,0.313,0.3073,0.313,0.8273,0.258
2018-11-10,NEOLTC,0.3053,0.31,0.3053,0.3073,3.47,1.07
2018-11-09,NEOLTC,0.3119,0.313,0.3053,0.3053,5.94,1.83
2018-11-08,NEOLTC,0.313,0.313,0.3119,0.3119,0.09079,0.02832
2018-11-07,NEOLTC,0.3078,0.313,0.3036,0.313,10.88,3.31
2018-11-06,NEOLTC,0.3069,0.31,0.3069,0.3078,2.11,0.652
2018-11-05,NEOLTC,0.312,0.312,0.3022,0.3069,7.29,2.23
2018-11-04,NEOLTC,0.315,0.3164,0.3,0.312,43.15,13.3
2018-11-03,NEOLTC,0.3122,0.3175,0.3101,0.315,17.45,5.45
2018-11-02,NEOLTC,0.3086,0.3175,0.3086,0.3122,11.3,3.57
2018-11-01,NEOLTC,0.314,0.314,0.307,0.3086,5.08,1.57
2018-10-31,NEOLTC,0.3164,0.3164,0.3066,0.314,43.74,13.65
2018-10-30,NEOLTC,0.3122,0.32,0.3122,0.3164,46.44,14.73
2018-10-29,NEOLTC,0.325,0.325,0.3122,0.3122,7.1,2.22
2018-10-28,NEOLTC,0.3119,0.325,0.3093,0.325,10.34,3.24
2018-10-27,NEOLTC,0.3086,0.3141,0.3086,0.3119,23.24,7.28
2018-10-26,NEOLTC,0.318,0.318,0.3086,0.3086,19.86,6.19
2018-10-25,NEOLTC,0.3223,0.3223,0.3127,0.318,12.99,4.13
2018-10-24,NEOLTC,0.3119,0.3227,0.3119,0.3223,5.66,1.81
2018-10-23,NEOLTC,0.32,0.3211,0.3119,0.3119,17.86,5.67
2018-10-22,NEOLTC,0.3123,0.3218,0.3117,0.32,27.33,8.71
2018-10-21,NEOLTC,0.3129,0.3162,0.3098,0.3123,20.19,6.34
2018-10-20,NEOLTC,0.311,0.3164,0.311,0.3129,16.24,5.09
2018-10-19,NEOLTC,0.3165,0.3175,0.3044,0.311,129.82,39.83
2018-10-18,NEOLTC,0.3101,0.3287,0.308,0.3165,17.1,5.53
2018-10-17,NEOLTC,0.3048,0.3146,0.3048,0.3101,8.24,2.58
2018-10-16,NEOLTC,0.2986,0.3143,0.2932,0.3048,16.48,4.96
2018-10-15,NEOLTC,0.3054,0.3054,0.291,0.2986,11.03,3.26
2018-10-14,NEOLTC,0.3049,0.3054,0.2953,0.3054,2.26,0.6806
2018-10-13,NEOLTC,0.2941,0.3049,0.2921,0.3049,7.05,2.1
2018-10-12,NEOLTC,0.304,0.313,0.2941,0.2941,21.73,6.67
2018-10-11,NEOLTC,0.316,0.32,0.304,0.304,23.5,7.38
2018-10-10,NEOLTC,0.3084,0.316,0.3084,0.316,11.77,3.66
2018-10-09,NEOLTC,0.3132,0.32,0.3083,0.3084,13.28,4.18
2018-10-08,NEOLTC,0.3133,0.32,0.3131,0.3132,12.3,3.88
2018-10-07,NEOLTC,0.3162,0.3162,0.3091,0.3133,2.96,0.9209
2018-10-06,NEOLTC,0.3088,0.3164,0.3088,0.3162,3.65,1.14
2018-10-05,NEOLTC,0.3123,0.3167,0.3088,0.3088,60.2,19.02
2018-10-04,NEOLTC,0.3142,0.3159,0.3052,0.3123,6.65,2.07
2018-10-03,NEOLTC,0.3117,0.3211,0.3087,0.3142,13.45,4.24
2018-10-02,NEOLTC,0.307,0.3117,0.3038,0.3117,102.27,31.26
2018-10-01,NEOLTC,0.3158,0.3158,0.307,0.307,18.76,5.76
2018-09-30,NEOLTC,0.3062,0.3206,0.3062,0.3158,20.94,6.68
2018-09-29,NEOLTC,0.315,0.3208,0.3062,0.3062,1.07,0.3342
2018-09-28,NEOLTC,0.3014,0.322,0.3014,0.315,6.5,2.02
2018-09-27,NEOLTC,0.3088,0.3128,0.2921,0.3014,106.2,32.03
2018-09-26,NEOLTC,0.309,0.3167,0.3084,0.3088,23.63,7.38
2018-09-25,NEOLTC,0.3178,0.3183,0.309,0.309,5.02,1.59
2018-09-24,NEOLTC,0.3272,0.3273,0.3168,0.3178,62.83,20.32
2018-09-23,NEOLTC,0.3161,0.3272,0.3097,0.3272,5.86,1.86
2018-09-22,NEOLTC,0.3279,0.3279,0.3115,0.3161,8.95,2.82
2018-09-21,NEOLTC,0.3254,0.331,0.3123,0.3279,23.67,7.61
2018-09-20,NEOLTC,0.3213,0.3271,0.319,0.3254,1.15,0.3692
2018-09-19,NEOLTC,0.3215,0.3293,0.3123,0.3213,9.99,3.21
2018-09-18,NEOLTC,0.3171,0.3311,0.3123,0.3215,14.3,4.55
2018-09-17,NEOLTC,0.3163,0.3315,0.3108,0.3171,51.49,16.63
2018-09-16,NEOLTC,0.333,0.333,0.3163,0.3163,9.37,2.98
