Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MUSD
2018-11-21,QTUMUSD,2.25,2.25,2.25,2.25,0.0,0.0
2018-11-20,QTUMUSD,2.5,2.5,1.75,2.25,143.2,313.48
2018-11-19,QTUMUSD,3,3,2.5,2.5,14.05,36.77
2018-11-18,QTUMUSD,3,3,3,3,0.0,0.0
2018-11-17,QTUMUSD,3,3,3,3,0.0,0.0
2018-11-16,QTUMUSD,3,3,2.75,3,13.63,39.63
2018-11-15,QTUMUSD,3.13,3.25,3,3,91.96,277.75
2018-11-14,QTUMUSD,3.75,3.75,3.13,3.13,3.49,10.92
2018-11-13,QTUMUSD,3.75,3.75,3.63,3.75,7.83,28.77
2018-11-12,QTUMUSD,3.75,3.75,3.75,3.75,0.0,0.0
2018-11-11,QTUMUSD,3.75,3.75,3.75,3.75,0.0,0.0
2018-11-10,QTUMUSD,3.75,3.75,3.75,3.75,0.0,0.0
2018-11-09,QTUMUSD,4.25,4.25,3.75,3.75,0.008608,0.03228
2018-11-08,QTUMUSD,4.25,4.25,4.25,4.25,0.0,0.0
2018-11-07,QTUMUSD,4,4.25,4,4.25,2.92,12.41
2018-11-06,QTUMUSD,4,4,4,4,0.0,0.0
2018-11-05,QTUMUSD,4,4,4,4,0.0,0.0
2018-11-04,QTUMUSD,3.88,4,3.88,4,2.87,11.5
2018-11-03,QTUMUSD,3.88,3.88,3.88,3.88,0.0,0.0
2018-11-02,QTUMUSD,3.88,3.88,3.88,3.88,0.0,0.0
2018-11-01,QTUMUSD,3.88,3.88,3.88,3.88,0.0,0.0
2018-10-31,QTUMUSD,4,4,3.88,3.88,2.84,11.0
2018-10-30,QTUMUSD,4,4,4,4,0.0,0.0
2018-10-29,QTUMUSD,4,4,4,4,0.0,0.0
2018-10-28,QTUMUSD,4,4,4,4,0.0,0.0
2018-10-27,QTUMUSD,4,4,4,4,0.0,0.0
2018-10-26,QTUMUSD,4,4,4,4,0.0,0.0
2018-10-25,QTUMUSD,4,4,4,4,0.0,0.0
2018-10-24,QTUMUSD,4,4,4,4,0.0,0.0
2018-10-23,QTUMUSD,4,4,4,4,0.0,0.0
