Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume JPY
2018-11-21,ETHJPY,14570,15820,14000,15315,6037.04,89710107.3
2018-11-20,ETHJPY,16615,16800,13845,14570,11481.2,176782319.46
2018-11-19,ETHJPY,19895,19945,16180,16615,6532.72,116926104.36
2018-11-18,ETHJPY,19675,20100,19510,19895,3038.62,59896111.97
2018-11-17,ETHJPY,19645,19845,19200,19675,2481.91,48353164.92
2018-11-16,ETHJPY,20350,20500,19250,19645,3171.03,63209042.04
2018-11-15,ETHJPY,20695,20950,19005,20350,9333.03,187815067.07
2018-11-14,ETHJPY,23120,23510,19105,20695,10670.71,225450513.36
2018-11-13,ETHJPY,23765,23770,23115,23120,4286.1,100499590.53
2018-11-12,ETHJPY,23995,24195,23605,23765,5158.12,122887852.88
2018-11-11,ETHJPY,24010,24090,23500,23995,700.21,16698736.77
2018-11-10,ETHJPY,23725,24195,23650,24010,785.13,18826078.92
2018-11-09,ETHJPY,23960,24250,23505,23725,1345.26,32149232.09
2018-11-08,ETHJPY,24765,24900,23960,23960,1916.55,46619896.41
2018-11-07,ETHJPY,24780,25195,24390,24765,4091.07,101565447.07
2018-11-06,ETHJPY,23600,24840,23480,24780,2537.06,61085228.78
2018-11-05,ETHJPY,23750,23895,23320,23600,1623.74,38341861.54
2018-11-04,ETHJPY,22565,24430,22435,23750,3147.13,71896119.16
2018-11-03,ETHJPY,22700,22745,22435,22565,825.1,18608762.27
2018-11-02,ETHJPY,22295,22745,22210,22700,1586.83,35711862.03
2018-11-01,ETHJPY,22305,22370,22100,22295,811.17,18024916.47
2018-10-31,ETHJPY,22255,22370,21865,22305,1513.22,33528580.95
2018-10-30,ETHJPY,21835,22295,21720,22255,1701.48,37519348.69
2018-10-29,ETHJPY,22710,22730,21565,21835,2011.04,44806086.64
2018-10-28,ETHJPY,22445,22735,22390,22710,1180.54,26560057.62
2018-10-27,ETHJPY,22455,22600,22240,22445,1362.72,30516175.36
2018-10-26,ETHJPY,22545,22850,22300,22455,2081.86,46865194.61
2018-10-25,ETHJPY,22545,22845,22305,22545,1515.07,34087122.3
2018-10-24,ETHJPY,22635,22905,22500,22545,1949.75,44276689.23
2018-10-23,ETHJPY,22700,23095,22320,22635,2376.85,53870698.01
2018-10-22,ETHJPY,22655,22895,22600,22700,1021.74,23209861.74
2018-10-21,ETHJPY,22810,23235,22600,22655,1418.6,32402600.73
2018-10-20,ETHJPY,22610,22970,22500,22810,748.64,17030547.85
2018-10-19,ETHJPY,22450,22990,22300,22610,1534.64,34595964.93
2018-10-18,ETHJPY,23050,23290,22190,22450,2177.12,49593652.74
2018-10-17,ETHJPY,23240,23475,22725,23050,1880.88,43483074.41
2018-10-16,ETHJPY,22870,23495,22660,23240,1200.82,27567003.63
2018-10-15,ETHJPY,22010,24010,21405,22870,4131.15,93849340.78
2018-10-14,ETHJPY,22255,22385,21570,22010,1038.54,22971470.61
2018-10-13,ETHJPY,21810,22400,21780,22255,1020.06,22585059.5
2018-10-12,ETHJPY,21200,22400,20990,21810,3733.02,81234761.19
2018-10-11,ETHJPY,25055,25260,21130,21200,5630.31,128311698.14
2018-10-10,ETHJPY,25600,25845,25050,25055,2965.26,75254422.62
2018-10-09,ETHJPY,25920,25980,25520,25600,1304.25,33611171.08
2018-10-08,ETHJPY,25505,26000,25255,25920,1119.36,28712519.32
2018-10-07,ETHJPY,25515,25795,24990,25505,1336.94,33807554.22
2018-10-06,ETHJPY,25805,26000,25330,25515,1798.16,46249259.9
2018-10-05,ETHJPY,25320,26275,24950,25805,2138.12,54243532.71
2018-10-04,ETHJPY,25205,25800,24950,25320,2013.13,51278643.86
2018-10-03,ETHJPY,25620,25780,24510,25205,2871.71,71903831.42
2018-10-02,ETHJPY,26205,26400,25555,25620,1940.16,50314052.28
2018-10-01,ETHJPY,26410,26800,25500,26205,2317.17,60674702.67
2018-09-30,ETHJPY,26385,27150,25920,26410,1794.56,47549969.44
2018-09-29,ETHJPY,25585,26800,24575,26385,2588.45,66456774.35
2018-09-28,ETHJPY,25690,26400,24555,25585,2862.42,73477380.92
2018-09-27,ETHJPY,24215,26050,23850,25690,3116.85,77415003.83
2018-09-26,ETHJPY,24820,25220,23610,24215,2375.18,57773916.05
2018-09-25,ETHJPY,26010,26910,23500,24820,2785.52,68560222.39
2018-09-24,ETHJPY,27375,27745,25600,26010,2018.04,53633907.99
2018-09-23,ETHJPY,27445,28200,26760,27375,1668.98,45700185.54
2018-09-22,ETHJPY,28395,28805,26000,27445,3268.03,89554305.56
2018-09-21,ETHJPY,25000,28785,24200,28395,5531.3,143813001.01
2018-09-20,ETHJPY,23240,25200,23030,25000,4994.24,117936683.33
2018-09-19,ETHJPY,23520,24200,22500,23240,5349.14,124728475.22
2018-09-18,ETHJPY,22000,24010,21700,23520,3170.14,72373358.49
2018-09-17,ETHJPY,24755,25190,21600,22000,4320.96,101770480.06
2018-09-16,ETHJPY,24965,25000,23470,24755,1915.82,46571316.92
2018-09-15,ETHJPY,23525,25395,23350,24965,2881.95,70689684.52
2018-09-14,ETHJPY,23695,25185,22610,23525,6401.75,152641372.13
2018-09-13,ETHJPY,20395,24125,20395,23695,4115.35,91095768.21
2018-09-12,ETHJPY,20635,20685,18600,20395,4467.28,87054877.55
2018-09-11,ETHJPY,21790,22175,20005,20635,4458.07,93793321.5
2018-09-10,ETHJPY,21610,22555,21000,21790,3682.85,80639921.91
2018-09-09,ETHJPY,21995,23240,20800,21610,5262.11,113533551.32
2018-09-08,ETHJPY,24000,24415,21220,21995,3757.27,86638251.85
2018-09-07,ETHJPY,25390,25990,23855,24000,3691.07,91718831.0
2018-09-06,ETHJPY,25505,26995,24560,25390,6071.12,153885692.61
2018-09-05,ETHJPY,31820,32195,25500,25505,4908.04,142231224.36
2018-09-04,ETHJPY,32025,32385,31500,31820,2213.15,70624168.54
2018-09-03,ETHJPY,32870,32875,31710,32025,1395.98,45132464.22
2018-09-02,ETHJPY,32800,33210,32180,32870,1626.35,53233476.49
2018-09-01,ETHJPY,31335,33450,31250,32800,1483.9,48033983.72
2018-08-31,ETHJPY,31675,31675,30200,31335,1793.51,55642237.59
2018-08-30,ETHJPY,32220,32645,30475,31675,1869.97,59029298.97
2018-08-29,ETHJPY,32805,33140,31805,32220,4564.66,149441695.69
2018-08-28,ETHJPY,31700,33005,31495,32805,2436.87,77899072.82
2018-08-27,ETHJPY,30485,31700,30175,31700,2435.52,75142437.46
2018-08-26,ETHJPY,30980,30990,30050,30485,983.8,29975187.86
2018-08-25,ETHJPY,31250,31500,30605,30980,1047.25,32521148.03
2018-08-24,ETHJPY,30750,31500,30210,31250,3035.18,93455897.1
2018-08-23,ETHJPY,29865,31005,29800,30750,1738.14,52601460.88
2018-08-22,ETHJPY,30975,33000,29000,29865,5284.18,164336028.15
2018-08-21,ETHJPY,30000,31505,29920,30975,2458.88,75492574.2
2018-08-20,ETHJPY,33185,33600,30000,30000,2689.71,86290030.87
2018-08-19,ETHJPY,32500,33880,32105,33185,2255.57,74529668.49
2018-08-18,ETHJPY,35005,35675,31405,32500,2519.84,84566695.72
2018-08-17,ETHJPY,32140,35185,32005,35005,3221.37,107373986.08
2018-08-16,ETHJPY,30855,33100,30615,32140,4557.54,145678658.71
2018-08-15,ETHJPY,30935,33660,30605,30855,3235.29,102950887.21
2018-08-14,ETHJPY,31570,31700,27995,30935,6036.3,177886298.12
2018-08-13,ETHJPY,35745,35745,31240,31570,3147.81,106070213.76
2018-08-12,ETHJPY,34200,34200,34200,34200,0.0,0.0
2018-08-11,ETHJPY,36900,37195,34200,34200,1633.68,58214233.18
2018-08-10,ETHJPY,40650,40800,36205,36900,2545.93,98417872.84
2018-08-09,ETHJPY,39500,41005,39055,40650,2632.71,105874315.11
2018-08-08,ETHJPY,42340,42535,38995,39500,3091.67,126123548.56
2018-08-07,ETHJPY,45230,46005,41335,42340,1996.48,88919600.16
2018-08-06,ETHJPY,45700,46180,44550,45230,1264.24,57632939.54
2018-08-05,ETHJPY,45330,45915,44520,45700,952.04,43067858.8
2018-08-04,ETHJPY,46640,46705,44400,45330,1011.23,46078678.15
2018-08-03,ETHJPY,45925,46820,44220,46640,3204.17,146242390.93
2018-08-02,ETHJPY,46820,47650,45600,45925,1997.87,92916135.97
2018-08-01,ETHJPY,48155,48660,45800,46820,1530.45,72014183.07
2018-07-31,ETHJPY,50505,50820,47950,48155,2314.37,114382000.26
2018-07-30,ETHJPY,51500,51945,49640,50505,1448.77,73683971.1
2018-07-29,ETHJPY,51700,52195,51400,51500,450.36,23302709.35
2018-07-28,ETHJPY,51925,52400,51325,51700,734.4,38123510.94
2018-07-27,ETHJPY,51635,52500,50600,51925,2358.79,121189274.43
2018-07-26,ETHJPY,52300,53450,51000,51635,1253.79,65786948.2
2018-07-25,ETHJPY,53355,54000,51490,52300,2188.41,115970320.32
2018-07-24,ETHJPY,50200,53465,50080,53355,2894.19,149764703.52
2018-07-23,ETHJPY,51090,52625,50000,50200,2645.79,136146353.45
2018-07-22,ETHJPY,51450,52315,50920,51090,1413.83,72994871.58
2018-07-21,ETHJPY,50445,52000,49500,51450,1482.42,75733840.41
2018-07-20,ETHJPY,52385,52600,49445,50445,3024.43,155242900.53
2018-07-19,ETHJPY,53620,54075,52000,52385,2491.31,132183151.49
2018-07-18,ETHJPY,56245,58000,52500,53620,3422.4,190968509.19
2018-07-17,ETHJPY,53965,57500,52500,56245,2981.32,162818828.04
2018-07-16,ETHJPY,50570,53990,50020,53965,2288.71,120285564.45
2018-07-15,ETHJPY,48790,51000,48500,50570,1605.5,80157472.03
2018-07-14,ETHJPY,48600,49365,48215,48790,1082.86,52709792.32
2018-07-13,ETHJPY,48500,49650,48100,48600,1514.74,74320954.43
2018-07-12,ETHJPY,50010,50010,47300,48500,1191.65,58085603.26
2018-07-11,ETHJPY,48150,50095,47535,50010,2089.06,102223085.6
2018-07-10,ETHJPY,52465,52550,48075,48150,3176.25,160323318.29
2018-07-09,ETHJPY,53650,54110,52305,52465,1152.35,61367962.31
2018-07-08,ETHJPY,53270,54325,52905,53650,1573.14,84400291.1
2018-07-07,ETHJPY,52035,53450,51090,53270,747.69,38903128.93
2018-07-06,ETHJPY,51990,52180,50035,52035,1235.77,63520458.91
2018-07-05,ETHJPY,51745,52865,50925,51990,1268.69,65975029.71
2018-07-04,ETHJPY,51105,52740,49505,51745,1939.0,99165911.62
2018-07-03,ETHJPY,53050,54180,50900,51105,2224.77,116644481.31
2018-07-02,ETHJPY,50260,53300,49625,53050,2270.17,116297417.62
2018-07-01,ETHJPY,50450,50865,49205,50260,1134.71,56808936.64
2018-06-30,ETHJPY,47670,50545,47670,50450,2492.75,123808816.77
2018-06-29,ETHJPY,46990,49005,45020,47670,3252.96,151002963.09
2018-06-28,ETHJPY,49000,49295,46770,46990,1858.31,89311657.42
