Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XRP,Volume KRW
2018-12-28,XRPKRW,510,510,510,510,0.0,0.0
2018-12-27,XRPKRW,510,510,510,510,0.0,0.0
2018-12-26,XRPKRW,510,510,510,510,0.0,0.0
2018-12-25,XRPKRW,510,510,510,510,0.0,0.0
2018-12-24,XRPKRW,510,510,510,510,0.0,0.0
2018-12-23,XRPKRW,510,510,510,510,0.0,0.0
2018-12-22,XRPKRW,510,510,510,510,0.0,0.0
2018-12-21,XRPKRW,510,510,510,510,0.0,0.0
2018-12-20,XRPKRW,510,510,510,510,0.0,0.0
2018-12-19,XRPKRW,510,510,510,510,0.0,0.0
2018-12-18,XRPKRW,510,510,510,510,0.0,0.0
2018-12-17,XRPKRW,510,510,510,510,0.0,0.0
2018-12-16,XRPKRW,510,510,510,510,0.0,0.0
2018-12-15,XRPKRW,510,510,510,510,0.0,0.0
2018-12-14,XRPKRW,510,510,510,510,0.0,0.0
2018-12-13,XRPKRW,510,510,510,510,0.0,0.0
2018-12-12,XRPKRW,510,510,510,510,0.0,0.0
2018-12-11,XRPKRW,510,510,439,439,0.0,0.0
2018-12-10,XRPKRW,510,510,510,510,0.0,0.0
2018-12-09,XRPKRW,510,510,510,510,0.0,0.0
2018-12-08,XRPKRW,510,510,510,510,0.0,0.0
2018-12-07,XRPKRW,510,510,510,510,0.0,0.0
2018-12-06,XRPKRW,510,510,510,510,0.0,0.0
2018-12-05,XRPKRW,510,510,510,510,0.0,0.0
2018-12-04,XRPKRW,510,510,510,510,0.0,0.0
2018-12-03,XRPKRW,510,510,510,510,0.0,0.0
2018-12-02,XRPKRW,510,510,510,510,0.0,0.0
2018-12-01,XRPKRW,510,510,510,510,0.0,0.0
2018-11-30,XRPKRW,510,510,510,510,0.0,0.0
2018-11-29,XRPKRW,510,510,510,510,0.0,0.0
2018-11-28,XRPKRW,510,510,510,510,0.0,0.0
2018-11-27,XRPKRW,510,510,510,510,0.0,0.0
2018-11-26,XRPKRW,510,510,510,510,0.0,0.0
2018-11-25,XRPKRW,510,510,510,510,0.0,0.0
2018-11-24,XRPKRW,510,510,500,500,0.0,0.0
2018-11-23,XRPKRW,510,510,510,510,0.0,0.0
2018-11-22,XRPKRW,510,510,510,510,0.0,0.0
2018-11-21,XRPKRW,510,510,510,510,0.0,0.0
2018-11-20,XRPKRW,551,576,476,510,136461310.4,72590552520.75
2018-11-19,XRPKRW,586,586,536,551,124046022.32,69267949182.27
2018-11-18,XRPKRW,564,601,563,586,66724695.28,39049455147.57
2018-11-17,XRPKRW,545,572,536,564,41395388.13,22846556994.54
2018-11-16,XRPKRW,555,567,531,545,45992254.61,25129998421.52
2018-11-15,XRPKRW,554,564,502,555,115633565.11,61765012589.4
2018-11-14,XRPKRW,583,585,511,554,95839850.01,52135804224.45
2018-11-13,XRPKRW,589,600,577,583,43327338.81,25528955018.72
2018-11-12,XRPKRW,573,601,569,589,41978275.02,24546495724.27
2018-11-11,XRPKRW,574,577,563,573,19830799.3,11326308877.91
2018-11-10,XRPKRW,569,582,567,574,52120410.3,30011889035.97
2018-11-09,XRPKRW,558,586,558,569,77330530.41,44099316351.25
2018-11-08,XRPKRW,599,605,554,558,109230852.52,62600998039.7
2018-11-07,XRPKRW,615,617,587,599,87397205.41,52252728968.5
2018-11-06,XRPKRW,558,632,557,615,198457902.34,117720859857.9
2018-11-05,XRPKRW,524,562,517,558,137405297.98,73411154071.62
2018-11-04,XRPKRW,511,533,503,524,47227107.96,24370072469.88
2018-11-03,XRPKRW,516,518,509,511,76211206.44,38944440756.88
2018-11-02,XRPKRW,515,524,515,516,58339798.66,30207765455.25
2018-11-01,XRPKRW,510,517,506,515,60109615.75,30747973876.18
2018-10-31,XRPKRW,505,517,496,510,70472600.22,35734000810.23
2018-10-30,XRPKRW,498,508,497,505,51347236.84,25818791096.33
2018-10-29,XRPKRW,518,519,490,498,93299134.71,47009063574.16
2018-10-28,XRPKRW,515,519,513,518,15303578.72,7887010427.31
2018-10-27,XRPKRW,518,519,513,515,48909289.99,25203378536.87
2018-10-26,XRPKRW,516,521,512,518,52758291.44,27288042443.17
2018-10-25,XRPKRW,515,522,507,516,68120511.16,35128283224.59
2018-10-24,XRPKRW,521,527,512,515,70507551.37,36686914043.93
2018-10-23,XRPKRW,513,536,495,521,99165897.71,50249816395.45
2018-10-22,XRPKRW,516,518,506,513,95829394.75,48982535192.81
2018-10-21,XRPKRW,519,524,515,516,98155617.11,50883477009.5
2018-10-20,XRPKRW,516,523,510,519,67130639.19,34785723755.05
2018-10-19,XRPKRW,520,524,508,516,81560557.89,41911907313.85
2018-10-18,XRPKRW,526,536,508,520,79895753.92,41692122001.48
2018-10-17,XRPKRW,528,540,515,526,115914034.4,60935153595.13
2018-10-16,XRPKRW,506,506,505,505,0.0,0.0
2018-10-15,XRPKRW,465,536,452,506,187473117.96,93858867856.26
2018-10-14,XRPKRW,480,491,459,465,64514466.07,30974360679.7
2018-10-13,XRPKRW,481,492,473,480,66489175.31,32073278395.97
2018-10-12,XRPKRW,441,515,437,481,182234094.62,87655012851.35
2018-10-11,XRPKRW,526,527,436,441,180669006.29,85944242766.51
2018-10-10,XRPKRW,545,546,522,526,105702080.91,56152329839.33
2018-10-09,XRPKRW,556,557,535,545,123748374.62,67317611368.22
2018-10-08,XRPKRW,548,566,544,556,86620491.03,48225925488.17
2018-10-07,XRPKRW,557,560,532,548,51643779.41,27977288969.23
2018-10-06,XRPKRW,591,592,535,557,60868403.15,34148772773.01
2018-10-05,XRPKRW,599,605,579,591,58762201.48,34615578782.07
2018-10-04,XRPKRW,600,623,596,599,57973504.92,35296763883.44
