Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ZEC,Volume RUR
2019-02-26,ZECRUR,3510,3510,3416.51,3463.9,1.14,3937.28
2019-02-25,ZECRUR,3404.24,3510,3404.24,3510,0.08679,295.8
2019-02-24,ZECRUR,3550.26,3700,3404.24,3404.24,0.7109,2464.61
2019-02-23,ZECRUR,3447.4,3550.26,3447.4,3550.26,0.02561,90.26
2019-02-22,ZECRUR,3440.04,3495.62,3435.41,3447.4,1.07,3691.73
2019-02-21,ZECRUR,3478.02,3568,3411,3440.04,0.2427,841.44
2019-02-20,ZECRUR,3643.21,3643.21,3466,3478.02,1.57,5449.71
2019-02-19,ZECRUR,3500,3643.21,3340,3643.21,7.71,26968.65
2019-02-18,ZECRUR,3317.76,3619,3317.76,3500,38.21,134352.87
2019-02-17,ZECRUR,3442.15,3442.15,3300,3317.76,25.75,86660.48
2019-02-16,ZECRUR,3450,3450,3360,3442.15,4.2,14323.58
2019-02-15,ZECRUR,3382.46,3588,3350.4,3450,41.21,139938.83
2019-02-14,ZECRUR,3445,3638,3382.46,3382.46,43.55,149299.86
2019-02-13,ZECRUR,3465,3600,3351.78,3445,50.95,178584.38
2019-02-12,ZECRUR,3271.06,3469.42,3271.06,3465,50.66,170266.61
2019-02-11,ZECRUR,3249.06,3380.15,3161.94,3271.06,24.42,79609.08
2019-02-10,ZECRUR,3247,3299,3060.49,3249.06,14.17,45107.1
2019-02-09,ZECRUR,3202.57,3400,3176.83,3247,9.69,31367.18
2019-02-08,ZECRUR,3027.28,3400,2998.02,3202.57,30.64,95987.89
2019-02-07,ZECRUR,2953.56,3100,2945.91,3027.28,46.4,138952.67
2019-02-06,ZECRUR,3091.42,3193.84,2888.27,2953.56,17.42,51755.08
2019-02-05,ZECRUR,3186.37,3217.27,3089.53,3091.42,19.87,62426.28
2019-02-04,ZECRUR,3201.1,3279,3100,3186.37,21.03,66283.27
2019-02-03,ZECRUR,3289.83,3289.83,3189.07,3201.1,8.56,27681.24
2019-02-02,ZECRUR,3291.55,3296.38,3107.97,3289.83,30.88,100060.61
2019-02-01,ZECRUR,3221.82,3400,3191.01,3291.55,42.89,139697.93
2019-01-31,ZECRUR,3300,3328.65,3211.6,3221.82,36.56,118755.55
2019-01-30,ZECRUR,3260.84,3400.84,3252,3300,28.05,93392.88
2019-01-29,ZECRUR,3358.46,3457.97,3201,3260.84,19.98,66780.99
2019-01-28,ZECRUR,3450.42,3527,3350,3358.46,47.57,162483.82
2019-01-27,ZECRUR,3550,3597.01,3450.29,3450.42,14.48,50962.71
2019-01-26,ZECRUR,3573.27,3700,3490.1,3550,17.31,61543.09
2019-01-25,ZECRUR,3569.08,3683.1,3477.7,3573.27,28.81,102030.22
2019-01-24,ZECRUR,3549.16,3662.43,3457.16,3569.08,25.69,91925.01
2019-01-23,ZECRUR,3593.65,3600,3450.14,3549.16,18.66,65402.83
2019-01-22,ZECRUR,3536.46,3699.47,3300,3593.65,14.81,52052.23
2019-01-21,ZECRUR,3511.51,3650,3450,3536.46,26.51,93012.3
2019-01-20,ZECRUR,3651.82,3702,3500,3511.51,36.38,129262.45
2019-01-19,ZECRUR,3510,3702,3510,3651.82,5.73,20795.95
2019-01-18,ZECRUR,3602.29,3666,3510,3510,10.44,37481.68
2019-01-17,ZECRUR,3610,3692.4,3537.67,3602.29,17.09,61498.52
2019-01-16,ZECRUR,3727.83,3800,3577.27,3610,11.07,40776.67
2019-01-15,ZECRUR,3780.97,3869.36,3600,3727.83,31.17,114790.37
2019-01-14,ZECRUR,3684.96,3900,3660,3780.97,18.98,71395.8
2019-01-13,ZECRUR,3904.8,3926.27,3684.96,3684.96,24.99,94796.2
2019-01-12,ZECRUR,3935.35,4005.41,3804.86,3904.8,9.2,36113.33
2019-01-11,ZECRUR,3754.97,4243.6,3754.97,3935.35,41.72,168004.5
2019-01-10,ZECRUR,4063.58,4141,3590.89,3754.97,46.68,181153.96
2019-01-09,ZECRUR,4111.91,4200,4050,4063.58,31.01,126904.34
2019-01-08,ZECRUR,4170,4270,4002.31,4111.91,61.35,257275.25
2019-01-07,ZECRUR,4216.15,4300,4150,4170,23.74,99652.51
2019-01-06,ZECRUR,4168.62,4315.7,4000.02,4216.15,81.38,339172.78
2019-01-05,ZECRUR,4163.23,4200,4100,4168.62,51.93,216389.43
2019-01-04,ZECRUR,4108.79,4220,4030,4163.23,12.31,50855.02
2019-01-03,ZECRUR,4320,4400.93,4101,4108.79,16.5,69521.22
2019-01-02,ZECRUR,4213.98,4350.25,4109.11,4320,14.96,63677.25
2019-01-01,ZECRUR,4095.19,4213.98,3931.72,4213.98,11.88,48083.86
2018-12-31,ZECRUR,4201,4202.23,4057.09,4095.19,13.62,56501.61
2018-12-30,ZECRUR,4250.51,4280,4150.01,4201,17.61,73798.84
2018-12-29,ZECRUR,4300,4850.57,3800,4250.51,31.21,133854.28
2018-12-28,ZECRUR,4000,4400.15,3900.15,4300,13.71,57658.39
