Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume RUR
2019-03-05,LTCRUR,3091.14,3330,3083.66,3330,0.08675,285.99
2019-03-04,LTCRUR,3240.35,3240.35,3049.27,3091.14,0.3233,1027.53
2019-03-03,LTCRUR,3190.2,3245.05,3190.2,3240.35,2.18,7023.11
2019-03-02,LTCRUR,3219.26,3219.26,3149.17,3190.2,0.01835,57.93
2019-03-01,LTCRUR,3080.86,3219.26,3066.41,3219.26,0.4389,1364.35
2019-02-28,LTCRUR,3005.86,3080.86,3005.86,3080.86,0.05923,180.59
2019-02-27,LTCRUR,2980.02,3049,2980.02,3005.86,1.13,3400.79
2019-02-26,LTCRUR,3120,3120,2980.02,2980.02,0.3684,1114.4
2019-02-25,LTCRUR,3379.14,3379.14,2996.1,3120,0.2606,798.18
2019-02-24,LTCRUR,3299,3379.14,3299,3379.14,1.3,4389.17
2019-02-23,LTCRUR,3228.5,3299,3197.02,3299,2.81,9115.35
2019-02-22,LTCRUR,3163,3237.34,3163,3228.5,1.57,4969.72
2019-02-21,LTCRUR,3345.38,3345.38,3163,3163,0.07379,242.65
2019-02-20,LTCRUR,3145.81,3345.38,3089.8,3345.38,0.1572,501.07
2019-02-19,LTCRUR,3147.82,3172,3031,3145.81,157.08,483428.72
2019-02-18,LTCRUR,2898.32,3200,2880.12,3147.82,324.59,978816.21
2019-02-17,LTCRUR,2906.14,2954,2830,2898.32,182.94,529627.82
2019-02-16,LTCRUR,2834.71,2941.31,2824.5,2906.14,177.11,511999.37
2019-02-15,LTCRUR,2750,2945.05,2730,2834.71,261.47,741877.87
2019-02-14,LTCRUR,2742.67,2810,2671.37,2750,199.08,544365.21
2019-02-13,LTCRUR,2879.08,2890,2680,2742.67,205.97,570996.52
2019-02-12,LTCRUR,2813.13,2888.4,2767.86,2879.08,174.05,490044.21
2019-02-11,LTCRUR,2986.71,2995,2750,2813.13,230.98,659740.13
2019-02-10,LTCRUR,2900,3132.69,2756.98,2986.71,233.73,681242.09
2019-02-09,LTCRUR,2774.53,2934.22,2706,2900,408.75,1154687.5
2019-02-08,LTCRUR,2156.77,2900,2136.04,2774.53,534.02,1317863.16
2019-02-07,LTCRUR,2131.34,2224.6,2112,2156.77,187.36,405982.68
2019-02-06,LTCRUR,2213.69,2213.69,2100,2131.34,156.05,332911.61
2019-02-05,LTCRUR,2289.4,2290,2185.46,2213.69,151.45,337879.13
2019-02-04,LTCRUR,2214.3,2292.71,2214.21,2289.4,173.89,392027.81
2019-02-03,LTCRUR,2272.55,2314.15,2209.73,2214.3,164.11,372052.44
2019-02-02,LTCRUR,2213.31,2277.1,2086.04,2272.55,247.54,542186.1
2019-02-01,LTCRUR,2129.43,2213.91,2070,2213.31,297.69,635916.79
2019-01-31,LTCRUR,2145.37,2148.1,2070,2129.43,299.29,629105.7
2019-01-30,LTCRUR,2106,2186.16,2073.42,2145.37,191.51,405510.56
2019-01-29,LTCRUR,2169.18,2193.98,2050,2106,333.5,711644.84
2019-01-28,LTCRUR,2206.9,2231,2079.2,2169.18,355.37,768668.55
2019-01-27,LTCRUR,2260,2272.04,2174,2206.9,168.11,372558.82
2019-01-26,LTCRUR,2213.68,2295.62,2213.68,2260,151.64,341104.72
2019-01-25,LTCRUR,2217.75,2255,2125,2213.68,178.13,393043.07
2019-01-24,LTCRUR,2171.3,2222,2100.94,2217.75,136.66,295622.18
2019-01-23,LTCRUR,2165.46,2200,2100,2171.3,244.36,526569.95
2019-01-22,LTCRUR,2115.3,2166,2085.9,2165.46,146.49,311137.77
2019-01-21,LTCRUR,2139.84,2164.83,2084.2,2115.3,190.43,403449.27
2019-01-20,LTCRUR,2232,2266.16,2082,2139.84,277.17,607038.78
2019-01-19,LTCRUR,2106.5,2259.9,2085.94,2232,185.24,404275.88
2019-01-18,LTCRUR,2156.93,2168,2059,2106.5,234.85,493442.67
2019-01-17,LTCRUR,2149,2185,2066.79,2156.93,149.68,317169.85
2019-01-16,LTCRUR,2135.3,2200,2100,2149,192.84,414444.51
2019-01-15,LTCRUR,2200.58,2260,2110.4,2135.3,239.48,521974.83
2019-01-14,LTCRUR,2129.52,2249.5,2102,2200.58,161.13,348700.05
2019-01-13,LTCRUR,2269.59,2350,2110,2129.52,160.88,362166.47
2019-01-12,LTCRUR,2275.45,2312.49,2160,2269.59,199.6,450671.3
2019-01-11,LTCRUR,2349.53,2400.3,2275.45,2275.45,247.39,578546.39
2019-01-10,LTCRUR,2637,2695,2296.2,2349.53,578.47,1414241.15
2019-01-09,LTCRUR,2714.11,2900,2629.43,2637,398.7,1088850.18
2019-01-08,LTCRUR,2623.07,2780,2578.4,2714.11,311.69,832894.1
2019-01-07,LTCRUR,2699.51,2726.23,2574.9,2623.07,187.64,493274.16
2019-01-06,LTCRUR,2442,2750,2442,2699.51,288.17,758204.04
2019-01-05,LTCRUR,2310.84,2560,2275.5,2442,345.15,828521.01
2019-01-04,LTCRUR,2295.66,2338.94,2250.51,2310.84,195.22,446747.24
2019-01-03,LTCRUR,2365.01,2368.39,2245,2295.66,146.42,336571.35
2019-01-02,LTCRUR,2275,2367.37,2241.71,2365.01,287.7,659219.41
2019-01-01,LTCRUR,2175.24,2300,2077,2275,116.58,257945.59
2018-12-31,LTCRUR,2235.34,2259.69,2120.52,2175.24,212.09,465682.87
2018-12-30,LTCRUR,2221.5,2324,2182.64,2235.34,215.65,480037.45
2018-12-29,LTCRUR,2242.27,2324,2140,2221.5,322.78,721022.87
2018-12-28,LTCRUR,2006.1,2324.65,1975,2242.27,394.0,844781.79
2018-12-27,LTCRUR,2165.1,2200,1993,2006.1,291.77,605386.65
2018-12-26,LTCRUR,2161.51,2226.63,2071.71,2165.1,360.08,769433.62
2018-12-25,LTCRUR,2334.6,2334.6,2100.9,2161.51,314.59,681254.37
2018-12-24,LTCRUR,2356.34,2560,2313.63,2334.6,472.52,1162188.99
2018-12-23,LTCRUR,2245,2386.81,2170,2356.34,303.7,700402.26
2018-12-22,LTCRUR,2180,2245,2110.1,2245,204.02,442689.85
2018-12-21,LTCRUR,2236.2,2270,2100,2180,257.43,565442.39
2018-12-20,LTCRUR,2086.87,2264.22,2000,2236.2,313.75,671899.01
2018-12-19,LTCRUR,2056.9,2300,2020,2086.87,536.06,1158241.09
2018-12-18,LTCRUR,2023.68,2084.06,1910,2056.9,346.59,689452.63
2018-12-17,LTCRUR,1801,2134,1801,2023.68,346.55,683450.02
2018-12-16,LTCRUR,1708.65,1871.15,1689.85,1801,319.07,581203.64
2018-12-15,LTCRUR,1670.85,1750,1660,1708.65,293.86,497995.8
2018-12-14,LTCRUR,1728.46,1755.65,1651.6,1670.85,366.13,624636.65
2018-12-13,LTCRUR,1787.48,1787.48,1700,1728.46,266.81,461489.34
2018-12-12,LTCRUR,1713.1,1824.37,1692.33,1787.48,325.45,573572.32
2018-12-11,LTCRUR,1784.02,1799.52,1693.12,1713.1,252.18,437786.1
2018-12-10,LTCRUR,1859.31,1925,1735.75,1784.02,260.97,470393.86
2018-12-09,LTCRUR,1827.58,1929,1762.4,1859.31,256.55,475229.79
2018-12-08,LTCRUR,1799,1930,1734.73,1827.58,314.59,563975.0
2018-12-07,LTCRUR,2197.3,2197.3,1700.74,1799,519.07,977293.9
2018-12-06,LTCRUR,2143.36,2219.62,2031.01,2197.3,291.62,611070.89
2018-12-05,LTCRUR,2291.01,2291.01,2126.17,2143.36,346.47,767024.9
2018-12-04,LTCRUR,2299.72,2342.72,2161.29,2291.01,462.76,1052529.01
2018-12-03,LTCRUR,2454.13,2458.14,2259.6,2299.72,236.09,557375.5
2018-12-02,LTCRUR,2467.93,2521.74,2402.27,2454.13,245.8,606638.86
2018-12-01,LTCRUR,2399.63,2510.99,2305.35,2467.93,244.0,590469.65
2018-11-30,LTCRUR,2460,2536.16,2320.36,2399.63,225.11,537129.32
2018-11-29,LTCRUR,2443.59,2666.78,2372.05,2460,300.04,741632.24
2018-11-28,LTCRUR,2217.08,2553.05,2165.42,2443.59,312.2,726904.02
2018-11-27,LTCRUR,2130.66,2250,2050,2217.08,174.28,372328.37
2018-11-26,LTCRUR,2165.39,2330,2000.44,2130.66,365.21,793048.63
2018-11-25,LTCRUR,2189.34,2259.9,1950,2165.39,375.1,783306.25
2018-11-24,LTCRUR,2290,2350,2070.65,2189.34,358.05,805100.8
2018-11-23,LTCRUR,2326.04,2395,2220,2290,389.0,880411.78
2018-11-22,LTCRUR,2384.44,2474.69,2265.11,2326.04,346.44,828083.51
2018-11-21,LTCRUR,2299.69,2500,2220,2384.44,364.02,856568.42
2018-11-20,LTCRUR,2575.78,2656.12,2075.1,2299.69,618.11,1469390.97
2018-11-19,LTCRUR,2972.71,2998.87,2500,2575.78,628.5,1697295.16
2018-11-18,LTCRUR,2992.18,3031.68,2937.44,2972.71,158.52,475273.45
