Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN
2019-03-13,ETHMXN,2541.09,2580,2511.88,2520,383.5,975145.77
2019-03-12,ETHMXN,2530.06,2584.92,2477.48,2541.09,564.75,1428323.7
2019-03-11,ETHMXN,2629.99,2635,2530.01,2530.06,575.73,1470900.35
2019-03-10,ETHMXN,2658.97,2670,2575,2629.99,280.93,732647.62
2019-03-09,ETHMXN,2590,2664.77,2535.93,2658.97,183.58,482932.95
2019-03-08,ETHMXN,2643,2678.9,2520.02,2590,634.28,1664130.91
2019-03-07,ETHMXN,2636,2679.99,2610,2643,329.97,872387.47
2019-03-06,ETHMXN,2568.78,2650,2566.12,2636,424.21,1112782.0
2019-03-05,ETHMXN,2405,2630,2405,2568.78,761.95,1940972.46
2019-03-04,ETHMXN,2486.65,2532.3,2400.13,2405,373.93,920257.25
2019-03-03,ETHMXN,2540.95,2585,2485.87,2486.65,375.96,957682.99
2019-03-02,ETHMXN,2590.13,2624.83,2500,2540.95,459.04,1171624.82
2019-03-01,ETHMXN,2579.69,2629.01,2555.88,2590.13,243.78,633211.46
2019-02-28,ETHMXN,2539,2628.79,2510.01,2579.69,491.55,1267492.32
2019-02-27,ETHMXN,2588.85,2649.99,2410.52,2539,783.84,1985698.51
2019-02-26,ETHMXN,2602.12,2624.99,2521,2588.85,567.17,1454509.0
2019-02-25,ETHMXN,2550,2673.4,2520,2602.12,720.2,1890147.7
2019-02-24,ETHMXN,2934.88,3096.99,2547.73,2550,2948.29,8138955.49
2019-02-23,ETHMXN,2760,2967.99,2715,2934.88,848.86,2436981.6
2019-02-22,ETHMXN,2734.87,2794.99,2699.91,2760,588.2,1618991.37
2019-02-21,ETHMXN,2799.83,2799.85,2650.53,2734.87,480.13,1305568.85
2019-02-20,ETHMXN,2722.85,2799.97,2603.01,2799.83,1077.49,2924331.17
2019-02-19,ETHMXN,2747.76,2810.01,2667.31,2722.85,792.16,2192646.91
2019-02-18,ETHMXN,2530,2841.49,2480.02,2747.76,1357.43,3651686.6
2019-02-17,ETHMXN,2312.43,2548.58,2305.01,2530,491.3,1197179.66
2019-02-16,ETHMXN,2288.68,2349.99,2264,2312.43,193.32,447203.35
2019-02-15,ETHMXN,2268.34,2319,2233.3,2288.68,246.86,565368.59
2019-02-14,ETHMXN,2310.78,2347.94,2215.4,2268.34,496.97,1131388.83
