Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR
2018-07-20,LTCEUR,74.74,74.74,70,70.07,390.04,28206.8
2018-07-19,LTCEUR,74.34,76.87,73.28,74.74,298.29,22326.99
2018-07-18,LTCEUR,76.13,80.62,73.78,74.34,403.98,31234.07
2018-07-17,LTCEUR,71.37,76.85,69.81,76.13,410.76,30101.41
2018-07-16,LTCEUR,67.45,71.43,66.52,71.37,301.8,20979.14
2018-07-15,LTCEUR,65.61,67.78,64.93,67.45,238.13,15796.7
2018-07-14,LTCEUR,65.57,66.29,65.25,65.61,222.92,14620.88
2018-07-13,LTCEUR,66.17,67.26,64.9,65.57,266.5,17712.69
2018-07-12,LTCEUR,67.13,67.17,64.31,66.17,275.66,18095.79
2018-07-11,LTCEUR,65.11,68.54,65,67.13,335.67,22434.19
2018-07-10,LTCEUR,68.79,69.02,64.46,65.11,297.45,19704.11
2018-07-09,LTCEUR,70.45,70.77,68.79,68.79,256.56,17928.01
2018-07-08,LTCEUR,72.48,72.73,70.26,70.45,263.42,18897.08
2018-07-07,LTCEUR,70.84,72.48,68.26,72.48,233.99,16372.63
2018-07-06,LTCEUR,71.6,72.19,69.65,70.84,241.46,17145.34
2018-07-05,LTCEUR,73.42,74.36,70.58,71.6,265.7,19253.0
2018-07-04,LTCEUR,73.02,75.99,71.83,73.42,261.4,19264.96
2018-07-03,LTCEUR,73.47,76.91,72.75,73.02,276.69,20629.44
2018-07-02,LTCEUR,68.32,74.27,50,73.47,341.25,23844.79
2018-07-01,LTCEUR,69.63,69.85,66.75,68.32,198.44,13522.53
2018-06-30,LTCEUR,68.52,72.28,67.92,69.63,332.41,23310.49
2018-06-29,LTCEUR,65.53,69.5,63.34,68.52,348.77,22638.37
2018-06-28,LTCEUR,70.51,70.83,65.25,65.53,238.01,16302.48
2018-06-27,LTCEUR,66.28,71.11,65.13,70.51,253.82,17366.1
2018-06-26,LTCEUR,70.83,71.35,66.28,66.28,243.08,16904.19
2018-06-25,LTCEUR,70.57,73.09,69.12,70.83,265.7,18880.9
2018-06-24,LTCEUR,72.34,72.86,64.91,70.57,401.63,27895.85
2018-06-23,LTCEUR,73.6,75.03,71.45,72.34,297.39,21698.57
2018-06-22,LTCEUR,83.61,84.05,70.32,73.6,343.39,26069.52
2018-06-21,LTCEUR,84.82,86.18,83.47,83.61,254.18,21491.75
2018-06-20,LTCEUR,85.8,86.24,83.28,84.82,200.13,16947.62
2018-06-19,LTCEUR,87.29,88.37,85.06,85.8,177.01,15257.27
2018-06-18,LTCEUR,83.85,87.83,82.01,87.29,210.04,17703.32
2018-06-17,LTCEUR,85.92,86.31,83.76,83.85,141.14,12040.6
2018-06-16,LTCEUR,84.73,86.01,82.49,85.92,210.53,17837.64
2018-06-15,LTCEUR,88.55,88.76,84.06,84.73,238.18,20622.91
2018-06-14,LTCEUR,81.19,90.52,80.78,88.55,260.45,22342.61
2018-06-13,LTCEUR,86.65,87.17,77.62,81.19,252.05,20826.0
2018-06-12,LTCEUR,91.89,93,85.35,86.65,215.94,19441.1
2018-06-11,LTCEUR,91.67,93,89,91.89,216.31,19744.07
2018-06-10,LTCEUR,100.23,100.61,89.58,91.67,260.02,24640.43
2018-06-09,LTCEUR,102.51,103.64,100.23,100.23,150.5,15417.14
2018-06-08,LTCEUR,103.39,104.18,101.64,102.51,196.06,20151.16
2018-06-07,LTCEUR,103.98,105.14,102.78,103.39,262.21,27231.36
2018-06-06,LTCEUR,105.09,105.22,101.64,103.98,172.44,17880.54
2018-06-05,LTCEUR,103.15,105.09,101,105.09,145.84,14986.29
2018-06-04,LTCEUR,108.38,109.19,102.5,103.15,157.99,16586.81
2018-06-03,LTCEUR,107,110.12,106.28,108.38,227.62,24679.96
