Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETC,Volume RUR
2019-03-01,ETCRUR,278.93,282.14,278.91,282,0.06,16.88
2019-02-28,ETCRUR,286.78,286.78,278.93,278.93,7.36,2079.49
2019-02-27,ETCRUR,279.27,286.78,279.27,286.78,0.06708,18.96
2019-02-26,ETCRUR,281.28,284.36,276.07,279.27,0.09398,26.53
2019-02-25,ETCRUR,280,284,277.1,281.28,0.3562,100.13
2019-02-24,ETCRUR,308.04,313,280,280,0.1396,41.44
2019-02-23,ETCRUR,296,308.04,296,308.04,0.06,18.16
2019-02-22,ETCRUR,285,296,285,296,0.06,17.42
2019-02-21,ETCRUR,296.97,296.97,285,285,0.05478,15.94
2019-02-20,ETCRUR,299.11,299.11,288.57,296.97,1.3,376.52
2019-02-19,ETCRUR,279.04,304.5,279.04,299.11,458.63,134285.25
2019-02-18,ETCRUR,270.04,290.05,270.04,279.04,825.58,230844.55
2019-02-17,ETCRUR,271.25,273.1,266.12,270.04,449.72,121262.15
2019-02-16,ETCRUR,270.85,274.47,265.03,271.25,300.39,81361.08
2019-02-15,ETCRUR,268,279,265.03,270.85,602.21,163299.73
2019-02-14,ETCRUR,266.05,272.42,264,268,733.22,196005.66
2019-02-13,ETCRUR,263.81,269,261.48,266.05,442.79,117290.9
2019-02-12,ETCRUR,260.79,268.18,260,263.81,471.74,124513.67
2019-02-11,ETCRUR,261.3,265.13,257.82,260.79,533.84,140362.34
2019-02-10,ETCRUR,257.6,264.99,253.03,261.3,485.28,125065.75
2019-02-09,ETCRUR,262,266.67,256,257.6,961.11,250893.83
2019-02-08,ETCRUR,247.32,267.07,243.19,262,1052.22,271795.89
2019-02-07,ETCRUR,240,255,235,247.32,844.8,206359.21
2019-02-06,ETCRUR,250.18,251,235.79,240,391.81,94034.82
2019-02-05,ETCRUR,256.63,259.8,249.07,250.18,559.3,141763.86
2019-02-04,ETCRUR,256.94,260,255,256.63,490.07,126004.59
2019-02-03,ETCRUR,258.38,263,255,256.94,381.44,98884.52
2019-02-02,ETCRUR,259,263,258.33,258.38,397.46,103158.24
2019-02-01,ETCRUR,261.57,263,257.5,259,375.99,97616.76
2019-01-31,ETCRUR,264.95,267,257,261.57,363.1,94443.41
2019-01-30,ETCRUR,262.5,273,259,264.95,301.96,79502.06
2019-01-29,ETCRUR,267.03,273.5,260,262.5,401.93,106231.33
2019-01-28,ETCRUR,283.75,285.83,261,267.03,887.63,242459.34
2019-01-27,ETCRUR,290.01,292,283.23,283.75,364.05,104566.59
2019-01-26,ETCRUR,289.74,295.5,288,290.01,391.54,113798.33
2019-01-25,ETCRUR,287.99,295.23,280.69,289.74,349.56,101267.53
2019-01-24,ETCRUR,290,291.88,285.16,287.99,334.87,96397.03
2019-01-23,ETCRUR,288.6,294,287.71,290,413.82,119898.4
2019-01-22,ETCRUR,290,294.5,285.5,288.6,275.38,79250.13
2019-01-21,ETCRUR,288,295,286.67,290,369.19,107227.14
2019-01-20,ETCRUR,302,302.97,283,288,424.32,124729.84
2019-01-19,ETCRUR,292.94,309,292,302,443.11,132668.92
2019-01-18,ETCRUR,301,303.26,289.15,292.94,410.68,119885.14
2019-01-17,ETCRUR,290,303.36,287,301,611.66,180171.93
2019-01-16,ETCRUR,286.5,297.59,283.5,290,679.84,197591.11
2019-01-15,ETCRUR,296.78,310,283.46,286.5,734.78,215536.17
2019-01-14,ETCRUR,290.82,307.58,287.57,296.78,430.71,127723.69
2019-01-13,ETCRUR,313,317,287,290.82,717.72,218946.88
2019-01-12,ETCRUR,313.2,331.24,313,313,506.89,162563.83
2019-01-11,ETCRUR,301.46,319.5,301.46,313.2,469.15,147124.38
2019-01-10,ETCRUR,337.1,343.77,290,301.46,743.05,233450.72
2019-01-09,ETCRUR,333.99,344.9,330.98,337.1,465.35,156159.24
2019-01-08,ETCRUR,338.4,352,320,333.99,635.74,214019.87
2019-01-07,ETCRUR,376.63,377.01,334,338.4,693.36,247684.14
2019-01-06,ETCRUR,363.2,381,361,376.63,719.82,265113.13
2019-01-05,ETCRUR,370,375.21,360.84,363.2,574.85,210461.17
2019-01-04,ETCRUR,362,376,361,370,373.03,135999.07
2019-01-03,ETCRUR,384.91,388.89,361,362,422.8,157322.33
2019-01-02,ETCRUR,373.23,385.08,367.25,384.91,428.57,161045.44
2019-01-01,ETCRUR,357.26,373.23,353.63,373.23,373.74,136618.0
2018-12-31,ETCRUR,367.15,375,350.42,357.26,371.78,135112.42
2018-12-30,ETCRUR,356,376,356,367.15,331.11,121225.09
2018-12-29,ETCRUR,359.97,378,356,356,536.1,197460.57
2018-12-28,ETCRUR,341,389.29,333.32,359.97,973.12,347765.2
2018-12-27,ETCRUR,382.01,395.32,341,341,922.66,333439.35
2018-12-26,ETCRUR,318.39,382.01,318.39,382.01,758.21,265240.55
2018-12-25,ETCRUR,365.33,365.33,310,318.39,1097.84,358809.7
2018-12-24,ETCRUR,335.04,380,335,365.33,761.81,278593.54
2018-12-23,ETCRUR,324.88,352,319.99,335.04,976.15,333125.02
2018-12-22,ETCRUR,321.82,327.64,305,324.88,618.26,194831.75
2018-12-21,ETCRUR,325.58,336.63,316.5,321.82,1050.88,342488.1
2018-12-20,ETCRUR,310.6,335,295,325.58,769.05,243195.73
2018-12-19,ETCRUR,286,339.91,286,310.6,1502.92,477074.82
2018-12-18,ETCRUR,273.86,290.56,265.19,286,1285.18,356158.46
2018-12-17,ETCRUR,250.11,284,250.11,273.86,1079.76,291238.39
2018-12-16,ETCRUR,255,268.75,250,250.11,559.6,145191.09
2018-12-15,ETCRUR,265.52,274.5,250.07,255,632.19,162655.3
2018-12-14,ETCRUR,283.25,283.25,261.73,265.52,562.63,151379.16
2018-12-13,ETCRUR,277,287,262,283.25,1074.7,295368.94
2018-12-12,ETCRUR,273.92,287,257,277,610.78,165973.1
2018-12-11,ETCRUR,279.1,297.42,265.23,273.92,719.87,201688.0
2018-12-10,ETCRUR,287.97,291.82,268.18,279.1,338.44,93581.45
2018-12-09,ETCRUR,272.59,311,272.59,287.97,707.08,200502.67
2018-12-08,ETCRUR,277.76,287.89,265,272.59,450.77,122365.82
2018-12-07,ETCRUR,278,291.64,250,277.76,1448.82,388845.34
2018-12-06,ETCRUR,293.12,302.5,278,278,1215.91,347196.52
2018-12-05,ETCRUR,329.68,332.1,290.37,293.12,917.17,284608.06
2018-12-04,ETCRUR,340.78,356.17,320,329.68,1579.84,524152.48
2018-12-03,ETCRUR,373.27,381.4,333.33,340.78,988.12,352900.01
2018-12-02,ETCRUR,351,381.61,342.76,373.27,668.58,241700.62
2018-12-01,ETCRUR,341,355,328.04,351,492.11,169143.87
2018-11-30,ETCRUR,362.4,370.17,341,341,870.08,306738.84
2018-11-29,ETCRUR,349.44,370,340,362.4,840.61,300090.9
2018-11-28,ETCRUR,311.07,374.55,311.07,349.44,723.49,245299.55
2018-11-27,ETCRUR,306,323.74,305,311.07,737.13,229184.11
2018-11-26,ETCRUR,340.08,347.76,302.36,306,923.45,298536.41
2018-11-25,ETCRUR,330.84,340.08,300,340.08,1249.8,400549.48
2018-11-24,ETCRUR,370.21,371,322.5,330.84,567.96,202563.64
2018-11-23,ETCRUR,380,382.77,350,370.21,849.63,304457.62
2018-11-22,ETCRUR,395,423,380,380,656.95,260350.78
2018-11-21,ETCRUR,375.36,445,372.79,395,812.35,320523.42
2018-11-20,ETCRUR,443.56,448.42,347,375.36,1859.0,732580.93
2018-11-19,ETCRUR,525.46,525.46,401,443.56,1606.31,764793.4
2018-11-18,ETCRUR,521.01,540,521.01,525.46,487.56,257438.36
2018-11-17,ETCRUR,530,538.75,514.81,521.01,367.62,192220.01
2018-11-16,ETCRUR,545,552.48,522,530,531.44,282782.35
2018-11-15,ETCRUR,565.23,569.12,518.06,545,959.45,524713.63
2018-11-14,ETCRUR,605.21,629,501,565.23,1235.14,722162.96
2018-11-13,ETCRUR,617,621.98,605,605.21,736.8,450767.73
2018-11-12,ETCRUR,615.13,629,609.68,617,564.38,347371.71
2018-11-11,ETCRUR,635,640,609.12,615.13,556.22,348634.9
2018-11-10,ETCRUR,640,640,627.2,635,534.51,338173.91
2018-11-09,ETCRUR,628.36,640,620.77,640,612.91,384027.17
2018-11-08,ETCRUR,633,640,613.43,628.36,608.43,378176.33
2018-11-07,ETCRUR,642.66,646.28,625.04,633,473.11,300207.7
2018-11-06,ETCRUR,616.23,646.28,613,642.66,625.33,392027.11
2018-11-05,ETCRUR,622.25,627.67,612.99,616.23,530.45,328017.04
2018-11-04,ETCRUR,605.07,635.85,602,622.25,833.1,514592.61
2018-11-03,ETCRUR,610,613.38,596,605.07,645.74,389432.22
2018-11-02,ETCRUR,598.01,610,593.5,610,643.98,385924.22
2018-11-01,ETCRUR,603.5,605.41,595,598.01,679.7,406755.03
2018-10-31,ETCRUR,606.22,625,595.24,603.5,722.23,434405.05
2018-10-30,ETCRUR,604.45,614.88,595,606.22,537.02,322621.28
2018-10-29,ETCRUR,630.51,635.04,601,604.45,510.57,316936.03
2018-10-28,ETCRUR,634.4,643.92,625,630.51,480.31,303992.24
2018-10-27,ETCRUR,640,641.7,632,634.4,421.83,268113.06
2018-10-26,ETCRUR,636.26,646.5,631,640,454.69,288920.82
2018-10-25,ETCRUR,647.09,647.09,635,636.26,537.03,342948.25
2018-10-24,ETCRUR,648.09,652.82,640,647.09,754.38,486289.72
2018-10-23,ETCRUR,660.59,675,640,648.09,696.63,454763.1
2018-10-22,ETCRUR,641.6,675,635,660.59,797.09,524770.84
2018-10-21,ETCRUR,650.07,651.96,640,641.6,514.31,330833.07
2018-10-20,ETCRUR,642.44,652.18,636.28,650.07,460.96,296355.61
2018-10-19,ETCRUR,639.87,651.4,635,642.44,672.6,431024.01
2018-10-18,ETCRUR,656.34,656.34,637.43,639.87,680.41,440811.85
2018-10-17,ETCRUR,640,663.56,635,656.34,727.92,469271.41
2018-10-16,ETCRUR,655.15,660.29,640,640,513.74,332066.38
2018-10-15,ETCRUR,664,676.86,642.66,655.15,865.38,570405.35
2018-10-14,ETCRUR,667.44,674.72,660.45,664,351.8,234358.13
2018-10-13,ETCRUR,666.85,672.59,651,667.44,616.88,407631.42
2018-10-12,ETCRUR,665,689,650,666.85,631.89,417983.34
2018-10-11,ETCRUR,733.46,735.42,655,665,1153.54,801164.43
2018-10-10,ETCRUR,740,740,724.83,733.46,552.17,403373.15
2018-10-09,ETCRUR,733.33,744,726,740,631.63,462983.17
2018-10-08,ETCRUR,736.2,743,725.75,733.33,737.23,540040.12
2018-10-07,ETCRUR,742.02,747.77,736.07,736.2,527.56,390250.2
2018-10-06,ETCRUR,740.73,750,737,742.02,632.15,468679.38
2018-10-05,ETCRUR,741.17,750,735.03,740.73,624.76,463388.65
2018-10-04,ETCRUR,737.21,750.02,735.31,741.17,534.12,396578.1
2018-10-03,ETCRUR,745,754.89,734.03,737.21,1100.3,816846.41
2018-10-02,ETCRUR,753.13,755.06,740,745,639.49,476958.88
2018-10-01,ETCRUR,754.63,761,740,753.13,553.09,414722.8
2018-09-30,ETCRUR,762.5,769.5,751,754.63,643.22,487209.17
2018-09-29,ETCRUR,753.13,773.92,742,762.5,709.88,539407.68
2018-09-28,ETCRUR,764.9,764.9,752.02,753.13,637.61,481929.21
2018-09-27,ETCRUR,749,770,741.11,764.9,601.59,453550.91
2018-09-26,ETCRUR,763.55,773.11,740,749,572.42,428745.03
2018-09-25,ETCRUR,760,777,726.81,763.55,597.92,446024.25
2018-09-24,ETCRUR,778.23,784.53,745.16,760,682.25,517570.57
2018-09-23,ETCRUR,775.73,800,750,778.23,589.54,461048.25
2018-09-22,ETCRUR,781.37,792.99,756,775.73,295.17,228183.65
2018-09-21,ETCRUR,749,795.82,743,781.37,686.6,525448.98
2018-09-20,ETCRUR,755.05,755.05,725.08,749,982.2,725138.31
2018-09-19,ETCRUR,745.13,760.11,727,755.05,468.08,346950.23
2018-09-18,ETCRUR,750,760,730.17,745.13,542.12,402681.73
2018-09-17,ETCRUR,786.47,792.65,731,750,972.9,743476.29
