Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume KRW
2019-07-31 05-AM,BTCKRW,11409000,11500000,11405000,11445000,297.05,3403620622.37
2019-07-31 04-AM,BTCKRW,11428000,11428000,11386000,11409000,91.55,1044250012.48
2019-07-31 03-AM,BTCKRW,11425000,11441000,11400000,11428000,122.14,1395094322.08
2019-07-31 02-AM,BTCKRW,11470000,11475000,11410000,11425000,147.35,1684969104.89
2019-07-31 01-AM,BTCKRW,11449000,11482000,11401000,11470000,152.77,1748588738.51
2019-07-31 12-AM,BTCKRW,11343000,11464000,11320000,11449000,229.13,2615490429.16
2019-07-30 11-PM,BTCKRW,11338000,11368000,11321000,11343000,79.8,905100648.84
2019-07-30 10-PM,BTCKRW,11315000,11394000,11314000,11338000,99.37,1127934341.48
2019-07-30 09-PM,BTCKRW,11273000,11330000,11270000,11315000,81.41,919073930.29
2019-07-30 08-PM,BTCKRW,11329000,11360000,11270000,11273000,81.81,924761062.05
2019-07-30 07-PM,BTCKRW,11372000,11397000,11257000,11329000,113.16,1280246734.61
2019-07-30 06-PM,BTCKRW,11361000,11397000,11339000,11372000,46.1,524436772.51
2019-07-30 05-PM,BTCKRW,11433000,11436000,11330000,11361000,104.26,1187011783.32
2019-07-30 04-PM,BTCKRW,11449000,11480000,11415000,11433000,112.4,1285402985.44
2019-07-30 03-PM,BTCKRW,11309000,11500000,11299000,11449000,489.71,5593908978.06
2019-07-30 02-PM,BTCKRW,11276000,11320000,11263000,11309000,110.65,1250345477.66
2019-07-30 01-PM,BTCKRW,11283000,11293000,11254000,11276000,57.07,643343409.47
2019-07-30 12-PM,BTCKRW,11290000,11344000,11250000,11283000,207.21,2342046254.09
2019-07-30 11-AM,BTCKRW,11241000,11353000,11186000,11290000,354.52,3995308125.15
2019-07-30 10-AM,BTCKRW,11219000,11260000,11206000,11241000,90.89,1020956562.89
2019-07-30 09-AM,BTCKRW,11210000,11221000,11200000,11219000,55.26,619708320.59
2019-07-30 08-AM,BTCKRW,11229000,11259000,11201000,11210000,112.62,1264507717.1
2019-07-30 07-AM,BTCKRW,11237000,11241000,11211000,11229000,81.49,915041634.41
2019-07-30 06-AM,BTCKRW,11164000,11264000,11164000,11237000,154.4,1730799090.49
2019-07-30 05-AM,BTCKRW,11165000,11184000,11141000,11164000,164.61,1837334898.64
2019-07-30 04-AM,BTCKRW,11179000,11191000,11160000,11165000,103.81,1159981300.16
2019-07-30 03-AM,BTCKRW,11181000,11201000,11159000,11179000,158.84,1775235158.58
2019-07-30 02-AM,BTCKRW,11228000,11250000,11165000,11181000,182.31,2043006413.6
2019-07-30 01-AM,BTCKRW,11280000,11290000,11228000,11228000,106.06,1194470063.62
2019-07-30 12-AM,BTCKRW,11287000,11307000,11252000,11280000,68.42,771692957.18
2019-07-29 11-PM,BTCKRW,11305000,11319000,11200000,11287000,222.89,2507388717.45
2019-07-29 10-PM,BTCKRW,11282000,11314000,11241000,11305000,88.86,1002759227.84
2019-07-29 09-PM,BTCKRW,11307000,11317000,11282000,11282000,42.22,476913023.55
2019-07-29 08-PM,BTCKRW,11251000,11323000,11235000,11307000,56.49,637453899.29
2019-07-29 07-PM,BTCKRW,11283000,11283000,11240000,11251000,18.77,211364483.61
2019-07-29 06-PM,BTCKRW,11248000,11290000,11213000,11283000,59.5,669282654.35
2019-07-29 05-PM,BTCKRW,11307000,11329000,11191000,11248000,113.98,1284205024.28
2019-07-29 04-PM,BTCKRW,11283000,11435000,11179000,11307000,298.09,3373167446.01
2019-07-29 03-PM,BTCKRW,11287000,11328000,11250000,11283000,115.93,1308715861.69
2019-07-29 02-PM,BTCKRW,11317000,11346000,11264000,11287000,116.66,1318951188.57
2019-07-29 01-PM,BTCKRW,11290000,11369000,11238000,11317000,191.94,2169847189.62
2019-07-29 12-PM,BTCKRW,11218000,11290000,11203000,11290000,107.54,1208315630.24
2019-07-29 11-AM,BTCKRW,11239000,11276000,11205000,11218000,105.61,1186196546.04
2019-07-29 10-AM,BTCKRW,11230000,11275000,11180000,11239000,105.06,1179391663.73
2019-07-29 09-AM,BTCKRW,11293000,11320000,11150000,11230000,289.29,3251730589.11
2019-07-29 08-AM,BTCKRW,11358000,11385000,11281000,11293000,123.28,1396275931.14
2019-07-29 07-AM,BTCKRW,11344000,11362000,11331000,11358000,97.31,1103972841.72
2019-07-29 06-AM,BTCKRW,11366000,11397000,11315000,11344000,191.44,2172258788.92
2019-07-29 05-AM,BTCKRW,11440000,11440000,11363000,11366000,161.99,1847078628.78
2019-07-29 04-AM,BTCKRW,11415000,11455000,11408000,11440000,107.87,1233627209.8
2019-07-29 03-AM,BTCKRW,11434000,11446000,11404000,11415000,118.19,1350491293.87
2019-07-29 02-AM,BTCKRW,11471000,11472000,11400000,11434000,193.2,2208796163.47
2019-07-29 01-AM,BTCKRW,11305000,11550000,11299000,11471000,522.51,5973562277.31
2019-07-29 12-AM,BTCKRW,11330000,11357000,11286000,11305000,206.74,2341335223.53
2019-07-28 11-PM,BTCKRW,11334000,11380000,11275000,11330000,326.93,3704073554.31
2019-07-28 10-PM,BTCKRW,11292000,11450000,11000000,11334000,1180.53,13185603076.72
2019-07-28 09-PM,BTCKRW,11366000,11367000,11280000,11292000,100.2,1133466946.92
2019-07-28 08-PM,BTCKRW,11372000,11381000,11300000,11366000,66.18,750059985.1
2019-07-28 07-PM,BTCKRW,11377000,11380000,11355000,11372000,11.77,133832003.1
2019-07-28 06-PM,BTCKRW,11353000,11385000,11349000,11377000,28.83,327736072.23
2019-07-28 05-PM,BTCKRW,11336000,11370000,11322000,11353000,26.88,305188630.21
2019-07-28 04-PM,BTCKRW,11335000,11398000,11317000,11336000,126.22,1433296593.62
2019-07-28 03-PM,BTCKRW,11328000,11359000,11284000,11335000,85.52,968916528.27
2019-07-28 02-PM,BTCKRW,11302000,11380000,11302000,11328000,213.97,2427635771.22
2019-07-28 01-PM,BTCKRW,11339000,11351000,11285000,11302000,96.15,1086525243.8
2019-07-28 12-PM,BTCKRW,11351000,11379000,11313000,11339000,95.83,1087321632.5
2019-07-28 11-AM,BTCKRW,11274000,11400000,11273000,11351000,159.21,1804672014.11
2019-07-28 10-AM,BTCKRW,11277000,11300000,11220000,11274000,164.63,1854717998.25
2019-07-28 09-AM,BTCKRW,11346000,11346000,11277000,11277000,51.68,584298597.12
2019-07-28 08-AM,BTCKRW,11309000,11346000,11282000,11346000,71.61,809964524.08
2019-07-28 07-AM,BTCKRW,11329000,11335000,11300000,11309000,65.66,743428123.13
2019-07-28 06-AM,BTCKRW,11341000,11380000,11316000,11329000,92.63,1050612018.86
2019-07-28 05-AM,BTCKRW,11358000,11402000,11340000,11341000,92.4,1050582301.83
2019-07-28 04-AM,BTCKRW,11326000,11412000,11324000,11358000,176.6,2010276033.91
2019-07-28 03-AM,BTCKRW,11312000,11348000,11292000,11326000,55.06,623397808.02
2019-07-28 02-AM,BTCKRW,11349000,11357000,11294000,11312000,56.09,635118761.98
2019-07-28 01-AM,BTCKRW,11251000,11365000,11251000,11349000,77.42,875600453.49
2019-07-28 12-AM,BTCKRW,11307000,11324000,11204000,11251000,102.92,1159430840.51
2019-07-27 11-PM,BTCKRW,11288000,11389000,11260000,11307000,110.44,1248906912.72
2019-07-27 10-PM,BTCKRW,11400000,11400000,11179000,11288000,219.26,2482164822.1
2019-07-27 09-PM,BTCKRW,11316000,11403000,11315000,11400000,116.89,1328173235.16
2019-07-27 08-PM,BTCKRW,11270000,11336000,11238000,11316000,58.66,663303370.4
2019-07-27 07-PM,BTCKRW,11251000,11331000,11220000,11270000,40.26,454586085.39
2019-07-27 06-PM,BTCKRW,11306000,11314000,11216000,11251000,68.62,773267379.97
2019-07-27 05-PM,BTCKRW,11261000,11310000,11250000,11306000,60.5,682749437.61
2019-07-27 04-PM,BTCKRW,11239000,11300000,11209000,11261000,185.13,2084113899.03
2019-07-27 03-PM,BTCKRW,11252000,11309000,11145000,11239000,342.76,3847738629.04
2019-07-27 02-PM,BTCKRW,11267000,11300000,11241000,11252000,158.72,1789551361.62
2019-07-27 01-PM,BTCKRW,11204000,11325000,11193000,11267000,329.1,3711827480.43
2019-07-27 12-PM,BTCKRW,11353000,11363000,11158000,11204000,650.45,7306441333.09
2019-07-27 11-AM,BTCKRW,11385000,11415000,11273000,11353000,639.96,7263861475.5
2019-07-27 10-AM,BTCKRW,11879000,11885000,11323000,11385000,1296.51,14858784276.0
2019-07-27 09-AM,BTCKRW,11868000,11882000,11860000,11879000,56.84,674861031.53
2019-07-27 08-AM,BTCKRW,11883000,11901000,11860000,11868000,105.74,1256913686.94
2019-07-27 07-AM,BTCKRW,11891000,11897000,11861000,11883000,115.84,1376016205.12
2019-07-27 06-AM,BTCKRW,11874000,11915000,11867000,11891000,144.5,1719610646.96
2019-07-27 05-AM,BTCKRW,11926000,11930000,11862000,11874000,107.45,1277702747.56
2019-07-27 04-AM,BTCKRW,11924000,11933000,11903000,11926000,86.08,1025793188.1
2019-07-27 03-AM,BTCKRW,11927000,11941000,11905000,11924000,71.99,858270261.62
2019-07-27 02-AM,BTCKRW,11898000,11930000,11873000,11927000,194.66,2314460561.87
2019-07-27 01-AM,BTCKRW,11974000,12002000,11886000,11898000,335.24,4003239967.06
2019-07-27 12-AM,BTCKRW,11668000,12019000,11640000,11974000,810.06,9662925494.02
2019-07-26 11-PM,BTCKRW,11603000,11675000,11600000,11668000,103.0,1199510157.58
2019-07-26 10-PM,BTCKRW,11633000,11655000,11600000,11603000,70.19,815768453.37
2019-07-26 09-PM,BTCKRW,11655000,11663000,11600000,11633000,61.1,710405581.69
2019-07-26 08-PM,BTCKRW,11677000,11688000,11568000,11655000,84.79,987114218.23
2019-07-26 07-PM,BTCKRW,11638000,11699000,11635000,11677000,67.74,790457956.13
2019-07-26 06-PM,BTCKRW,11606000,11668000,11605000,11638000,49.31,573933661.33
2019-07-26 05-PM,BTCKRW,11620000,11629000,11536000,11606000,64.23,743783968.85
2019-07-26 04-PM,BTCKRW,11620000,11710000,11580000,11620000,142.07,1654697489.91
2019-07-26 03-PM,BTCKRW,11582000,11622000,11559000,11620000,63.77,738836664.09
2019-07-26 02-PM,BTCKRW,11588000,11596000,11519000,11582000,113.64,1313372577.46
2019-07-26 01-PM,BTCKRW,11617000,11646000,11555000,11588000,134.89,1562717526.88
2019-07-26 12-PM,BTCKRW,11647000,11696000,11589000,11617000,139.56,1622910350.73
2019-07-26 11-AM,BTCKRW,11588000,11670000,11582000,11647000,113.31,1318234720.13
2019-07-26 10-AM,BTCKRW,11621000,11629000,11575000,11588000,81.19,941583220.84
2019-07-26 09-AM,BTCKRW,11650000,11650000,11590000,11621000,94.93,1103289591.71
2019-07-26 08-AM,BTCKRW,11597000,11650000,11565000,11650000,188.54,2186989684.49
2019-07-26 07-AM,BTCKRW,11520000,11623000,11510000,11597000,139.93,1620425322.85
2019-07-26 06-AM,BTCKRW,11550000,11552000,11486000,11520000,160.67,1850819411.83
2019-07-26 05-AM,BTCKRW,11552000,11555000,11525000,11550000,105.28,1215481055.57
2019-07-26 04-AM,BTCKRW,11517000,11558000,11508000,11552000,88.71,1022407448.54
2019-07-26 03-AM,BTCKRW,11510000,11552000,11450000,11517000,162.06,1863151423.38
2019-07-26 02-AM,BTCKRW,11533000,11541000,11501000,11510000,122.79,1414706006.6
2019-07-26 01-AM,BTCKRW,11526000,11535000,11480000,11533000,178.35,2052351771.34
2019-07-26 12-AM,BTCKRW,11740000,11740000,11471000,11526000,622.65,7194251679.58
2019-07-25 11-PM,BTCKRW,11780000,11810000,11710000,11740000,140.0,1648120935.91
2019-07-25 10-PM,BTCKRW,11717000,11789000,11687000,11780000,158.2,1859344311.64
2019-07-25 09-PM,BTCKRW,11728000,11745000,11655000,11717000,138.38,1619394639.88
2019-07-25 08-PM,BTCKRW,11743000,11752000,11691000,11728000,121.38,1421356739.88
2019-07-25 07-PM,BTCKRW,11887000,11899000,11701000,11743000,139.84,1651039226.36
2019-07-25 06-PM,BTCKRW,11860000,11892000,11849000,11887000,34.91,414367411.58
2019-07-25 05-PM,BTCKRW,11849000,11869000,11832000,11860000,44.22,524043699.44
