Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume QTU,Volume MSGD
2019-04-02,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-04-01,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-31,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-30,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-29,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-28,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-27,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-26,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-25,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-24,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-23,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-22,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-21,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-20,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-19,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-18,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-17,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-16,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-15,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-14,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-13,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-12,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-11,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-10,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-09,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-08,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-07,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-06,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-05,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
2019-03-04,QTUMSGD,2.1,2.1,2.1,2.1,0.0,0.0
