Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MON,Volume ABTC
2019-06-26 12-PM,MONABTC,0.000222,0.0002241,0.00022,0.0002241,3219.0,0.7164
2019-06-26 11-AM,MONABTC,0.000222,0.000222,0.0002179,0.000222,1650.0,0.3628
2019-06-26 10-AM,MONABTC,0.000225,0.000225,0.000222,0.000222,90.0,0.01998
2019-06-26 09-AM,MONABTC,0.0002201,0.000225,0.0002201,0.000225,812.0,0.1827
2019-06-26 08-AM,MONABTC,0.00022,0.0002201,0.00022,0.0002201,24.0,0.005282
2019-06-26 07-AM,MONABTC,0.0002207,0.0002207,0.00022,0.00022,100.0,0.022
2019-06-26 06-AM,MONABTC,0.0002207,0.0002207,0.0002207,0.0002207,92.0,0.0203
2019-06-26 05-AM,MONABTC,0.0002302,0.0002495,0.0002207,0.0002207,1216.0,0.2728
2019-06-26 04-AM,MONABTC,0.0002352,0.0002352,0.0002302,0.0002302,884.0,0.2061
2019-06-26 03-AM,MONABTC,0.0002498,0.0002498,0.0002352,0.0002352,12.0,0.002823
2019-06-26 02-AM,MONABTC,0.0002407,0.0002498,0.0002407,0.0002498,20.0,0.004995
2019-06-26 01-AM,MONABTC,0.0002407,0.0002407,0.0002407,0.0002407,0.0,0.0
2019-06-26 12-AM,MONABTC,0.0002407,0.0002407,0.0002407,0.0002407,0.0,0.0
2019-06-25 11-PM,MONABTC,0.0002407,0.0002407,0.0002407,0.0002407,0.0,0.0
2019-06-25 10-PM,MONABTC,0.000251,0.000251,0.0002406,0.0002407,1001.0,0.242
2019-06-25 09-PM,MONABTC,0.000251,0.000251,0.000251,0.000251,0.0,0.0
2019-06-25 08-PM,MONABTC,0.000251,0.000251,0.000251,0.000251,0.0,0.0
2019-06-25 07-PM,MONABTC,0.000251,0.000251,0.000251,0.000251,0.0,0.0
2019-06-25 06-PM,MONABTC,0.000251,0.000251,0.000251,0.000251,0.0,0.0
2019-06-25 05-PM,MONABTC,0.000251,0.000251,0.000251,0.000251,0.0,0.0
2019-06-25 04-PM,MONABTC,0.0002589,0.0002589,0.000251,0.000251,4.0,0.001004
2019-06-25 03-PM,MONABTC,0.0002589,0.0002589,0.0002589,0.0002589,15.0,0.003883
2019-06-25 02-PM,MONABTC,0.0002593,0.0002593,0.0002589,0.0002589,45.0,0.01165
2019-06-25 01-PM,MONABTC,0.0002593,0.0002593,0.0002593,0.0002593,0.0,0.0
2019-06-25 12-PM,MONABTC,0.0002593,0.0002593,0.0002593,0.0002593,0.0,0.0
2019-06-25 11-AM,MONABTC,0.0002594,0.0002594,0.000251,0.0002593,5.0,0.001288
2019-06-25 10-AM,MONABTC,0.00025,0.0002594,0.00025,0.0002594,486.0,0.1261
2019-06-25 09-AM,MONABTC,0.0002436,0.00025,0.0002436,0.00025,1758.0,0.4289
2019-06-25 08-AM,MONABTC,0.0002433,0.0002436,0.0002433,0.0002436,84.0,0.02046
2019-06-25 07-AM,MONABTC,0.0002507,0.0002507,0.0002433,0.0002433,1635.0,0.3978
2019-06-25 06-AM,MONABTC,0.0002507,0.0002507,0.0002507,0.0002507,0.0,0.0
2019-06-25 05-AM,MONABTC,0.0002594,0.0002594,0.0002507,0.0002507,30.0,0.007522
2019-06-25 04-AM,MONABTC,0.0002594,0.0002594,0.0002594,0.0002594,0.0,0.0
2019-06-25 03-AM,MONABTC,0.0002506,0.0002594,0.0002506,0.0002594,1729.0,0.4415
2019-06-25 02-AM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-25 01-AM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-25 12-AM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 11-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 10-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 09-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 08-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 07-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 06-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 05-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 04-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 03-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 02-PM,MONABTC,0.0002506,0.0002506,0.0002506,0.0002506,0.0,0.0
2019-06-24 01-PM,MONABTC,0.000248,0.0002506,0.000248,0.0002506,30.0,0.007518
2019-06-24 12-PM,MONABTC,0.000248,0.000248,0.000248,0.000248,0.0,0.0
2019-06-24 11-AM,MONABTC,0.000248,0.000248,0.000248,0.000248,0.0,0.0
2019-06-24 10-AM,MONABTC,0.000248,0.000248,0.000248,0.000248,1240.0,0.3075
2019-06-24 09-AM,MONABTC,0.0002377,0.000248,0.0002377,0.000248,211.0,0.05233
2019-06-24 08-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
2019-06-24 07-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
2019-06-24 06-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
2019-06-24 05-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
2019-06-24 04-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
2019-06-24 03-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
2019-06-24 02-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
2019-06-24 01-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
2019-06-24 12-AM,MONABTC,0.0002377,0.0002377,0.0002377,0.0002377,0.0,0.0
