Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume MAI,Volume DUSD
2017-09-14,MAIDUSD,0.5489,0.552,0.3818,0.418,322563.0,148885.11
2017-09-13,MAIDUSD,0.6096,0.6145,0.4614,0.5489,252041.0,135141.08
2017-09-12,MAIDUSD,0.6176,0.6668,0.565,0.6096,178793.0,110902.11
2017-09-11,MAIDUSD,0.6115,0.62,0.5784,0.6176,140217.0,85342.24
2017-09-10,MAIDUSD,0.6016,0.62,0.5379,0.6115,193800.0,113570.52
2017-09-09,MAIDUSD,0.591,0.6495,0.5566,0.6016,180260.0,109661.04
2017-09-08,MAIDUSD,0.6795,0.71,0.5073,0.591,187823.0,120051.97
2017-09-07,MAIDUSD,0.6592,0.7047,0.6336,0.6795,140565.0,94371.43
2017-09-06,MAIDUSD,0.6358,0.6978,0.5967,0.6592,85085.0,55949.91
2017-09-05,MAIDUSD,0.5825,0.647,0.4775,0.6358,50251.0,27404.8
2017-09-04,MAIDUSD,0.678,0.6796,0.5066,0.5825,93332.0,58297.89
2017-09-03,MAIDUSD,0.6993,0.7234,0.5644,0.678,139512.0,93720.21
2017-09-02,MAIDUSD,0.6927,0.7974,0.6555,0.6993,73406.0,51919.14
2017-09-01,MAIDUSD,0.6632,0.7,0.633,0.6927,1310393.0,860622.04
2017-08-31,MAIDUSD,0.6697,0.7,0.6107,0.6632,2568359.0,1713334.09
2017-08-30,MAIDUSD,0.6336,0.6961,0.5629,0.6697,2022673.0,1302727.16
2017-08-29,MAIDUSD,0.6362,0.6825,0.5964,0.6336,2493806.0,1590561.41
2017-08-28,MAIDUSD,0.6051,0.6588,0.5777,0.6362,1742196.0,1069853.38
2017-08-27,MAIDUSD,0.6343,0.6555,0.57,0.6051,1233361.0,747593.79
2017-08-26,MAIDUSD,0.5556,0.6484,0.5077,0.6343,1213113.0,700124.71
2017-08-25,MAIDUSD,0.5219,0.5665,0.5159,0.5556,1729206.0,918296.27
2017-08-24,MAIDUSD,0.4738,0.5295,0.4522,0.5219,1278825.0,621694.14
2017-08-23,MAIDUSD,0.4615,0.5041,0.4341,0.4738,1214213.0,573560.22
2017-08-22,MAIDUSD,0.4715,0.4933,0.434,0.4615,1209962.0,566006.41
2017-08-21,MAIDUSD,0.4921,0.5406,0.4269,0.4715,1211207.0,592562.51
2017-08-20,MAIDUSD,0.4617,0.5084,0.4131,0.4921,1211859.0,559746.56
2017-08-19,MAIDUSD,0.4406,0.4873,0.3922,0.4617,1230652.0,532562.06
2017-08-18,MAIDUSD,0.4466,0.5319,0.3969,0.4406,1309865.0,603006.97
2017-08-17,MAIDUSD,0.4008,0.48,0.3716,0.4466,1409516.0,582381.71
2017-08-16,MAIDUSD,0.3975,0.4133,0.3672,0.4008,1208210.0,475758.67
2017-08-15,MAIDUSD,0.3635,0.4602,0.3479,0.3975,1388908.0,528663.3
2017-08-14,MAIDUSD,0.3752,0.3874,0.3416,0.3635,1208402.0,438230.2
2017-08-13,MAIDUSD,0.3886,0.44,0.2709,0.3752,1213044.0,444462.76
2017-08-12,MAIDUSD,0.3675,0.4379,0.3618,0.3886,1208989.0,477037.67
2017-08-11,MAIDUSD,0.3616,0.3718,0.34,0.3675,1207195.0,429880.0
2017-08-10,MAIDUSD,0.3758,0.3847,0.3487,0.3616,1174189.0,429696.48
2017-08-09,MAIDUSD,0.3619,0.3899,0.3537,0.3758,1513477.0,553195.15
2017-08-08,MAIDUSD,0.3528,0.3795,0.3504,0.3619,1219468.0,438623.96
2017-08-07,MAIDUSD,0.3617,0.381,0.3442,0.3528,1573802.0,565221.19
2017-08-06,MAIDUSD,0.3658,0.3981,0.3431,0.3617,418329.0,154495.19
2017-08-05,MAIDUSD,0.3361,0.38,0.3253,0.3658,1152185.0,408008.71
2017-08-04,MAIDUSD,0.3377,0.3782,0.3217,0.3361,1185688.0,406347.06
2017-08-03,MAIDUSD,0.3363,0.4126,0.3173,0.3377,1087835.0,366292.03
2017-08-02,MAIDUSD,0.3186,0.3734,0.2919,0.3363,954223.0,307799.14
2017-08-01,MAIDUSD,0.2968,0.334,0.2522,0.3186,1432804.0,435377.1
2017-07-31,MAIDUSD,0.3075,0.3161,0.276,0.2968,1407852.0,417549.87
2017-07-30,MAIDUSD,0.3225,0.3307,0.2938,0.3075,1210935.0,377828.38
2017-07-29,MAIDUSD,0.3217,0.3296,0.2945,0.3225,1216668.0,379999.47
2017-07-28,MAIDUSD,0.3443,0.3468,0.3089,0.3217,1523473.0,498741.72
2017-07-27,MAIDUSD,0.3344,0.3483,0.3268,0.3443,1453894.0,493630.57
2017-07-26,MAIDUSD,0.3177,0.3601,0.2859,0.3344,1435555.0,463657.79
2017-07-25,MAIDUSD,0.3792,0.3833,0.2526,0.3177,1339607.0,444605.17
2017-07-24,MAIDUSD,0.3786,0.3865,0.3599,0.3792,266372.0,100116.45
2017-07-23,MAIDUSD,0.3953,0.4235,0.3616,0.3786,135453.0,52072.96
2017-07-22,MAIDUSD,0.3495,0.398,0.3495,0.3953,131430.0,50942.55
2017-07-21,MAIDUSD,0.3552,0.3707,0.3431,0.3495,51987.0,18480.85
2017-07-20,MAIDUSD,0.294,0.3702,0.294,0.3552,485524.0,152303.71
2017-07-19,MAIDUSD,0.3203,0.3252,0.294,0.294,323894.0,101523.45
2017-07-18,MAIDUSD,0.2951,0.341,0.2831,0.3203,491100.0,149605.88
2017-07-17,MAIDUSD,0.2563,0.299,0.2528,0.2951,930224.0,251804.15
2017-07-16,MAIDUSD,0.265,0.2786,0.2317,0.2563,1178086.0,303945.0
2017-07-15,MAIDUSD,0.2732,0.2843,0.2543,0.265,939278.0,252801.97
2017-07-14,MAIDUSD,0.3066,0.3221,0.2599,0.2732,1375325.0,398504.05
