Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume JPY
2019-06-28 06-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 05-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 04-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 08-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 07-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 06-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 05-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 04-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 03-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 02-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 01-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-28 12-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 11-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 10-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 09-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 08-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 07-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 06-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 05-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 04-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 08-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 07-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 06-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 05-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 04-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 03-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 02-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 01-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-27 12-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 11-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 10-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 09-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 08-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 07-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 06-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 05-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 04-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 08-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 07-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 06-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 05-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 04-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 03-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 02-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 01-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-26 12-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 11-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 10-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 09-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 08-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 07-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 06-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 05-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 04-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 08-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 07-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 06-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 05-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 04-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 03-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 02-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 01-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-25 12-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 11-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 10-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 09-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 08-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 07-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 06-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 05-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 04-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 03-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 02-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 01-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 12-PM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 11-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 10-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 09-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 08-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 07-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 06-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
2019-06-24 05-AM,BCHJPY,16327.81,16327.81,16327.81,16327.81,0.0,0.0
