Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume ZAR
2015-07-08,BTCZAR,3624,3730,3608,3725,53.39,195738.22
2015-07-07,BTCZAR,3648,3650,3588,3624,51.45,186046.97
2015-07-06,BTCZAR,3660,3720,3555,3648,50.35,182649.55
2015-07-05,BTCZAR,3592,3660,3495,3660,44.25,158459.17
2015-07-04,BTCZAR,3481,3595,3460,3592,22.68,79540.56
2015-07-03,BTCZAR,3495,3680,3461,3481,58.61,206195.38
2015-07-02,BTCZAR,3490,3540,3411,3495,49.26,171248.39
2015-07-01,BTCZAR,3600,3698,3352,3490,60.69,213051.43
2015-06-30,BTCZAR,3402,3698,3402,3600,79.24,282708.22
2015-06-29,BTCZAR,3382,3498,3351,3402,75.44,259061.65
2015-06-28,BTCZAR,3535,3535,3200,3382,44.03,147898.01
2015-06-27,BTCZAR,3325,3535,3280,3535,32.41,110462.52
2015-06-26,BTCZAR,3202,3445,3200,3325,51.1,168732.31
2015-06-25,BTCZAR,3428,3485,3202,3202,58.49,195962.31
2015-06-24,BTCZAR,3347,3435,3347,3428,76.52,259053.39
2015-06-23,BTCZAR,3400,3400,3328,3347,49.93,168833.83
2015-06-22,BTCZAR,3475,3477,3391,3400,68.47,234915.98
2015-06-21,BTCZAR,3476,3497,3459,3475,18.19,63309.62
2015-06-20,BTCZAR,3436,3535,3409,3476,37.44,129728.08
2015-06-19,BTCZAR,3470,3497,3390,3436,53.88,185172.46
2015-06-18,BTCZAR,3499,3584,3457,3470,66.79,234303.89
2015-06-17,BTCZAR,3427,3527,3407,3499,69.73,241514.59
2015-06-16,BTCZAR,3245,3435,3245,3427,45.99,154932.2
2015-06-15,BTCZAR,3223,3329,3223,3245,41.21,134747.88
2015-06-14,BTCZAR,3293,3356,3222,3223,27.53,90676.7
2015-06-13,BTCZAR,3199,3293,3199,3293,42.29,137991.64
2015-06-12,BTCZAR,3190,3243,3186,3199,46.4,148717.48
2015-06-11,BTCZAR,3200,3243,3188,3190,49.51,158793.9
2015-06-10,BTCZAR,3139,3254,3139,3200,64.62,206622.53
2015-06-09,BTCZAR,3104,3260,3101,3139,55.9,177259.19
2015-06-08,BTCZAR,3100,3200,3050,3104,47.92,149601.27
2015-06-07,BTCZAR,3140,3177,3100,3100,12.84,39971.54
2015-06-06,BTCZAR,3149,3188,3140,3140,12.53,39490.31
2015-06-05,BTCZAR,3099,3238,3099,3149,48.75,152455.99
2015-06-04,BTCZAR,3086,3190,3043,3099,61.0,189535.72
2015-06-03,BTCZAR,3044,3101,3008,3086,55.06,168464.49
2015-06-02,BTCZAR,3003,3071,3002,3044,65.16,197203.16
2015-06-01,BTCZAR,3078,3130,3001,3003,95.05,291245.86
2015-05-31,BTCZAR,3141,3141,3076,3078,19.76,61278.2
2015-05-30,BTCZAR,3168,3169,3101,3141,39.54,123609.24
2015-05-29,BTCZAR,3066,3168,3066,3168,55.34,171606.48
2015-05-28,BTCZAR,3087,3100,3055,3066,59.4,183311.97
2015-05-27,BTCZAR,3034,3090,3034,3087,48.64,149396.17
