Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume PLN
2019-06-24 03-AM,LTCPLN,508.76,508.76,507.9,507.9,1.357,689.33
2019-06-24 02-AM,LTCPLN,508.76,508.76,508.76,508.76,0.0,0.0
2019-06-24 01-AM,LTCPLN,508.76,508.76,508.76,508.76,0.0,0.0
2019-06-24 12-AM,LTCPLN,513.09,513.09,508.76,508.76,14.8,7568.15
2019-06-23 11-PM,LTCPLN,516,516,513.09,513.09,6.754,3466.16
2019-06-23 10-PM,LTCPLN,523,523,516,516,21.34,11009.96
2019-06-23 09-PM,LTCPLN,516,523,516,523,6.527,3413.36
2019-06-23 08-PM,LTCPLN,519,523,512.09,516,7.987,4144.93
2019-06-23 07-PM,LTCPLN,512,519,512,519,0.3757,195.0
2019-06-23 06-PM,LTCPLN,515,515,512,512,0.979,501.25
2019-06-23 05-PM,LTCPLN,515,515,515,515,0.1403,72.25
2019-06-23 04-PM,LTCPLN,515,515,515,515,0.0,0.0
2019-06-23 03-PM,LTCPLN,523,523,515,515,4.865,2537.81
2019-06-23 02-PM,LTCPLN,515.1,523,515.1,523,10.84,5671.03
2019-06-23 01-PM,LTCPLN,515,521,515,515.1,0.1073,55.55
2019-06-23 12-PM,LTCPLN,515,520,515,515,4.999,2575.52
2019-06-23 11-AM,LTCPLN,511.01,521,511.01,515,1.186,611.01
2019-06-23 10-AM,LTCPLN,511.01,511.01,511.01,511.01,1.397,713.99
2019-06-23 09-AM,LTCPLN,530,530,511.01,511.01,4.262,2183.09
2019-06-23 08-AM,LTCPLN,530,530,530,530,0.0,0.0
2019-06-23 07-AM,LTCPLN,530,530,530,530,0.0,0.0
2019-06-23 06-AM,LTCPLN,530,530,530,530,0.5226,277.0
2019-06-23 05-AM,LTCPLN,530,530,530,530,0.0334,17.7
2019-06-23 04-AM,LTCPLN,530,530,530,530,0.0,0.0
2019-06-23 03-AM,LTCPLN,530,530,530,530,0.0,0.0
2019-06-23 02-AM,LTCPLN,530,530,530,530,0.0,0.0
2019-06-23 01-AM,LTCPLN,530,530,530,530,0.0,0.0
2019-06-23 12-AM,LTCPLN,519,530,519,530,1.069,554.88
2019-06-22 11-PM,LTCPLN,516.1,519,516.1,519,3.072,1594.22
2019-06-22 10-PM,LTCPLN,520.01,520.01,516.1,516.1,2.577,1336.26
2019-06-22 09-PM,LTCPLN,520.01,520.01,520.01,520.01,0.599,311.49
2019-06-22 08-PM,LTCPLN,520.01,520.01,520.01,520.01,0.0,0.0
2019-06-22 07-PM,LTCPLN,538,538,520.01,520.01,5.228,2736.61
2019-06-22 06-PM,LTCPLN,538,538,538,538,11.15,6000.0
2019-06-22 05-PM,LTCPLN,523,538,523,538,0.3134,168.6
