Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume VEN,Volume ETH
2018-03-30,VENETH,0.006255,0.006311,0.005941,0.005948,22038.44,135.74
2018-03-29,VENETH,0.006524,0.006665,0.00625,0.006255,29732.29,193.22
2018-03-28,VENETH,0.006503,0.006582,0.006413,0.006524,14894.35,96.62
2018-03-27,VENETH,0.006471,0.006584,0.006387,0.006503,15693.52,102.02
2018-03-26,VENETH,0.006409,0.006611,0.006336,0.006471,12164.69,78.19
2018-03-25,VENETH,0.006371,0.006651,0.006242,0.006409,13737.46,87.47
2018-03-24,VENETH,0.006246,0.006633,0.006246,0.006371,15024.59,96.48
2018-03-23,VENETH,0.006486,0.006486,0.006104,0.006246,14619.7,92.62
2018-03-22,VENETH,0.006536,0.006584,0.006384,0.006486,13723.9,89.26
2018-03-21,VENETH,0.006565,0.006683,0.006372,0.006536,11149.56,72.9
2018-03-20,VENETH,0.006841,0.007156,0.006528,0.006565,8003.66,53.95
2018-03-19,VENETH,0.006816,0.007053,0.006654,0.006813,9766.05,66.61
2018-03-18,VENETH,0.006609,0.00689,0.006389,0.006816,17241.51,113.46
2018-03-17,VENETH,0.006465,0.006718,0.00641,0.006609,13237.59,86.44
2018-03-16,VENETH,0.006218,0.006569,0.006117,0.006465,13764.01,87.57
2018-03-15,VENETH,0.006259,0.006376,0.005901,0.006218,15347.85,94.38
2018-03-14,VENETH,0.006281,0.00652,0.006022,0.006259,15317.73,96.84
2018-03-13,VENETH,0.005755,0.006376,0.005724,0.006281,15375.43,91.6
2018-03-12,VENETH,0.005336,0.005873,0.005251,0.005755,15484.75,86.19
2018-03-11,VENETH,0.00509,0.005389,0.004959,0.005336,12383.33,63.96
2018-03-10,VENETH,0.005125,0.005269,0.005053,0.00509,11985.35,61.78
2018-03-09,VENETH,0.00525,0.005289,0.004759,0.005125,19791.21,99.33
2018-03-08,VENETH,0.005449,0.005532,0.005085,0.00525,17214.59,91.32
2018-03-07,VENETH,0.005868,0.006051,0.005139,0.005449,26347.38,147.61
2018-03-06,VENETH,0.005507,0.006234,0.005142,0.005868,21956.36,123.13
2018-03-05,VENETH,0.005258,0.005586,0.005258,0.005507,17343.22,93.97
2018-03-04,VENETH,0.005176,0.0057,0.005152,0.005258,27052.01,145.21
2018-03-03,VENETH,0.005279,0.005432,0.00509,0.005176,28169.69,146.77
2018-03-02,VENETH,0.005688,0.005814,0.00525,0.005279,24856.9,136.33
2018-03-01,VENETH,0.005364,0.00609,0.005264,0.005688,23744.52,134.55
2018-02-28,VENETH,0.005961,0.006275,0.005353,0.005364,19329.87,110.68
2018-02-27,VENETH,0.006477,0.006477,0.00585,0.005961,16460.24,100.73
2018-02-26,VENETH,0.006983,0.007003,0.006045,0.006477,23609.69,153.02
2018-02-25,VENETH,0.006689,0.007059,0.006629,0.006983,15671.35,106.73
2018-02-24,VENETH,0.007079,0.007095,0.006598,0.006689,16162.35,110.76
2018-02-23,VENETH,0.006762,0.007132,0.006431,0.007079,11533.27,79.91
2018-02-22,VENETH,0.007083,0.007308,0.006611,0.006762,14946.72,103.83
2018-02-21,VENETH,0.007079,0.007294,0.006762,0.007083,17883.11,124.77
2018-02-20,VENETH,0.00686,0.008048,0.00686,0.007079,20721.23,152.18
2018-02-19,VENETH,0.005889,0.00687,0.005815,0.00686,16376.58,104.3
2018-02-18,VENETH,0.006123,0.006173,0.005737,0.005889,17734.04,105.35
2018-02-17,VENETH,0.006066,0.006299,0.006037,0.006123,14340.55,88.37
2018-02-16,VENETH,0.006472,0.006472,0.005971,0.006066,4854.79,29.77
2018-02-15,VENETH,0.005397,0.006472,0.005284,0.006472,14231.88,79.13
2018-02-14,VENETH,0.004964,0.005409,0.00482,0.005397,12621.14,63.08
2018-02-13,VENETH,0.004984,0.005058,0.004759,0.004964,19792.3,97.46
2018-02-12,VENETH,0.004904,0.005129,0.004867,0.004984,16933.44,84.38
2018-02-11,VENETH,0.005131,0.005131,0.004715,0.004904,13218.94,64.85
2018-02-10,VENETH,0.005283,0.005532,0.005016,0.005131,10462.32,55.25
2018-02-09,VENETH,0.005246,0.005419,0.005103,0.005283,23307.69,122.49
2018-02-08,VENETH,0.005134,0.005329,0.00509,0.005246,32988.91,171.41
2018-02-07,VENETH,0.005301,0.005532,0.005004,0.005134,15084.65,79.64
2018-02-06,VENETH,0.005055,0.00563,0.004488,0.005301,28820.58,142.48
2018-02-05,VENETH,0.005429,0.005447,0.004616,0.005055,31986.81,161.01
2018-02-04,VENETH,0.0057,0.005743,0.005324,0.005429,12417.33,68.49
2018-02-03,VENETH,0.005317,0.006051,0.005206,0.0057,11049.06,61.83
2018-02-02,VENETH,0.005211,0.005729,0.004654,0.005317,19028.04,98.62
2018-02-01,VENETH,0.005737,0.005765,0.004551,0.005211,25027.87,128.78
2018-01-31,VENETH,0.005491,0.005491,0.005491,0.005491,0.0,0.0
2018-01-30,VENETH,0.005491,0.005491,0.005491,0.005491,0.0,0.0
2018-01-29,VENETH,0.005556,0.005599,0.005424,0.005491,6347.86,34.99
2018-01-28,VENETH,0.006376,0.006499,0.005447,0.005556,20439.97,120.35
