Created on 08-07-2019,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume AST,Volume BTC
2018-06-26,ASTBTC,2.217e-05,2.319e-05,1.703e-05,2.018e-05,1928661.0,40.94
2018-06-25,ASTBTC,2.139e-05,2.387e-05,2.093e-05,2.217e-05,1764460.0,38.96
2018-06-24,ASTBTC,2.385e-05,2.392e-05,2.052e-05,2.139e-05,1587540.0,34.91
2018-06-23,ASTBTC,2.482e-05,2.532e-05,2.266e-05,2.385e-05,1226714.0,29.26
2018-06-22,ASTBTC,2.605e-05,2.643e-05,2.426e-05,2.482e-05,1652177.0,41.7
2018-06-21,ASTBTC,2.799e-05,2.843e-05,2.591e-05,2.605e-05,3648100.0,97.76
2018-06-20,ASTBTC,2.869e-05,2.99e-05,2.696e-05,2.799e-05,1207291.0,33.88
2018-06-19,ASTBTC,2.867e-05,2.939e-05,2.799e-05,2.869e-05,564721.0,16.2
2018-06-18,ASTBTC,2.901e-05,2.943e-05,2.698e-05,2.867e-05,647557.0,18.23
2018-06-17,ASTBTC,2.907e-05,2.981e-05,2.84e-05,2.901e-05,360832.0,10.47
2018-06-16,ASTBTC,2.948e-05,3.098e-05,2.861e-05,2.907e-05,858853.0,25.33
2018-06-15,ASTBTC,2.857e-05,3.097e-05,2.837e-05,2.948e-05,1378192.0,40.88
2018-06-14,ASTBTC,2.659e-05,3.076e-05,2.63e-05,2.857e-05,2373312.0,67.47
2018-06-13,ASTBTC,2.771e-05,2.781e-05,2.5e-05,2.659e-05,1617855.0,42.71
2018-06-12,ASTBTC,2.921e-05,3.02e-05,2.765e-05,2.771e-05,1142432.0,32.97
2018-06-11,ASTBTC,2.913e-05,2.971e-05,2.895e-05,2.921e-05,655343.0,19.18
2018-06-10,ASTBTC,3.117e-05,3.384e-05,2.87e-05,2.913e-05,3732419.0,114.55
2018-06-09,ASTBTC,3.256e-05,3.297e-05,3.055e-05,3.117e-05,1340665.0,42.41
2018-06-08,ASTBTC,3.457e-05,3.472e-05,3.111e-05,3.256e-05,2087065.0,68.58
2018-06-07,ASTBTC,3.519e-05,3.535e-05,3.434e-05,3.457e-05,482004.0,16.81
2018-06-06,ASTBTC,3.605e-05,3.727e-05,3.437e-05,3.519e-05,1366292.0,48.66
2018-06-05,ASTBTC,3.715e-05,3.803e-05,3.537e-05,3.605e-05,1946971.0,70.6
2018-06-04,ASTBTC,4.049e-05,4.19e-05,3.639e-05,3.715e-05,3878347.0,151.79
2018-06-03,ASTBTC,3.722e-05,4.2e-05,3.661e-05,4.049e-05,4234764.0,169.82
2018-06-02,ASTBTC,3.77e-05,3.846e-05,3.67e-05,3.722e-05,990828.0,37.06
2018-06-01,ASTBTC,3.688e-05,3.8e-05,3.618e-05,3.77e-05,836700.0,30.89
2018-05-31,ASTBTC,3.625e-05,3.736e-05,3.553e-05,3.688e-05,1289368.0,46.8
2018-05-30,ASTBTC,3.682e-05,3.78e-05,3.56e-05,3.625e-05,731331.0,26.91
2018-05-29,ASTBTC,3.429e-05,3.706e-05,3.367e-05,3.682e-05,1337990.0,47.39
