Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume REC,Volume BTC
2018-08-17 12-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 11-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 10-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 09-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 08-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 07-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 06-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 05-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 04-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 03-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 02-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 01-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 12-PM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 11-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 10-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 09-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 08-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 07-AM,RECBTC,3.0e-06,3.0e-06,3.0e-06,3.0e-06,0.0,0.0
2018-08-16 06-AM,RECBTC,2.76e-06,3.0e-06,2.76e-06,3.0e-06,310.67,0.000905
2018-08-16 05-AM,RECBTC,2.76e-06,2.76e-06,2.76e-06,2.76e-06,0.0,0.0
2018-08-16 04-AM,RECBTC,2.76e-06,2.76e-06,2.76e-06,2.76e-06,0.0,0.0
2018-08-16 03-AM,RECBTC,2.76e-06,2.76e-06,2.76e-06,2.76e-06,0.0,0.0
2018-08-16 02-AM,RECBTC,2.73e-06,2.76e-06,2.73e-06,2.76e-06,37.82,0.0001044
2018-08-16 01-AM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-16 12-AM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 11-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 10-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 09-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 08-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 07-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 06-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 05-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 04-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 03-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 02-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 01-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 12-PM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 11-AM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 10-AM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 09-AM,RECBTC,2.73e-06,2.73e-06,2.73e-06,2.73e-06,0.0,0.0
2018-08-15 08-AM,RECBTC,2.8e-06,2.89e-06,2.73e-06,2.73e-06,126093.57,0.3644
2018-08-15 07-AM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-15 06-AM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-15 05-AM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-15 04-AM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-15 03-AM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-15 02-AM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-15 01-AM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-15 12-AM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-14 11-PM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-14 10-PM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-14 09-PM,RECBTC,2.8e-06,2.8e-06,2.8e-06,2.8e-06,0.0,0.0
2018-08-14 08-PM,RECBTC,2.62e-06,2.8e-06,2.62e-06,2.8e-06,72100.0,0.2012
2018-08-14 07-PM,RECBTC,2.62e-06,2.62e-06,2.62e-06,2.62e-06,0.0,0.0
2018-08-14 06-PM,RECBTC,2.7e-06,2.7e-06,2.62e-06,2.62e-06,93.55,0.0002451
2018-08-14 05-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
2018-08-14 04-PM,RECBTC,2.7e-06,2.7e-06,2.7e-06,2.7e-06,0.0,0.0
