Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume XMR,Volume LTC
2018-06-11,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-10,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-09,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-08,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-07,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-06,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-05,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-04,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-03,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-02,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-06-01,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-31,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-30,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-29,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-28,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-27,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-26,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-25,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-24,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-23,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-22,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-21,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-20,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-19,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-18,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-17,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-16,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-15,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-14,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-13,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-12,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-11,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-10,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-09,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-08,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-07,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-06,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-05,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-04,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-03,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-02,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-05-01,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
2018-04-30,XMRLTC,1.5,1.5,1.5,1.5,0.0,0.0
