Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LSK,Volume EUR
2019-01-31,LSKEUR,0.81,0.81,0.81,0.81,0.0,0.0
2019-01-30,LSKEUR,0.84,0.95,0.81,0.81,157.53,133.94
2019-01-29,LSKEUR,0.84,0.84,0.84,0.84,0.0,0.0
2019-01-28,LSKEUR,1.05,1.1,0.84,0.84,318.45,311.01
2019-01-27,LSKEUR,1.07,1.07,1.05,1.05,118.05,124.73
2019-01-26,LSKEUR,1.11,1.11,1.07,1.07,45.79,49.0
2019-01-25,LSKEUR,1.13,1.14,1.11,1.11,33.92,38.35
2019-01-24,LSKEUR,1.12,1.13,1.12,1.13,41.64,46.88
2019-01-23,LSKEUR,1.08,1.12,1.08,1.12,22.77,25.5
2019-01-22,LSKEUR,1.07,1.08,1.07,1.08,56.29,60.8
2019-01-21,LSKEUR,1.08,1.13,1.07,1.07,134.84,147.44
2019-01-20,LSKEUR,1.09,1.14,1.08,1.08,31.36,35.2
2019-01-19,LSKEUR,1.14,1.14,1.09,1.09,4.61,5.02
2019-01-18,LSKEUR,1.14,1.14,1.14,1.14,0.0,0.0
2019-01-17,LSKEUR,1.04,1.14,1.04,1.14,80.35,91.59
2019-01-16,LSKEUR,1.02,1.11,1.02,1.04,35.95,38.64
2019-01-15,LSKEUR,1.09,1.2,1.02,1.02,256.36,301.26
2019-01-14,LSKEUR,1.02,1.09,1.02,1.09,126.79,137.16
2019-01-13,LSKEUR,1.24,1.24,1.02,1.02,432.61,441.86
2019-01-12,LSKEUR,1.24,1.24,1.24,1.24,0.0,0.0
2019-01-11,LSKEUR,1.08,1.25,1.07,1.24,244.55,302.25
2019-01-10,LSKEUR,1.21,1.21,1.07,1.08,2487.03,2826.75
2019-01-09,LSKEUR,1.21,1.21,1.21,1.21,0.0,0.0
2019-01-08,LSKEUR,1.16,1.32,1.16,1.21,58.07,74.2
2019-01-07,LSKEUR,1.16,1.16,1.16,1.16,0.0,0.0
2019-01-06,LSKEUR,1.16,1.16,1.16,1.16,0.0,0.0
2019-01-05,LSKEUR,1.16,1.16,1.16,1.16,0.0,0.0
2019-01-04,LSKEUR,1.18,1.18,1.16,1.16,200.96,233.2
2019-01-03,LSKEUR,1.25,1.25,1.18,1.18,169.65,200.58
2019-01-02,LSKEUR,1.32,1.34,1.25,1.25,100.35,131.24
2019-01-01,LSKEUR,1.13,1.32,1.13,1.32,41.17,47.2
2018-12-31,LSKEUR,1.37,1.37,1.13,1.13,28.09,31.97
2018-12-30,LSKEUR,1.26,1.37,1.2,1.37,12.9,17.33
2018-12-29,LSKEUR,1.25,1.3,1.25,1.26,100.79,131.0
2018-12-28,LSKEUR,1.16,1.39,1.1,1.25,167.92,197.71
2018-12-27,LSKEUR,1.21,1.21,1.16,1.16,0.2984,0.3461
2018-12-26,LSKEUR,1.23,1.37,1.21,1.21,61.03,83.59
2018-12-25,LSKEUR,1.4,1.4,1.23,1.23,221.09,276.8
2018-12-24,LSKEUR,1.25,1.4,1.25,1.4,2.07,2.9
2018-12-23,LSKEUR,1.39,1.39,1.25,1.25,111.08,144.1
2018-12-22,LSKEUR,1.39,1.39,1.39,1.39,0.0,0.0
2018-12-21,LSKEUR,1.28,1.39,1.26,1.39,145.15,187.11
2018-12-20,LSKEUR,1.12,1.4,1.12,1.28,145.91,196.97
