Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BCH,Volume RUR
2018-08-15 04-AM,BCHRUR,36060.65,36060.65,36060.65,36060.65,0.0,0.0
2018-08-15 03-AM,BCHRUR,36060.65,36060.65,36060.65,36060.65,0.0,0.0
2018-08-15 02-AM,BCHRUR,36060.65,36060.65,36060.65,36060.65,0.0,0.0
2018-08-15 01-AM,BCHRUR,35578.17,36060.65,35546.77,36060.65,0.006477,233.46
2018-08-15 12-AM,BCHRUR,35578.17,35578.17,35578.17,35578.17,0.0,0.0
2018-08-14 11-PM,BCHRUR,34383.81,35578.17,34383.81,35578.17,0.02238,796.22
2018-08-14 10-PM,BCHRUR,33442.62,34383.81,33442.62,34383.81,0.03112,1058.32
2018-08-14 09-PM,BCHRUR,33442.62,33442.62,33442.62,33442.62,0.0,0.0
2018-08-14 08-PM,BCHRUR,33998.88,33998.88,33442.62,33442.62,0.15,5014.86
2018-08-14 07-PM,BCHRUR,33729.05,33998.88,33406.65,33998.88,0.0419,1401.79
2018-08-14 06-PM,BCHRUR,33426.27,33729.05,33426.27,33729.05,0.02416,814.9
2018-08-14 05-PM,BCHRUR,33700.1,33700.39,33426.27,33426.27,0.01686,563.81
2018-08-14 04-PM,BCHRUR,36118.64,36118.64,33700.1,33700.1,0.1785,6034.28
2018-08-14 03-PM,BCHRUR,34333.76,36118.64,34146.44,36118.64,0.4161,14947.75
2018-08-14 02-PM,BCHRUR,34633.52,34716.17,34333.76,34333.76,0.2706,9376.91
2018-08-14 01-PM,BCHRUR,34769.3,35060.58,34633.52,34633.52,0.02526,885.64
2018-08-14 12-PM,BCHRUR,34300.1,34769.3,34146.44,34769.3,0.5368,18533.76
2018-08-14 11-AM,BCHRUR,34777,34777,34300.1,34300.1,0.1095,3782.84
2018-08-14 10-AM,BCHRUR,34870,34870,34777,34777,0.3103,10800.5
2018-08-14 09-AM,BCHRUR,34900.1,36500,34843.21,34870,0.1327,4713.24
2018-08-14 08-AM,BCHRUR,36116.98,36116.98,34900.1,34900.1,0.08164,2858.16
2018-08-14 07-AM,BCHRUR,35222,36605.38,35032.42,36116.98,0.4458,16179.31
2018-08-14 06-AM,BCHRUR,36824.44,36824.44,35000,35222,0.2626,9297.21
2018-08-14 05-AM,BCHRUR,36824.44,36824.44,36824.44,36824.44,0.0,0.0
2018-08-14 04-AM,BCHRUR,36824.44,36824.44,36824.44,36824.44,0.0,0.0
2018-08-14 03-AM,BCHRUR,35613.56,36824.44,35613.56,36824.44,0.0003816,14.05
2018-08-14 02-AM,BCHRUR,36141.21,36141.21,35601,35613.56,0.5412,19467.37
2018-08-14 01-AM,BCHRUR,37000,37000,36141.21,36141.21,0.457,16777.49
2018-08-14 12-AM,BCHRUR,37579.34,37654.96,37000,37000,0.2847,10536.02
2018-08-13 11-PM,BCHRUR,37932.4,37932.4,37400.1,37579.34,0.2459,9283.42
2018-08-13 10-PM,BCHRUR,38103.09,38103.09,37932.4,37932.4,0.2987,11351.5
2018-08-13 09-PM,BCHRUR,38501.17,38501.17,38103.09,38103.09,1.27,48933.89
2018-08-13 08-PM,BCHRUR,38501.17,38501.17,38501.17,38501.17,0.1034,3981.85
2018-08-13 07-PM,BCHRUR,38501.17,38502,38501.17,38501.17,0.07597,2924.93
2018-08-13 06-PM,BCHRUR,38505.41,38505.41,38501.17,38501.17,0.242,9318.11
2018-08-13 05-PM,BCHRUR,39600,39600,38501.17,38505.41,0.9996,38598.44
2018-08-13 04-PM,BCHRUR,40532.62,40532.62,39600,39600,2.53,101715.36
2018-08-13 03-PM,BCHRUR,40515.5,40532.62,40515.5,40532.62,0.027,1094.31
2018-08-13 02-PM,BCHRUR,40515.5,40515.5,40515.5,40515.5,0.0,0.0
2018-08-13 01-PM,BCHRUR,41905.48,41905.48,40515.5,40515.5,0.0002605,10.55
2018-08-13 12-PM,BCHRUR,41905.48,41905.48,41905.48,41905.48,0.0,0.0
2018-08-13 11-AM,BCHRUR,40496.87,41905.48,40496.87,41905.48,0.03859,1585.14
2018-08-13 10-AM,BCHRUR,41500.1,41500.1,40496.87,40496.87,0.2464,10131.18
2018-08-13 09-AM,BCHRUR,41682.07,42483.54,41500.1,41500.1,0.4422,18442.03
2018-08-13 08-AM,BCHRUR,38501.17,41682.07,38501.17,41682.07,0.1086,4510.15
2018-08-13 07-AM,BCHRUR,38501.17,38501.17,38501.17,38501.17,0.0,0.0
2018-08-13 06-AM,BCHRUR,40389.22,40396.61,38501.17,38501.17,0.15,5890.07
2018-08-13 05-AM,BCHRUR,41563.55,41563.55,40389.22,40389.22,0.0001373,5.55
2018-08-13 04-AM,BCHRUR,41563.55,41563.55,41563.55,41563.55,0.0,0.0
2018-08-13 03-AM,BCHRUR,41563.55,41563.55,41563.55,41563.55,0.0,0.0
2018-08-13 02-AM,BCHRUR,41563.55,41563.55,41563.55,41563.55,0.0,0.0
2018-08-13 01-AM,BCHRUR,41563.55,41563.55,41563.55,41563.55,0.0,0.0
