Timestamps are UTC timezone,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDT
2019-08-01 08-AM,ETHUSDT,213.63,213.7,212.42,212.87,5291.17,1127837.41
2019-08-01 07-AM,ETHUSDT,213.43,213.74,212.92,213.63,5711.11,1218558.19
2019-08-01 06-AM,ETHUSDT,212.65,213.43,211.8,213.43,7277.58,1546577.68
2019-08-01 05-AM,ETHUSDT,213.4,213.56,212.15,212.65,6689.93,1424965.59
2019-08-01 04-AM,ETHUSDT,213.78,213.94,212.06,213.4,6552.75,1396789.92
2019-08-01 03-AM,ETHUSDT,214.38,214.45,213.38,213.78,5822.83,1244675.43
2019-08-01 02-AM,ETHUSDT,213.47,214.44,212.68,214.38,7304.78,1559694.86
2019-08-01 01-AM,ETHUSDT,216.15,216.64,210.54,213.47,19319.23,4122373.57
2019-08-01 12-AM,ETHUSDT,218.42,219.39,215.9,216.15,11748.03,2556201.76
2019-07-31 11-PM,ETHUSDT,216.12,218.79,216.07,218.42,9657.2,2101151.33
2019-07-31 10-PM,ETHUSDT,216.08,216.23,215.4,216.12,3344.0,721629.59
2019-07-31 09-PM,ETHUSDT,215.21,216.16,215.05,216.08,2467.81,531618.0
2019-07-31 08-PM,ETHUSDT,215.26,216.6,214.82,215.21,5753.77,1241981.92
2019-07-31 07-PM,ETHUSDT,215.09,215.61,215,215.26,3116.95,670951.74
2019-07-31 06-PM,ETHUSDT,215.93,215.99,214.56,215.09,7048.97,1516930.14
2019-07-31 05-PM,ETHUSDT,215.27,216.28,214.6,215.93,7308.84,1575580.99
2019-07-31 04-PM,ETHUSDT,216.89,217.85,214.92,215.27,11528.22,2491927.16
2019-07-31 03-PM,ETHUSDT,215.35,217.24,215.35,216.89,10396.47,2249660.76
2019-07-31 02-PM,ETHUSDT,216.47,217.68,215.1,215.35,12441.31,2687300.38
2019-07-31 01-PM,ETHUSDT,215.57,216.61,215.06,216.47,11660.59,2517382.95
2019-07-31 12-PM,ETHUSDT,212.61,217.28,212.54,215.57,28087.15,6048988.74
2019-07-31 11-AM,ETHUSDT,213.12,213.13,212.38,212.61,3732.98,794027.93
2019-07-31 10-AM,ETHUSDT,212.85,213.5,212,213.12,6645.39,1414571.07
2019-07-31 09-AM,ETHUSDT,212.48,212.9,211.88,212.85,4978.62,1057113.56
2019-07-31 08-AM,ETHUSDT,211.84,212.97,211.82,212.48,5355.62,1137904.54
2019-07-31 07-AM,ETHUSDT,213.33,213.66,211.62,211.84,8790.86,1869165.67
2019-07-31 06-AM,ETHUSDT,212.34,213.76,212.04,213.33,12326.42,2628168.83
2019-07-31 05-AM,ETHUSDT,211.67,213.44,211.62,212.34,10892.81,2313909.25
2019-07-31 04-AM,ETHUSDT,211.69,211.8,210.88,211.67,3719.68,786094.94
2019-07-31 03-AM,ETHUSDT,211.55,211.89,210.82,211.69,5765.35,1218970.34
2019-07-31 02-AM,ETHUSDT,212.18,212.21,211.44,211.55,6122.03,1296747.4
2019-07-31 01-AM,ETHUSDT,212.36,212.69,211.23,212.18,8867.26,1880286.02
2019-07-31 12-AM,ETHUSDT,209.58,212.5,209.2,212.36,9063.72,1915197.24
2019-07-30 11-PM,ETHUSDT,209.84,210.37,209.31,209.58,3458.6,725905.69
2019-07-30 10-PM,ETHUSDT,209.75,211.14,209.63,209.84,4736.19,995569.06
2019-07-30 09-PM,ETHUSDT,209.11,209.99,208.53,209.75,4414.86,923229.36
2019-07-30 08-PM,ETHUSDT,210.76,211.14,208.12,209.11,7312.93,1532091.83
2019-07-30 07-PM,ETHUSDT,211.37,212.04,209.35,210.76,10175.51,2144264.59
2019-07-30 06-PM,ETHUSDT,211.18,211.95,210.83,211.37,8233.66,1741827.85
2019-07-30 05-PM,ETHUSDT,211.98,212.11,210.55,211.18,8979.23,1896859.51
2019-07-30 04-PM,ETHUSDT,212.16,213.1,211.34,211.98,11796.02,2498286.27
2019-07-30 03-PM,ETHUSDT,209.45,214.36,209.41,212.16,28082.45,5962948.09
2019-07-30 02-PM,ETHUSDT,208.72,209.59,208.65,209.45,6862.71,1435621.39
2019-07-30 01-PM,ETHUSDT,208.87,209.3,208.5,208.72,5998.05,1252418.31
2019-07-30 12-PM,ETHUSDT,208.87,209.7,208.51,208.87,8398.28,1756694.0
2019-07-30 11-AM,ETHUSDT,208.33,209.96,207.91,208.87,19168.0,4005058.68
2019-07-30 10-AM,ETHUSDT,207.72,208.55,207.52,208.33,10342.38,2151360.93
2019-07-30 09-AM,ETHUSDT,207.98,208,207.42,207.72,5562.58,1155572.3
2019-07-30 08-AM,ETHUSDT,208.09,208.92,207.5,207.98,7310.43,1521826.64
2019-07-30 07-AM,ETHUSDT,208.23,208.33,207.72,208.09,5406.87,1124839.78
2019-07-30 06-AM,ETHUSDT,207.43,208.69,207.39,208.23,10086.74,2098748.28
2019-07-30 05-AM,ETHUSDT,207.04,207.54,206.21,207.43,6489.45,1342724.0
2019-07-30 04-AM,ETHUSDT,206.88,207.27,206.55,207.04,4891.2,1012537.22
2019-07-30 03-AM,ETHUSDT,206.32,207.37,205.66,206.88,10725.81,2215293.21
2019-07-30 02-AM,ETHUSDT,208.06,208.96,204.4,206.32,16492.78,3410013.54
2019-07-30 01-AM,ETHUSDT,210.26,210.32,208.01,208.06,5311.42,1110183.97
2019-07-30 12-AM,ETHUSDT,210.89,211.79,210.2,210.26,3381.53,713126.88
