Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume JPY
2019-06-21 07-PM,BTCJPY,1065000,1065000,1058891,1062602,90.85,96507341.41
2019-06-21 06-PM,BTCJPY,1063728,1068833,1061418,1065000,165.8,176554105.24
2019-06-21 05-PM,BTCJPY,1060403,1067260,1058200,1063728,271.93,289181304.32
2019-06-21 04-PM,BTCJPY,1054602,1063901,1054453,1060403,350.31,371556883.18
2019-06-21 03-PM,BTCJPY,1058438,1061500,1052000,1054602,244.57,258663478.44
2019-06-21 02-PM,BTCJPY,1051439,1058730,1048000,1058438,227.12,239435642.65
2019-06-21 01-PM,BTCJPY,1058000,1067000,1042000,1051439,812.03,855549443.41
2019-06-21 12-PM,BTCJPY,1057076,1060055,1051022,1058000,244.3,258027041.05
2019-06-21 11-AM,BTCJPY,1053094,1060660,1051828,1057076,427.76,451915423.33
2019-06-21 10-AM,BTCJPY,1052265,1055027,1048198,1053094,296.01,311518886.9
2019-06-21 09-AM,BTCJPY,1045528,1054047,1041111,1052265,494.13,518069566.74
2019-06-21 08-AM,BTCJPY,1047800,1048890,1043647,1045528,165.84,173474332.89
2019-06-21 07-AM,BTCJPY,1039717,1048493,1038200,1047800,197.57,206322839.09
2019-06-21 06-AM,BTCJPY,1045200,1046000,1037550,1039717,269.65,280702024.77
2019-06-21 05-AM,BTCJPY,1043285,1045500,1039958,1045200,229.01,238897439.65
2019-06-21 04-AM,BTCJPY,1043300,1046826,1041030,1043285,259.52,270951674.88
2019-06-21 03-AM,BTCJPY,1039770,1043300,1035838,1043300,300.34,312216240.03
2019-06-21 02-AM,BTCJPY,1043530,1049876,1036180,1039770,569.27,594401894.13
2019-06-21 01-AM,BTCJPY,1028391,1046837,1027295,1043530,942.99,978766739.67
2019-06-21 12-AM,BTCJPY,1023420,1029500,1023420,1028391,243.35,249916784.47
2019-06-20 11-PM,BTCJPY,1023652,1028550,1021552,1023420,201.71,206857663.6
2019-06-20 10-PM,BTCJPY,1021503,1028500,1015000,1023652,221.2,226193954.58
2019-06-20 09-PM,BTCJPY,1025000,1030000,1018500,1021503,284.86,291832537.73
2019-06-20 08-PM,BTCJPY,1020903,1029050,1018470,1025000,363.6,372538600.2
