Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume AUD
2019-06-28 02-AM,LTCAUD,164.24,165.11,162.28,163.3,189.36,31001.62
2019-06-28 01-AM,LTCAUD,166.01,166.01,164,164.24,191.1,31623.63
2019-06-28 12-AM,LTCAUD,160.56,166.01,160.56,166.01,56.51,9321.75
2019-06-27 11-PM,LTCAUD,163.07,165.24,160.52,160.56,179.69,29455.21
2019-06-27 10-PM,LTCAUD,162,165.77,161,163.07,126.27,20507.77
2019-06-27 09-PM,LTCAUD,156.67,162.22,156.67,162,200.58,32024.28
2019-06-27 08-PM,LTCAUD,162.43,164.13,155,156.67,645.63,101309.23
2019-06-27 07-PM,LTCAUD,167.02,167.02,161.95,162.43,32.33,5282.82
2019-06-27 06-PM,LTCAUD,164.97,167.07,164.97,167.02,49.79,8283.5
2019-06-27 05-PM,LTCAUD,167.59,168.31,163,164.97,156.22,25628.71
2019-06-27 04-PM,LTCAUD,169.78,176.57,163.81,167.59,465.53,77657.55
2019-06-27 03-PM,LTCAUD,169.69,171.25,167.34,169.78,53.66,9176.3
2019-06-27 02-PM,LTCAUD,163.02,171.76,161,169.69,394.92,65035.83
2019-06-27 01-PM,LTCAUD,166,166,161.45,163.02,358.69,59045.69
2019-06-27 12-PM,LTCAUD,170,170,164.5,166,304.47,51247.46
2019-06-27 11-AM,LTCAUD,168.65,170.92,167.31,170,366.42,62230.58
2019-06-27 10-AM,LTCAUD,164.56,169,164.56,168.65,401.6,66999.72
2019-06-27 09-AM,LTCAUD,164.76,164.79,157.01,164.56,1547.47,247749.78
2019-06-27 08-AM,LTCAUD,172.66,173.38,162,164.76,1621.4,270251.57
2019-06-27 07-AM,LTCAUD,169.74,174.37,169.74,172.66,698.87,120035.78
2019-06-27 06-AM,LTCAUD,184.23,184.23,166,169.74,822.97,141889.12
2019-06-27 05-AM,LTCAUD,185.67,185.7,183.5,184.23,165.48,30554.95
2019-06-27 04-AM,LTCAUD,187.14,187.14,185.08,185.67,122.36,22776.03
2019-06-27 03-AM,LTCAUD,185.17,187.14,184.21,187.14,80.19,14861.4
2019-06-27 02-AM,LTCAUD,182.01,187.29,182.01,185.17,102.41,18902.59
2019-06-27 01-AM,LTCAUD,187.99,187.99,182.01,182.01,319.4,59433.1
2019-06-27 12-AM,LTCAUD,188.65,192.99,186.03,187.99,641.84,121020.44
2019-06-26 11-PM,LTCAUD,186.72,189.84,185.71,188.65,383.81,72332.7
2019-06-26 10-PM,LTCAUD,185.93,187.39,184.23,186.72,474.27,88343.13
2019-06-26 09-PM,LTCAUD,185.99,186,180,185.93,778.6,142466.22
2019-06-26 08-PM,LTCAUD,192,196.98,183.82,185.99,1011.03,191721.72
2019-06-26 07-PM,LTCAUD,192.1,194.34,192,192,200.63,38541.36
2019-06-26 06-PM,LTCAUD,193,193.96,192.1,192.1,59.24,11425.24
2019-06-26 05-PM,LTCAUD,194.65,194.65,192.35,193,155.22,30005.11
2019-06-26 04-PM,LTCAUD,196.32,196.32,193.93,194.65,115.59,22550.66
2019-06-26 03-PM,LTCAUD,195.17,196.32,195.15,196.32,20.41,3992.1
2019-06-26 02-PM,LTCAUD,196.17,197.71,195.17,195.17,131.4,25790.1
