Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTG,Volume USD
2019-03-09,BTGUSD,5,5.4,5,5.18,0.15,0.7988
2019-03-08,BTGUSD,4.95,5,4.75,5,40.48,192.78
2019-03-07,BTGUSD,5.12,5.12,4.9,4.95,6.02,29.99
2019-03-06,BTGUSD,5.3,5.58,5.12,5.12,34.65,193.07
2019-03-05,BTGUSD,4.95,5.3,4.61,5.3,3.97,18.44
2019-03-04,BTGUSD,5,5,4.78,4.94,24.97,122.71
2019-03-03,BTGUSD,4.41,5.43,4.41,5,58.31,291.98
2019-03-02,BTGUSD,4.81,5.55,4.81,5.55,6.51,36.11
2019-03-01,BTGUSD,5.24,5.24,4.55,4.81,8.3,40.06
2019-02-28,BTGUSD,5.53,5.53,5.24,5.24,6.0,31.55
2019-02-27,BTGUSD,5.57,5.57,5.45,5.53,1.57,8.63
2019-02-26,BTGUSD,5.51,5.57,5.35,5.57,16.85,93.64
2019-02-25,BTGUSD,5.88,5.88,5.51,5.51,42.02,235.79
2019-02-24,BTGUSD,5.9,5.9,5.63,5.88,11.17,65.19
2019-02-23,BTGUSD,5.85,5.85,5.62,5.64,6.9,39.18
2019-02-22,BTGUSD,6.05,6.05,6.05,6.05,0.0,0.0
2019-02-21,BTGUSD,6.2,6.2,5.91,6.05,0.5505,3.3
2019-02-20,BTGUSD,6.4,6.4,6.1,6.2,15.68,96.44
2019-02-19,BTGUSD,5.9,6.5,5.9,6.4,426.53,2614.25
2019-02-18,BTGUSD,5.74,6.19,5.74,5.9,319.9,1895.96
2019-02-17,BTGUSD,5.7,5.83,5.6,5.74,59.82,343.04
2019-02-16,BTGUSD,5.4,5.84,5.4,5.7,157.23,891.54
2019-02-15,BTGUSD,5.6,5.9,5.4,5.4,650.05,3618.95
2019-02-14,BTGUSD,5.63,5.78,5.54,5.6,79.55,451.34
2019-02-13,BTGUSD,5.5,5.9,5.4,5.63,84.62,479.01
2019-02-12,BTGUSD,5.54,5.8,5.5,5.5,233.18,1294.38
2019-02-11,BTGUSD,5.55,5.55,5.39,5.54,97.21,538.79
2019-02-10,BTGUSD,5.75,5.75,5.31,5.55,78.38,432.0
2019-02-09,BTGUSD,5.4,5.82,5.4,5.75,137.69,774.58
2019-02-08,BTGUSD,5.3,5.91,5.16,5.4,297.5,1630.69
2019-02-07,BTGUSD,5.56,5.56,5.12,5.3,180.27,936.36
2019-02-06,BTGUSD,5.27,5.59,5,5.56,340.17,1772.69
2019-02-05,BTGUSD,5.43,5.52,5.2,5.27,153.38,823.44
2019-02-04,BTGUSD,5.42,5.6,5.42,5.43,65.69,361.59
2019-02-03,BTGUSD,5.42,5.6,5.42,5.42,53.09,291.34
2019-02-02,BTGUSD,5.4,5.88,5.34,5.42,562.43,3100.97
2019-02-01,BTGUSD,5.31,6,5.31,5.4,515.25,2861.79
2019-01-31,BTGUSD,5.81,5.97,5.31,5.31,193.22,1082.05
2019-01-30,BTGUSD,5.43,6,5.43,5.81,125.51,705.89
2019-01-29,BTGUSD,5.75,6.71,5.4,5.43,723.83,4249.58
2019-01-28,BTGUSD,6,6,5.61,5.75,45.57,264.28
2019-01-27,BTGUSD,6.1,6.1,5.85,6,172.62,1031.37
2019-01-26,BTGUSD,6.12,6.37,5.91,6.1,202.25,1221.79
2019-01-25,BTGUSD,6.24,6.37,5.9,6.12,475.29,2893.31
2019-01-24,BTGUSD,6.26,6.4,6.16,6.24,78.94,493.03
2019-01-23,BTGUSD,6.37,6.49,6.25,6.26,102.81,650.38
2019-01-22,BTGUSD,6.33,6.5,6.12,6.37,587.36,3713.96
2019-01-21,BTGUSD,6.18,6.44,6.18,6.33,26.97,170.01
2019-01-20,BTGUSD,6.12,6.59,6.1,6.18,282.11,1787.11
2019-01-19,BTGUSD,6.25,6.71,6.12,6.12,163.5,1023.62
2019-01-18,BTGUSD,6.62,6.63,6.02,6.25,386.05,2414.66
2019-01-17,BTGUSD,6.86,6.86,6.62,6.62,71.13,476.18
2019-01-16,BTGUSD,6.71,6.88,6.65,6.86,48.51,330.31
2019-01-15,BTGUSD,7.3,7.38,6.7,6.71,142.57,990.37
2019-01-14,BTGUSD,6.8,7.41,6.7,7.3,332.56,2401.91
2019-01-13,BTGUSD,7.15,7.89,6.62,6.8,331.47,2365.72
2019-01-12,BTGUSD,7.11,7.61,7.11,7.15,40.37,288.25
2019-01-11,BTGUSD,7.5,7.88,7.11,7.11,44.47,330.55
2019-01-10,BTGUSD,8.26,8.26,7.21,7.5,369.9,2852.61
2019-01-09,BTGUSD,8.1,8.41,7.83,8.26,246.75,2013.1
2019-01-08,BTGUSD,8.55,8.62,7.7,8.1,977.51,7838.05
2019-01-07,BTGUSD,8.58,8.62,8.23,8.55,364.3,3103.22
2019-01-06,BTGUSD,8.5,8.69,8.11,8.58,462.14,3860.81
2019-01-05,BTGUSD,8.7,9.5,8.13,8.5,577.86,4971.49
2019-01-04,BTGUSD,9.1,9.5,8,8.7,1155.99,10133.52
2019-01-03,BTGUSD,8,10,7.31,9.1,4531.3,39046.48
2019-01-02,BTGUSD,7.39,13.75,6.93,8,2599.61,26931.9
2019-01-01,BTGUSD,6.91,7.4,6.82,7.39,172.9,1247.66
2018-12-31,BTGUSD,7,7.2,6.82,6.91,35.06,242.15
2018-12-30,BTGUSD,7.41,7.41,6.82,7,53.68,376.1
2018-12-29,BTGUSD,6.82,7.41,6.81,7.41,166.35,1188.5
2018-12-28,BTGUSD,6.81,7.39,6.81,6.82,50.17,363.65
2018-12-27,BTGUSD,7.13,7.39,6.81,6.81,18.41,129.11
2018-12-26,BTGUSD,7.43,7.5,7,7.13,32.83,238.52
2018-12-25,BTGUSD,8.08,8.08,7.2,7.43,150.5,1113.7
2018-12-24,BTGUSD,8,8.28,7.56,8.08,194.46,1579.15
2018-12-23,BTGUSD,8.3,8.37,7.41,8,520.31,4053.3
2018-12-22,BTGUSD,7.65,8.5,7.4,8.3,244.46,1888.6
2018-12-21,BTGUSD,8.1,8.29,7.6,7.65,51.26,410.18
2018-12-20,BTGUSD,7.5,8.4,7.5,8.1,176.4,1389.55
2018-12-19,BTGUSD,7.49,9,7.12,7.5,775.78,5970.41
2018-12-18,BTGUSD,7.88,7.88,7,7.49,33.53,243.61
2018-12-17,BTGUSD,6.4,7.88,6.4,7.88,405.74,2914.91
2018-12-16,BTGUSD,6.15,7.31,6.15,6.4,565.6,3994.72
2018-12-15,BTGUSD,6.5,6.65,6,6.15,158.29,1019.06
2018-12-14,BTGUSD,6.51,6.7,6.5,6.5,117.38,766.1
2018-12-13,BTGUSD,7.2,7.2,6.51,6.51,324.98,2237.16
2018-12-12,BTGUSD,7.18,7.99,6.5,7.2,1187.15,8260.51
2018-12-11,BTGUSD,7.26,8.65,7.17,7.18,217.23,1676.35
2018-12-10,BTGUSD,7.92,8,7.03,7.26,577.69,4488.07
2018-12-09,BTGUSD,6.6,8.14,6.6,7.92,120.54,905.79
2018-12-08,BTGUSD,7.3,8.14,6.5,6.6,65.91,459.32
2018-12-07,BTGUSD,7.7,8.17,6.9,7.3,550.44,3989.33
2018-12-06,BTGUSD,8.05,8.62,7.7,7.7,303.91,2461.26
2018-12-05,BTGUSD,8.02,9.4,8.02,8.05,218.18,1839.23
2018-12-04,BTGUSD,8,8.79,8,8.02,65.59,547.39
2018-12-03,BTGUSD,8.37,8.89,8,8,62.1,507.58
2018-12-02,BTGUSD,8.61,9.5,8.37,8.37,70.94,629.4
2018-12-01,BTGUSD,8.64,9,8.2,8.61,62.07,534.29
2018-11-30,BTGUSD,9,9,8.08,8.64,91.91,788.69
2018-11-29,BTGUSD,8.82,9.73,8,9,303.74,2545.04
2018-11-28,BTGUSD,8.49,10,8.08,8.82,205.9,1906.2
2018-11-27,BTGUSD,8.27,8.98,8.01,8.49,104.66,898.81
2018-11-26,BTGUSD,8.51,9.87,8.01,8.27,212.16,1869.15
2018-11-25,BTGUSD,9.11,9.97,7.92,8.51,383.16,3294.74
2018-11-24,BTGUSD,9.88,10.2,9.11,9.11,115.46,1138.97
2018-11-23,BTGUSD,9.91,10.19,9.24,9.88,439.05,4341.28
2018-11-22,BTGUSD,10.31,10.74,9.91,9.91,427.61,4379.77
2018-11-21,BTGUSD,10.8,11,10.26,10.31,262.61,2746.96
2018-11-20,BTGUSD,10.5,12.32,10,10.8,532.06,5522.32
2018-11-19,BTGUSD,12.55,15.05,10,10.5,1263.26,15317.19
2018-11-18,BTGUSD,11.92,13.3,11.92,12.55,83.12,1044.28
2018-11-17,BTGUSD,12,12.55,11.7,11.92,98.19,1196.51
2018-11-16,BTGUSD,12.3,13.65,11.52,12,427.97,5343.7
2018-11-15,BTGUSD,13.01,13.65,11,12.3,357.42,4291.36
2018-11-14,BTGUSD,13.35,13.75,12.8,13.01,841.86,11184.2
2018-11-13,BTGUSD,13.31,14,13.31,13.35,60.99,837.74
2018-11-12,BTGUSD,13.62,13.81,13.3,13.31,194.45,2602.98
2018-11-11,BTGUSD,13.65,13.92,13.62,13.62,27.79,380.91
2018-11-10,BTGUSD,14.09,14.21,13.61,13.65,187.32,2577.65
2018-11-09,BTGUSD,14.7,14.7,13.51,14.09,205.33,2853.28
