Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume ETH,Volume RUR
2018-10-26,ETHRUR,13374.36,13500,13300,13499,240.92,3232081.58
2018-10-25,ETHRUR,13477.49,13550.07,13310.08,13374.36,199.95,2677952.63
2018-10-24,ETHRUR,13552.82,13600,13372.26,13477.49,180.87,2435486.98
2018-10-23,ETHRUR,13473.05,13600,13300,13552.82,190.42,2553331.76
2018-10-22,ETHRUR,13750,13750,13462.34,13473.05,162.57,2202477.15
2018-10-21,ETHRUR,13800,13900,13554.7,13750,129.01,1765647.71
2018-10-20,ETHRUR,13632,13852.06,13500,13800,143.6,1963590.09
2018-10-19,ETHRUR,13692,13911.85,13400,13632,152.3,2061294.03
2018-10-18,ETHRUR,13900,14099,13400,13692,186.82,2562833.48
2018-10-17,ETHRUR,14011,14055.1,13650,13900,190.34,2630696.55
2018-10-16,ETHRUR,13988,14194.15,13834.1,14011,164.42,2292009.82
2018-10-15,ETHRUR,13850,14790,13700,13988,438.31,6209946.08
2018-10-14,ETHRUR,14100,14102.97,13740,13850,145.51,2028867.83
2018-10-13,ETHRUR,13894,14250,13770,14100,130.69,1823761.14
2018-10-12,ETHRUR,13644.58,14050,13539.29,13894,176.9,2429933.73
2018-10-11,ETHRUR,15150,15218.17,13550,13644.58,307.87,4356451.55
2018-10-10,ETHRUR,15341.64,15350,15000,15150,166.58,2528071.01
2018-10-09,ETHRUR,15305.07,15499,15200,15341.64,164.67,2524772.49
2018-10-08,ETHRUR,15339.26,15450,15143,15305.07,215.81,3291530.69
2018-10-07,ETHRUR,15300,15498,15132.93,15339.26,184.89,2820814.2
2018-10-06,ETHRUR,15288.05,15350,15064.3,15300,117.23,1782254.49
2018-10-05,ETHRUR,14877,15475,14750,15288.05,146.69,2196125.12
2018-10-04,ETHRUR,14825.14,15126,14782.02,14877,223.54,3336432.35
2018-10-03,ETHRUR,15229.58,15300,14770,14825.14,191.84,2866907.98
