Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LIZ,Volume ARUR
2018-08-15 06-AM,LIZARUR,47,52.36,47,50,89.79,4624.51
2018-08-15 05-AM,LIZARUR,49,50,46,47,76.86,3647.16
2018-08-15 04-AM,LIZARUR,45,55,45,49,19.63,959.91
2018-08-15 03-AM,LIZARUR,50,60,45,45,25.13,1215.41
2018-08-15 02-AM,LIZARUR,50.3,53,50,50,137.3,6909.09
2018-08-15 01-AM,LIZARUR,61.49,61.49,50.3,50.3,199.24,10279.37
2018-08-15 12-AM,LIZARUR,53.55,61.49,53.55,61.49,112.07,6850.25
2018-08-14 11-PM,LIZARUR,53.55,53.55,53.55,53.55,0.0,0.0
2018-08-14 10-PM,LIZARUR,60,61,53.55,53.55,7.23,434.01
2018-08-14 09-PM,LIZARUR,59.99,60,53.55,60,23.15,1388.89
2018-08-14 08-PM,LIZARUR,57.1,61,57.1,59.99,3.82,223.93
2018-08-14 07-PM,LIZARUR,55.2,59,51.6,57.1,456.94,25986.54
2018-08-14 06-PM,LIZARUR,61.5,61.5,52.1,55.2,313.38,16548.34
2018-08-14 05-PM,LIZARUR,74,74,60.01,61.5,174.51,10521.73
2018-08-14 04-PM,LIZARUR,76.5,76.5,63.3,74,67.97,4549.68
2018-08-14 03-PM,LIZARUR,69.87,76.5,68.09,76.5,115.71,8339.72
2018-08-14 02-PM,LIZARUR,67,76.5,67,69.87,27.01,2014.43
2018-08-14 01-PM,LIZARUR,68.6,77.3,67,67,114.87,7820.09
2018-08-14 12-PM,LIZARUR,78,78,67,68.6,9.13,676.36
2018-08-14 11-AM,LIZARUR,74,78,66.67,78,30.27,2146.38
2018-08-14 10-AM,LIZARUR,73,74,73,74,56.9,4209.35
2018-08-14 09-AM,LIZARUR,71,73,65,73,3.4,224.2
2018-08-14 08-AM,LIZARUR,72,79.83,71,71,71.62,5452.46
2018-08-14 07-AM,LIZARUR,79.9,79.9,72,72,111.0,7995.4
2018-08-14 06-AM,LIZARUR,80,80,79.9,79.9,6.6,527.26
2018-08-14 05-AM,LIZARUR,77.2,85,71,80,106.18,8089.45
2018-08-14 04-AM,LIZARUR,90,90,77.2,77.2,2.61,201.69
2018-08-14 03-AM,LIZARUR,90,90,90,90,0.0,0.0
2018-08-14 02-AM,LIZARUR,90,90,90,90,0.0,0.0
2018-08-14 01-AM,LIZARUR,90,90,90,90,0.0,0.0
2018-08-14 12-AM,LIZARUR,90,90,90,90,0.0,0.0
2018-08-13 11-PM,LIZARUR,90,90,90,90,3.0,270.0
2018-08-13 10-PM,LIZARUR,90,90,90,90,0.0,0.0
2018-08-13 09-PM,LIZARUR,90,90,90,90,0.06891,6.2
2018-08-13 08-PM,LIZARUR,87.1,90,76.1,90,14.36,1227.43
2018-08-13 07-PM,LIZARUR,88,90,76,87.1,239.14,20202.74
